Date,Population
1-1-1980,5.898.980
1-1-1981,5.956.653
1-1-1982,6.019.101
1-1-1983,6.077.056
1-1-1984,6.164.006
1-1-1985,6.253.954
1-1-1986,6.321.578
1-1-1987,6.403.700
1-1-1988,6.480.594
1-1-1989,6.565.459
1-1-1990,6.656.987
1-1-1991,6.748.135
1-1-1992,6.831.850
1-1-1993,6.947.412
1-1-1994,7.060.959
1-1-1995,7.185.403
1-1-1996,7.307.658
1-1-1997,7.428.672
1-1-1998,7.545.828
1-1-1999,7.650.789
1-1-2000,8.081.614
1-1-2001,8.210.122
1-1-2002,8.326.201
1-1-2003,8.422.501
1-1-2004,8.553.152
1-1-2005,8.705.407
1-1-2006,8.917.270
1-1-2007,9.118.037
1-1-2008,9.309.449
1-1-2009,9.449.566
1-1-2010,9.559.488
1-1-2011,9.651.502
1-1-2012,9.748.181
1-1-2013,9.848.917
1-1-2014,9.943.964
Date,Population,Size
