Date,Population
1-1-1980,654.380
1-1-1981,659.505
1-1-1982,668.972
1-1-1983,676.688
1-1-1984,680.497
1-1-1985,676.980
1-1-1986,669.512
1-1-1987,661.136
1-1-1988,655.331
1-1-1989,646.351
1-1-1990,637.364
1-1-1991,634.199
1-1-1992,635.427
1-1-1993,637.229
1-1-1994,639.762
1-1-1995,641.548
1-1-1996,642.858
1-1-1997,640.945
1-1-1998,637.808
1-1-1999,633.666
1-1-2000,642.023
1-1-2001,639.062
1-1-2002,638.168
1-1-2003,638.817
1-1-2004,644.705
1-1-2005,646.089
1-1-2006,649.422
1-1-2007,652.822
1-1-2008,657.569
1-1-2009,664.968
1-1-2010,674.345
1-1-2011,685.242
1-1-2012,701.705
1-1-2013,723.857
1-1-2014,739.482
Date,Population,Size
