Date,Population
1-1-1980,810.215
1-1-1981,847.655
1-1-1982,881.537
1-1-1983,901.977
1-1-1984,924.922
1-1-1985,951.030
1-1-1986,980.613
1-1-1987,1.023.376
1-1-1988,1.075.022
1-1-1989,1.137.382
1-1-1990,1.218.629
1-1-1991,1.285.046
1-1-1992,1.330.694
1-1-1993,1.380.197
1-1-1994,1.456.388
1-1-1995,1.525.777
1-1-1996,1.596.476
1-1-1997,1.675.581
1-1-1998,1.743.772
1-1-1999,1.809.253
1-1-2000,2.018.741
1-1-2001,2.098.399
1-1-2002,2.173.791
1-1-2003,2.248.850
1-1-2004,2.346.222
1-1-2005,2.432.143
1-1-2006,2.522.658
1-1-2007,2.601.072
1-1-2008,2.653.630
1-1-2009,2.684.665
1-1-2010,2.703.493
1-1-2011,2.718.586
1-1-2012,2.755.245
1-1-2013,2.791.494
1-1-2014,2.839.099
Date,Population,Size
