Date,Population
1-1-1980,10.800.650
1-1-1981,10.788.330
1-1-1982,10.757.087
1-1-1983,10.737.632
1-1-1984,10.737.746
1-1-1985,10.734.926
1-1-1986,10.730.268
1-1-1987,10.760.090
1-1-1988,10.798.552
1-1-1989,10.829.217
1-1-1990,10.861.837
1-1-1991,10.933.683
1-1-1992,11.007.609
1-1-1993,11.070.385
1-1-1994,11.111.451
1-1-1995,11.155.493
1-1-1996,11.187.032
1-1-1997,11.212.498
1-1-1998,11.237.752
1-1-1999,11.256.654
1-1-2000,11.363.543
1-1-2001,11.387.404
1-1-2002,11.407.889
1-1-2003,11.434.788
1-1-2004,11.452.251
1-1-2005,11.463.320
1-1-2006,11.481.213
1-1-2007,11.500.468
1-1-2008,11.515.391
1-1-2009,11.528.896
1-1-2010,11.540.070
1-1-2011,11.544.757
1-1-2012,11.550.901
1-1-2013,11.572.005
1-1-2014,11.594.163
Date,Population,Size
