Date,Population
1-1-1980,3.040.758
1-1-1981,3.096.164
1-1-1982,3.206.123
1-1-1983,3.290.402
1-1-1984,3.285.533
1-1-1985,3.271.332
1-1-1986,3.252.735
1-1-1987,3.210.122
1-1-1988,3.167.057
1-1-1989,3.150.307
1-1-1990,3.147.105
1-1-1991,3.166.471
1-1-1992,3.204.174
1-1-1993,3.228.829
1-1-1994,3.246.119
1-1-1995,3.265.547
1-1-1996,3.289.634
1-1-1997,3.314.259
1-1-1998,3.339.478
1-1-1999,3.358.044
1-1-2000,3.454.365
1-1-2001,3.467.100
1-1-2002,3.489.080
1-1-2003,3.504.892
1-1-2004,3.525.233
1-1-2005,3.548.597
1-1-2006,3.594.090
1-1-2007,3.634.349
1-1-2008,3.668.976
1-1-2009,3.717.572
1-1-2010,3.759.481
1-1-2011,3.786.527
1-1-2012,3.817.059
1-1-2013,3.853.118
1-1-2014,3.878.051
Date,Population,Size
