Date,Population
1-1-1980,2.641.218
1-1-1981,2.667.982
1-1-1982,2.664.922
1-1-1983,2.653.066
1-1-1984,2.666.588
1-1-1985,2.672.652
1-1-1986,2.683.528
1-1-1987,2.700.991
1-1-1988,2.741.297
1-1-1989,2.790.575
1-1-1990,2.858.547
1-1-1991,2.918.745
1-1-1992,2.973.934
1-1-1993,3.034.490
1-1-1994,3.087.142
1-1-1995,3.141.421
1-1-1996,3.195.087
1-1-1997,3.243.254
1-1-1998,3.282.055
1-1-1999,3.316.154
1-1-2000,3.429.708
1-1-2001,3.467.937
1-1-2002,3.513.424
1-1-2003,3.547.376
1-1-2004,3.569.463
1-1-2005,3.613.202
1-1-2006,3.670.883
1-1-2007,3.722.417
1-1-2008,3.768.748
1-1-2009,3.808.600
1-1-2010,3.837.083
1-1-2011,3.867.644
1-1-2012,3.898.684
1-1-2013,3.928.068
1-1-2014,3.970.239
Date,Population,Size
