Date,Population
1-1-1980,690.851
1-1-1981,689.584
1-1-1982,690.597
1-1-1983,693.008
1-1-1984,697.249
1-1-1985,698.402
1-1-1986,696.034
1-1-1987,696.036
1-1-1988,698.165
1-1-1989,696.701
1-1-1990,696.667
1-1-1991,701.445
1-1-1992,708.698
1-1-1993,716.258
1-1-1994,723.038
1-1-1995,728.251
1-1-1996,730.699
1-1-1997,730.855
1-1-1998,730.789
1-1-1999,733.133
1-1-2000,755.844
1-1-2001,757.972
1-1-2002,760.020
1-1-2003,763.729
1-1-2004,770.396
1-1-2005,775.493
1-1-2006,783.033
1-1-2007,791.623
1-1-2008,799.124
1-1-2009,807.067
1-1-2010,816.192
1-1-2011,824.171
1-1-2012,834.504
1-1-2013,845.510
1-1-2014,853.175
Date,Population,Size
