Date,Population
1-1-1980,4.600.252
1-1-1981,4.627.658
1-1-1982,4.646.041
1-1-1983,4.659.749
1-1-1984,4.686.737
1-1-1985,4.715.296
1-1-1986,4.738.708
1-1-1987,4.782.927
1-1-1988,4.822.437
1-1-1989,4.854.444
1-1-1990,4.890.626
1-1-1991,4.946.886
1-1-1992,5.013.999
1-1-1993,5.085.666
1-1-1994,5.163.016
1-1-1995,5.241.168
1-1-1996,5.313.576
1-1-1997,5.378.433
1-1-1998,5.432.679
1-1-1999,5.483.535
1-1-2000,5.703.719
1-1-2001,5.750.789
1-1-2002,5.795.918
1-1-2003,5.847.812
1-1-2004,5.910.809
1-1-2005,5.991.057
1-1-2006,6.088.766
1-1-2007,6.175.727
1-1-2008,6.247.411
1-1-2009,6.306.019
1-1-2010,6.356.628
1-1-2011,6.398.389
1-1-2012,6.455.177
1-1-2013,6.497.269
1-1-2014,6.549.352
Date,Population,Size
