Date,Population
1-1-1980,5.368.334
1-1-1981,5.444.097
1-1-1982,5.492.783
1-1-1983,5.564.657
1-1-1984,5.643.870
1-1-1985,5.715.153
1-1-1986,5.811.700
1-1-1987,5.932.268
1-1-1988,6.036.909
1-1-1989,6.120.246
1-1-1990,6.213.526
1-1-1991,6.283.853
1-1-1992,6.383.315
1-1-1993,6.464.795
1-1-1994,6.536.771
1-1-1995,6.601.392
1-1-1996,6.665.491
1-1-1997,6.732.878
1-1-1998,6.789.225
1-1-1999,6.872.912
1-1-2000,7.105.817
1-1-2001,7.198.362
1-1-2002,7.286.873
1-1-2003,7.366.977
1-1-2004,7.475.575
1-1-2005,7.577.105
1-1-2006,7.673.725
1-1-2007,7.751.000
1-1-2008,7.833.496
1-1-2009,7.925.937
1-1-2010,8.025.376
1-1-2011,8.110.188
1-1-2012,8.193.422
1-1-2013,8.270.345
1-1-2014,8.326.289
Date,Population,Size
