Date,Population
1-1-1980,512.524
1-1-1981,515.594
1-1-1982,519.109
1-1-1983,523.302
1-1-1984,526.660
1-1-1985,530.035
1-1-1986,534.066
1-1-1987,540.267
1-1-1988,549.763
1-1-1989,557.707
1-1-1990,564.526
1-1-1991,567.141
1-1-1992,570.115
1-1-1993,574.004
1-1-1994,578.900
1-1-1995,582.827
1-1-1996,586.352
1-1-1997,588.665
1-1-1998,590.579
1-1-1999,593.740
1-1-2000,609.618
1-1-2001,612.223
1-1-2002,615.442
1-1-2003,617.858
1-1-2004,619.920
1-1-2005,621.215
1-1-2006,622.892
1-1-2007,623.481
1-1-2008,624.151
1-1-2009,624.817
1-1-2010,625.792
1-1-2011,626.450
1-1-2012,626.138
1-1-2013,626.855
1-1-2014,626.562
Date,Population,Size
