Date,Population
1-1-1980,4.712.045
1-1-1981,4.726.343
1-1-1982,4.728.870
1-1-1983,4.721.438
1-1-1984,4.735.563
1-1-1985,4.747.767
1-1-1986,4.755.618
1-1-1987,4.777.919
1-1-1988,4.822.388
1-1-1989,4.856.574
1-1-1990,4.902.265
1-1-1991,4.952.675
1-1-1992,5.004.636
1-1-1993,5.055.318
1-1-1994,5.095.504
1-1-1995,5.137.004
1-1-1996,5.173.828
1-1-1997,5.200.235
1-1-1998,5.222.124
1-1-1999,5.250.446
1-1-2000,5.373.999
1-1-2001,5.406.835
1-1-2002,5.445.162
1-1-2003,5.479.203
1-1-2004,5.514.026
1-1-2005,5.546.166
1-1-2006,5.577.655
1-1-2007,5.610.775
1-1-2008,5.640.996
1-1-2009,5.669.264
1-1-2010,5.689.268
1-1-2011,5.708.785
1-1-2012,5.724.888
1-1-2013,5.742.953
1-1-2014,5.757.564
Date,Population,Size
