Date,Population
1-1-1980,1.951.349
1-1-1981,1.954.124
1-1-1982,1.949.604
1-1-1983,1.945.061
1-1-1984,1.927.697
1-1-1985,1.906.831
1-1-1986,1.882.350
1-1-1987,1.857.585
1-1-1988,1.830.215
1-1-1989,1.806.568
1-1-1990,1.792.481
1-1-1991,1.798.212
1-1-1992,1.805.462
1-1-1993,1.816.179
1-1-1994,1.818.490
1-1-1995,1.820.560
1-1-1996,1.818.983
1-1-1997,1.815.588
1-1-1998,1.811.688
1-1-1999,1.806.928
1-1-2000,1.807.021
1-1-2001,1.801.481
1-1-2002,1.805.414
1-1-2003,1.812.295
1-1-2004,1.816.438
1-1-2005,1.820.492
1-1-2006,1.827.912
1-1-2007,1.834.052
1-1-2008,1.840.310
1-1-2009,1.847.775
1-1-2010,1.854.176
1-1-2011,1.854.982
1-1-2012,1.856.313
1-1-2013,1.853.595
1-1-2014,1.850.326
Date,Population,Size
