Date,Population
1-1-1980,474.185
1-1-1981,491.712
1-1-1982,506.400
1-1-1983,510.345
1-1-1984,504.896
1-1-1985,499.695
1-1-1986,495.633
1-1-1987,476.965
1-1-1988,465.101
1-1-1989,458.374
1-1-1990,453.401
1-1-1991,457.739
1-1-1992,463.491
1-1-1993,469.033
1-1-1994,474.982
1-1-1995,478.447
1-1-1996,480.085
1-1-1997,480.031
1-1-1998,480.045
1-1-1999,479.602
1-1-2000,494.300
1-1-2001,494.657
1-1-2002,500.017
1-1-2003,503.453
1-1-2004,509.106
1-1-2005,514.157
1-1-2006,522.667
1-1-2007,534.876
1-1-2008,546.043
1-1-2009,559.851
1-1-2010,564.358
1-1-2011,567.631
1-1-2012,576.893
1-1-2013,583.223
1-1-2014,584.153
Date,Population,Size
