Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
35550,AL,0;38,3889,1-1-2010,33.76,-87.19,4;33,Walker,48471,10234;21053,3281;808743
35633,AL,0;920000017,,07/22/2010,34.82,-87.66,4;24,Lauderdale,47097,0,7780;284297
35582,AL,1,7500,03/15/2008,34.43,-88.13,4;28,Franklin,53021,7500,8536;612022
36265,AL,1,7500,02/15/2010,33.81,-85.76,4;3,Calhoun,54013,7500,8576;502732
36750,AL,1,7500,02/15/2010,32.78,-86.87,4;42,Chilton,1021,7500,8815;846995
36849,AL,1;05,7917,10/14/2009,32.60,-85.48,4;51,Lee,51105,7540,9445;122951
35622,AL,1;5,11250,11/15/2009,34.37,-86.90,4;27,Morgan,54065,7500,12775
36849,AL,1;6,14320,11-3-2009,32.60,-85.48,4;51,Lee,51105,8950,14392;56831
36801,AL,1;84,14444,05/29/2009,32.65,-85.37,4;51,Lee,51105,7850,16551;45355
35674,AL,2,15000,8-1-2008,34.72,-87.70,4;27,Colbert,1033,7500,17033;33333
35630,AL,3,22500,8-1-2009,34.82,-87.66,4;25,Lauderdale,47097,7500,25430;32787
36037,AL,3,23000,08/14/2008,31.82,-86.62,4;53,Butler,42019,7666;666667,27105;7377
35603,AL,3,22500,05/15/2008,34.57,-86.98,4;23,Morgan,54065,7500,25310;65574
35610,AL,3,22500,11-1-2009,34.91,-87.27,4;27,Lauderdale,47097,7500,25550
35811,AL,3.150.000.095,,09/14/2009,34.70,-86.62,4;16,Madison,51113,0,2;61364E+13
35660,AL,3.200.000.048,,08/23/2010,34.75,-87.70,4;22,Colbert,1033,0,2;69342E+13
35033,AL,4,,06/28/2010,33.95,-87.00,4;3,Cullman,1043,0,34306;01093
35055,AL,4,30000,03/24/2010,34.17,-86.83,4;28,Cullman,1043,7500,34146;44809
35958,AL,4;2,12000,5-5-2009,34.95,-85.64,4;19,Jackson,55053,2857;142857,35099;83607
35958,AL,4;2,16800,6-10-2009,34.95,-85.64,4;19,Jackson,55053,4000,35099;83607
36879,AL,4;56,45959,12-1-2009,32.73,-85.57,4;5,Lee,51105,10078;72807,40927;86885
35805,AL,5,37500,10-1-2008,34.70,-86.62,4;18,Madison,51113,7500,41685;79235
35033,AL,5;5,,06/28/2010,33.95,-87.00,4;3,Cullman,1043,0,47170;76503
35223,AL,5;64,49785,4-12-2010,33.52,-86.79,4;29,Jefferson,55055,8827;12766,48258;98361
36832,AL,5;76,59997,09/19/2002,32.59,-85.48,4;51,Lee,51105,10416;14583,51813;2459
36860,AL,6,50000,07/15/2009,32.23,-85.41,4;57,Russell,51167,8333;333333,54690;16393
36258,AL,8,66917,11-1-2009,33.45,-85.68,4;35,Clay,54015,8364;625,69409;83607
35640,AL,10,,09/13/2010,34.43,-86.93,4;25,Morgan,54065,0,84767;75956
36801,AL,14;72,115552,05/30/2009,32.65,-85.37,4;51,Lee,51105,7850,132411;6284
36523,AL,25,200000,12-11-2010,30.40,-88.16,4;8,Mobile,1097,8000,239344;2623
