Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
85204,AZ,2,11165,10/20/2006,0,0,7;77,Maricopa,4013,5582;5
85284,AZ,2,13723,02/28/2005,32.95,-111.23,0,Maricopa,4013,6861;5
85283,AZ,2,17102,1-9-2006,0,0,7;77,Maricopa,4013,8551
85219,AZ,2,17368,5-2-2006,33.56,-112.57,0,0,0,8684
85268,AZ,2,17272,01/18/2006,0,0,7;77,Maricopa,4013,8636
85263,AZ,2,25775,12/28/2006,33.56,-112.57,0,Maricopa,4013,12887;5
85226,AZ,2,17726,02/28/2006,0,0,7;77,Maricopa,4013,8863
85304,AZ,2,16000,07/20/2007,33.56,-112.57,0,Maricopa,4013,8000
85018,AZ,2,12584;21,01/27/2005,0,0,7;62,Maricopa,4013,6292;105
85242,AZ,2,21321,06/19/2006,33.56,-112.57,0,0,0,10660;5
85008,AZ,2,17302,2-3-2006,0,0,7;54,Maricopa,4013,8651
85048,AZ,3,19600,1-9-2007,34.94,-111.94,7;34,Maricopa,4013,6533;333333
85207,AZ,3,45107,12/15/2006,33.68,-112.31,7;46,Maricopa,4013,15035;66667
85249,AZ,3,26154,5-12-2005,32.15,-112.62,7;51,Maricopa,4013,8718
85018,AZ,3,25039,04/21/2006,35.23,-111.72,7;58,Maricopa,4013,8346;333333
85242,AZ,6,0,04/18/2008,33.38,-112.55,7;71,0,0,0
85641,AZ,6,44000,11-11-2009,33.62,-112.13,7;6,Pima,4019,7333;333333
85207,AZ,6,0,10-6-2008,33.68,-112.04,7;57,Maricopa,4013,0
85242,AZ,6,39921;43,04/18/2008,33.72,-112.08,0,0,0,6653;571667
85203,AZ,6,0,01/21/2009,32.91,-111.74,7;59,Maricopa,4013,0
85018,AZ,6,37934,4-9-2007,0,0,7;62,Maricopa,4013,6322;333333
85249,AZ,6,37794,11/16/2007,33.72,-112.08,7;57,Maricopa,4013,6299
85043,AZ,7,19903;76,08/20/2008,34.90,-112.43,7;52,Maricopa,4013,2843;394286
85218,AZ,7,54440,07/20/2007,32.70,-109.65,7;85,0,0,7777;142857
85282,AZ,7,50635,3-2-2009,34.04,-109.20,7;71,Maricopa,4013,7233;571429
85205,AZ,8,51400;32,07/29/2008,32.95,-111.23,7;6,Maricopa,4013,6425;04
85016,AZ,8,81464,8-2-2006,0,0,7;73,Maricopa,4013,10183
85018,AZ,10,0,7-11-2008,32.57,-111.36,7;61,Maricopa,4013,0
85284,AZ,10,65010,04/18/2008,34.69,-112.30,7;56,Maricopa,4013,6501
85044,AZ,22,125000,12/23/2009,32.45,-111.29,7;52,Maricopa,4013,5681;818182
85257,AZ,36,179679,12-4-2007,33.16,-111.59,7;62,Maricopa,4013,4991;083333
