Zipcode,State,Size (kW DC),Cost,Date Installed
85346,AZ,0.05,400.0,2/12/2014
85643,AZ,0.06,764.0,09/18/2007
85719,AZ,0.09,401.0,12/22/2010
85543,AZ,0.13,1357.0,04/13/2007
85643,AZ,0.16,2680.0,04/16/2007
85643,AZ,0.16,2965.0,07/29/2005
85543,AZ,0.16,1234.0,10/15/2008
86004,AZ,0.235,,1/7/2013
85615,AZ,0.26,5386.0,06/30/2009
85625,AZ,0.27,1068.05,02/16/2012
86351,AZ,0.34,2790.64,02/14/2007
85616,AZ,0.35,1724.85,5/9/2012
85383,AZ,0.35,2327.93,12/6/2005
85374,AZ,0.36,2160.0,10/8/2010
86305,AZ,0.36,2241.0,09/21/2011
85251,AZ,0.36,2626.2,05/29/2008
85374,AZ,0.36,2160.0,06/14/2010
85310,AZ,0.4,3202.8,12/13/2010
85351,AZ,0.41,3072.0,9/11/2006
85653,AZ,0.43,1613.66,07/29/2010
85207,AZ,0.45,0.0,07/25/2008
86403,AZ,0.46,3191.0,2/10/2011
86403,AZ,0.46,3191.0,2/10/2011
86403,AZ,0.46,3192.0,2/10/2011
86403,AZ,0.46,3191.0,2/10/2011
86404,AZ,0.46,3000.0,03/17/2011
85234,AZ,0.46,5616.0,12/16/2011
85206,AZ,0.46,6802.94,11/16/2011
85206,AZ,0.46,6835.0,11/16/2011
86325,AZ,0.47,1900.0,09/28/2011
85609,AZ,0.48,4173.0,02/15/2012
85351,AZ,0.48,,3/1/2010
85375,AZ,0.48,1360.0,05/31/2012
86401,AZ,0.48,3000.0,08/29/2011
85536,AZ,0.48,3568.0,12/5/2007
85603,AZ,0.48,2183.26,11/20/2003
85193,AZ,0.492,3513.63,07/18/2005
85204,AZ,0.5,1900.0,11/27/2013
85546,AZ,0.51,3228.0,10/7/2009
85546,AZ,0.51,3218.0,01/28/2009
86303,AZ,0.525,2439.0,11/10/2009
85351,AZ,0.525,2754.91,03/22/2011
85374,AZ,0.54,3240.0,07/13/2011
85331,AZ,0.6,,2/7/2004
86001,AZ,0.6,5196.0,07/28/2010
85743,AZ,0.6,2950.0,11/10/2010
86444,AZ,0.6,4150.0,3/11/2011
85543,AZ,0.62,5402.0,10/15/2008
85705,AZ,0.645,4148.0,3/8/2011
85379,AZ,0.645,2287.0,06/19/2012
85739,AZ,0.654,2645.0,4/4/2013
85643,AZ,0.66,4380.0,4/9/2008
85543,AZ,0.68,4900.0,11/18/2008
85601,AZ,0.69,4500.0,9/9/2011
85132,AZ,0.7,10369.0,1/9/2012
85602,AZ,0.7,7742.55,07/20/2012
86001,AZ,0.7,5685.0,2/8/2005
86442,AZ,0.7,5600.0,10/1/2007
86305,AZ,0.705,3877.5,8/8/2012
85374,AZ,0.705,6138.0,09/13/2010
85257,AZ,0.72,6959.51,1/12/2006
85257,AZ,0.72,7679,01/13/2006
85546,AZ,0.74,5151.0,12/13/2007
85546,AZ,0.74,5151.0,12/26/2007
85546,AZ,0.74,4556.0,9/11/2007
86442,AZ,0.744,6260.0,5/5/2008
85533,AZ,0.75,4207.0,10/22/2009
85296,AZ,0.756,5225.8,03/26/2008
85743,AZ,0.78,3312.0,06/29/2009
85375,AZ,0.8,2800.0,07/19/2011
85743,AZ,0.84,8528.0,10/5/2009
86305,AZ,0.86,4290.0,6/11/2010
85260,AZ,0.86,4705.0,05/19/2011
85716,AZ,0.864,5284.86,12/9/2010
86001,AZ,0.875,5470.0,2/8/2005
85705,AZ,0.875,6225.0,3/12/2010
85543,AZ,0.88,7060.0,02/23/2006
85650,AZ,0.9,4263.88,2/9/2012
85331,AZ,0.9,5217.96,10/29/2009
86315,AZ,0.9,6311.0,04/29/2011
85202,AZ,0.9,5311.0,5/8/2007
85622,AZ,0.9,5400.0,07/20/2011
85022,AZ,0.9,5500.0,10/22/2009
85323,AZ,0.9,6052.0,6/4/2010
86326,AZ,0.9,5400.0,7/7/2011
85202,AZ,0.9,0.0,6/1/2007
85375,AZ,0.92,3176.0,07/19/2011
85719,AZ,0.92,4745.0,6/2/2011
85392,AZ,0.92,9400.0,09/28/2011
85022,AZ,0.92,6440.0,08/23/2012
85234,AZ,0.925,5488.72,12/27/2012
86406,AZ,0.94,5264.0,7/5/2011
86404,AZ,0.95,7210.0,4/5/2011
86442,AZ,0.96,3040.0,12/3/2012
85258,AZ,0.96,19061.0,07/24/2003
85053,AZ,0.96,10000.0,03/21/2011
85027,AZ,0.96,1175.0,10/5/2012
86326,AZ,0.981,3676.2,12/31/2012
86305,AZ,0.99,4345.0,12/3/2009
85643,AZ,0.99,9609.0,10/24/2007
85929,AZ,1.0,12825.0,07/19/2007
85614,AZ,1.0,9540.0,12/17/2008
85266,AZ,1.0,9592.49,06/20/2002
86351,AZ,1.0,8500.0,5/2/2006
86315,AZ,1.02,20383.0,09/29/2009
85546,AZ,1.02,8480.0,6/2/2009
85546,AZ,1.02,9296.0,06/26/2008
85546,AZ,1.02,8360.0,06/26/2008
85546,AZ,1.02,8360.0,06/26/2008
85653,AZ,1.02,7158.0,07/31/2008
85374,AZ,1.02,9099.0,02/17/2009
85541,AZ,1.02,12694.0,09/15/2009
85374,AZ,1.02,6750.0,02/19/2010
86326,AZ,1.02,6557.0,08/29/2012
85044,AZ,1.02,6520,06/30/2006
85207,AZ,1.02,7457,08/27/2007
85924,AZ,1.04,15273.0,07/13/2011
85901,AZ,1.04,18215.75,6/5/2007
85263,AZ,1.04,7207.0,12/10/2007
86438,AZ,1.04,16000.0,08/13/2010
86438,AZ,1.04,9540.0,06/25/2010
85263,AZ,1.04,7207,12/18/2007
85643,AZ,1.05,9123.07,7/5/2012
85383,AZ,1.05,7795.88,5/9/2006
86045,AZ,1.05,17978.48,2/4/2009
85751,AZ,1.05,5092.0,09/23/2010
86413,AZ,1.05,9800.0,2/10/2012
86403,AZ,1.05,6300.0,04/29/2011
85020,AZ,1.05,7000.0,09/22/2004
85392,AZ,1.05,10666.41,03/21/2006
85260,AZ,1.05,10719.33,12/29/2008
85260,AZ,1.05,10719.33,12/29/2008
85260,AZ,1.05,10719.33,01/20/2009
85308,AZ,1.05,5197.5,1/4/2011
85204,AZ,1.05,7126,02/23/2007
85242,AZ,1.05,0.0,09/17/2008
85541,AZ,1.08,8384.38,11/2/2009
85029,AZ,1.08,10900.0,06/23/2011
85351,AZ,1.08,8640.0,12/8/2011
85331,AZ,1.1,15459.0,03/22/2011
85373,AZ,1.1,9967.0,12/20/2010
85302,AZ,1.1,8409.0,11/15/2010
85043,AZ,1.1,9944.0,11/12/2010
85250,AZ,1.1,8967.0,10/25/2010
85120,AZ,1.1,7809.0,10/12/2010
