Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
99737,AK,1.65,22000.0,09/18/2009,63.70,-144.89,,Southeast Fairbanks,0
99701,AK,2.8,,03/15/2011,0,0,0,0,0
99654,AK,2.88,,08/15/2011,64.81,-147.72,,Fairbanks North Star,0
99712,AK,3.5,,6/4/2007,0,0,0,0,0
99701,AK,3.5,,12/10/2008,61.52,-149.57,,Matanuska Susitna,0
99645,AK,3.84,8000.0,1/1/2013,0,0,0,0,0
99676,AK,4.0,20000.0,04/15/2012,64.93,-146.61,,Fairbanks North Star,0
99712,AK,4.14,,7/4/2012,0,0,0,0,0
99730,AK,4.3,31307.11,06/23/2010,64.81,-147.72,,Fairbanks North Star,0
99645,AK,4.32,,05/13/2011,0,0,0,0,0
99709,AK,4.32,,09/14/2012,61.60,-148.46,,Matanuska Susitna,0
99709,AK,4.7,,07/18/2012,0,0,0,0,0
99701,AK,5.0,40000.0,10/11/2010,62.42,-148.76,,Matanuska Susitna,0
99645,AK,5.17,,6/5/2012,0,0,0,0,0
99712,AK,5.52,,07/31/2012,64.93,-146.61,,Fairbanks North Star,0
99709,AK,5.76,,8/2/2010,0,0,0,0,0
99676,AK,6.0,,3/6/2011,65.47,-145.19,,Yukon Koyukuk,0
99712,AK,6.0,,07/23/2012,0,0,0,0,0
99701,AK,12.0,,3/12/2014,61.60,-148.46,,Matanuska Susitna,0
99709,AK,15.0,,06/25/2007,0,0,0,0,0
99501,AK,17.28,110000.0,05/25/2011,64.90,-148.16,,Fairbanks North Star,0
