Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
81423,CO,0;35,4398,06/22/2009,38.13,-108.29,6;47,San Miguel,35047,12565;71429,4516;625683
80538,CO,0;4,2000,10-1-2009,40.41,-105.07,5;51,Larimer,8069,5000,4395;956284
81632,CO,0;45,5000,06/30/2010,39.65,-106.60,5;83,Eagle,8037,11111;11111,5232;663934
80210,CO,0;5,1000,6-2-2013,39.76,-104.87,6;14,Denver,0,2000,6123;224044
80205,CO,0;6,5000,06/29/2010,0,0,0,0,0,8333;333333,0
80401,CO,0;67,3968,11-2-2009,39.76,-104.87,6;12,Denver,55055,5922;38806,8178;393443
81432,CO,0;7,10552;44,9-9-2008,0,0,0,0,8091,15074;91429,0
80403,CO,0;8,5000,05/28/2010,39.73,-105.21,5;74,Jefferson,55055,6250,9158;907104
80303,CO,0;84,,2-1-2008,38.15,-107.75,5;85,Ouray,8013,0,9801;147541
81432,CO,0;875,6464;96,05/22/2009,39.73,-105.21,5;77,Jefferson,8091,7388;525714,10069;9112
80304,CO,0;92,,12-10-2009,40.02,-105.25,5;58,Boulder,8013,0,10239;14754
80401,CO,1,2000,10/13/1997,38.15,-107.75,5;85,Ouray,55055,2000,11668;03279
80304,CO,1,,1-1-2008,40.02,-105.25,5;57,Boulder,8013,0,11109;56284
80304,CO,1,,12-1-2007,39.73,-105.21,5;74,Jefferson,8013,0,11448;63388
81131,CO,1;05,14400,05/15/2009,40.02,-105.25,5;57,Boulder,8109,13714;28571,11665;04098
81423,CO,1;05,11585,06/18/2009,40.02,-105.25,5;57,Boulder,35047,11033;33333,11665;04098
80304,CO,1;14,,5-1-2008,37.99,-105.69,7;15,Saguache,8013,0,16257;45902
80904,CO,1;25,8086;12,08/30/2013,38.13,-108.29,6;47,San Miguel,48141,6468;896,16130;80601
80302,CO,1;26,,06/18/2009,40.02,-105.25,5;57,Boulder,8013,0,13998;04918
81419,CO,1;3,9822;25,09/19/2008,38.86,-104.76,6;34,El Paso,48119,7555;576923,16438;96175
80302,CO,1;3,,12-6-2008,40.02,-105.25,5;6,Boulder,8013,0,14520;21858
80304,CO,1;36,,08/21/2008,38.80,-107.71,6;32,Delta,8013,0,17143;43169
80302,CO,1;38,,12-10-2008,40.02,-105.25,5;6,Boulder,8013,0,15413;77049
80222,CO,1;38,11608,03/31/2009,40.02,-105.25,5;57,Boulder,0,8411;594203,15331;19672
80205,CO,1;4,,09/21/2011,40.02,-105.25,5;6,Boulder,0,0,15637;15847
81424,CO,1;4,10918,06/18/2009,39.76,-104.87,6;16,Denver,8085,7798;571429,17200;87432
80526,CO,1.496,13193;24,11-3-2008,0,0,0,0,8069,8;819010695,0
80238,CO,1;5,,01/14/2008,39.76,-104.87,6;12,Denver,0,0,18309;83607
80302,CO,1;5,,6-1-2008,0,0,0,0,8013,0,0
81428,CO,1;52,13439,08/22/2008,38.26,-108.55,6;5,Montrose,48119,8841;447368,19706;01093
80401,CO,1;53,,08/29/2008,40.55,-105.06,5;49,Larimer,55055,0,16753;5
80401,CO,1;56,14442,09/28/2008,39.76,-104.87,6;09,Denver,55055,9257;692308,18948;88525
80526,CO,1;57,18000,05/29/2009,0,0,0,0,8069,11464;96815,0
81432,CO,1.575,12430;6,8-11-2008,40.02,-105.25,5;6,Boulder,8091,7;892444444,17591803;28
81432,CO,1.575,16886;42,06/17/2009,38.86,-107.59,6;21,Delta,8091,10;72153651,19508053;28
81419,CO,1;6,14000,10/23/2008,39.73,-105.21,5;74,Jefferson,48119,8750,18317;81421
80538,CO,1;6,25000,8-1-1999,39.73,-105.21,5;74,Jefferson,8069,15625,18317;81421
81131,CO,1;6,16350,6-11-2009,40.55,-105.06,5;49,Larimer,8109,10218;75,17520
80302,CO,1;6,,5-1-2008,38.15,-107.75,5;85,Ouray,8013,0,18668;85246
80303,CO,1;61,,01/27/2009,38.15,-107.75,5;85,Ouray,8013,0,18785;53279
80304,CO,1;64,,5-6-2009,38.80,-107.71,6;32,Delta,8013,0,20672;96175
81526,CO,1;68,,09/28/2012,40.41,-105.07,5;51,Larimer,8077,0,18463;01639
80304,CO,1;68,,12/17/2008,37.99,-105.69,7;15,Saguache,8013,0,23958;36066
80305,CO,1;7,,6-1-2007,40.02,-105.25,5;6,Boulder,8013,0,18987;97814
80221,CO,1;72,,08/17/2011,40.02,-105.25,5;58,Boulder,55001,0,19142;7541
80020,CO,1;73,16063,11/13/2008,40.02,-105.25,5;57,Boulder,8013,9284;971098,19219;54372
80304,CO,1;75,,6-1-2007,39.10,-108.35,6;45,Mesa,8013,0,22513;31967
80521,CO,1;76,,08/21/2012,40.02,-105.25,5;57,Boulder,8069,0,19552;8306
80113,CO,1;76,,04/29/2008,40.02,-105.25,5;57,Boulder,0,0,19552;8306
81223,CO,1.792,14343;97,10-10-2008,39.76,-104.87,5;95,Adams,56013,8;004447545,21266535;52
80304,CO,1;8,,03/20/2009,39.94,-105.06,5;67,Boulder,8013,0,20356;22951
80302,CO,1;8,,5-1-2008,40.02,-105.25,5;57,Boulder,8013,0,19997;21311
80113,CO,1;84,,02/13/2009,40.55,-105.06,5;36,Larimer,0,0,19670;9071
81131,CO,1;85,32000,05/19/2009,39.64,-104.96,6;16,0,8109,17297;2973,22729;72678
80304,CO,1;86,,8-6-2009,0,0,0,Fremont,8013,0,0
80301,CO,1;87,,12-2-2008,38.37,-105.68,6;77,Boulder,8013,0,25250;62022
80303,CO,1;87,,4-1-2008,40.02,-105.25,5;57,Boulder,8013,0,20774;88251
80503,CO,1;88,,12/28/2011,40.02,-105.25,5;6,0,8013,0,20998;46995
80303,CO,1;89,4739;93,04/30/2010,39.64,-104.96,6;16,Saguache,8013,2507;899471,23221;18033
81623,CO,1;9,17000,9-2-2008,0,0,0,Boulder,53023,8947;368421,0
80304,CO,1;9,,7-1-2007,37.99,-105.69,7;15,Boulder,8013,0,27095;76503
80127,CO,1.935,,01/23/2012,40.02,-105.25,5;57,Boulder,55055,0,21497004;1
80304,CO,1;95,,3-1-2008,40.02,-105.25,5;55,Boulder,8013,0,21585;86066
80930,CO,1;98,,10-1-2012,40.02,-105.25,5;58,Boulder,48141,0,22036;42623
80403,CO,1;98,10890,08/13/2008,40.17,-105.11,5;59,Garfield,55055,5500,22075;91803
80403,CO,2,8700,01/26/2012,40.02,-105.25,5;58,Boulder,55055,4350,22259;01639
80401,CO,2,8700,01/26/2012,39.39,-107.21,5;71,Jefferson,55055,4350,22777;59563
80526,CO,2,16700,11/15/2008,40.02,-105.25,5;57,Boulder,8069,8350,22219;12568
81403,CO,2,14500,8-11-2008,39.57,-105.14,5;9,El Paso,0,7250,23535;51913
80230,CO,2,,6-10-2008,40.02,-105.25,5;57,Jefferson,0,0,22219;12568
80526,CO,2,16543,06/16/2009,38.86,-104.76,6;47,Jefferson,8069,8271;5,25809;28962
81524,CO,2,18809;76,07/30/2008,39.73,-105.21,5;77,Jefferson,8077,9404;88,23016;93989
80303,CO,2,,6-1-2008,39.73,-105.21,5;77,Larimer,8013,0,23016;93989
80305,CO,2,,4-1-2007,39.73,-105.21,5;74,0,8013,0,22897;26776
80305,CO,2,,6-1-2008,40.55,-105.06,5;49,Denver,8013,0,21900
80302,CO,2,,4-1-2007,38.30,-107.90,6;19,0,8013,0,24692;34973
80304,CO,2,,4-1-2008,0,0,0,Larimer,8013,0,0
80304,CO,2,,3-1-2007,39.76,-104.87,6;09,Mesa,8013,0,24293;44262
80304,CO,2,,5-1-2007,0,0,0,Boulder,8013,0,0
80302,CO,2,,3-1-2008,40.55,-105.06,5;49,Boulder,8013,0,21900
80303,CO,2,,2-1-2007,39.20,-108.82,6;51,Boulder,8013,0,25968;85246
80304,CO,2,,6-1-2007,40.02,-105.25,5;58,Boulder,8013,0,22259;01639
80305,CO,2,,3-1-2007,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
80305,CO,2,,2-1-2008,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
80301,CO,2,,2-1-2008,40.02,-105.25,5;6,Boulder,8013,0,22338;79781
80302,CO,2,,5-1-2007,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
80301,CO,2,,1-1-2007,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
80304,CO,2,,2-1-2008,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
80302,CO,2,,3-1-2007,40.02,-105.25,5;6,Boulder,8013,0,22338;79781
80305,CO,2,,12-1-2007,40.02,-105.25,5;58,Boulder,8013,0,22259;01639
80304,CO,2,,7-1-2007,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
80304,CO,2,,10-1-2007,40.02,-105.25,5;57,Boulder,8013,0,22219;12568
