Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
6824,CT,0;49,6036,07/22/2014,41.13,-73.28,3;92,0,0,12318;36735,3831;103825
6483,CT,0;7,7522;5,5-6-2011,0,0,0,New Haven,0,10746;42857,0
6483,CT,0;7,7522;5,5-6-2011,41.40,-73.06,3;88,0,0,10746;42857,5417;15847
6422,CT,0;84,6408,12-12-2008,0,0,0,New Haven,51119,7628;571429,0
6422,CT,0;84,6408,12-12-2008,41.40,-73.06,3;88,0,51119,7628;571429,6500;590164
6497,CT,0;86,6849;9,05/16/2008,0,0,0,Middlesex,0,7965,0
6401,CT,0;94,7437;5,03/23/2012,41.47,-72.68,3;86,Middlesex,0,7912;234043,7236;972678
6401,CT,0;94,7437;5,03/23/2012,41.47,-72.68,3;86,0,0,7912;234043,7236;972678
6256,CT,0;99,10676;3,12/31/2008,41.19,-73.12,0,New Haven,50025,10784;14141,0
6256,CT,0;99,10676;3,12/31/2008,0,0,3;89,0,50025,10784;14141,7681;155738
6238,CT,1,22791;45,12/17/2010,41.34,-73.06,0,New Haven,0,22791;45,0
6247,CT,1,24816,09/30/2012,0,0,3;89,0,50025,24816,7758;743169
6238,CT,1,22791;45,12/17/2010,41.34,-73.06,0,Windham,0,22791;45,0
6247,CT,1,24816,09/30/2012,0,0,3;75,Windham,50025,24816,7479;508197
6902,CT,1;02,10001,08/30/2006,41.76,-72.13,3;75,Tolland,45039,9804;901961,7629;098361
6902,CT,1;02,10001,08/30/2006,41.76,-72.13,3;75,0,45039,9804;901961,7629;098361
6043,CT,1;08,17897,02/17/2011,41.78,-72.30,0,Windham,0,16571;2963,0
6043,CT,1;08,17897,02/17/2011,0,0,3;79,Tolland,0,16571;2963,8164;032787
6855,CT,1;11,7770,04/28/2011,41.78,-72.05,3;75,0,45039,7000,8302;254098
6855,CT,1;11,7770,04/28/2011,41.78,-72.30,0,Windham,45039,7000,0
6457,CT,1;14,9516,08/25/2005,0,0,3;79,Fairfield,51119,8347;368421,8617;590164
6457,CT,1;14,9516,08/25/2005,41.78,-72.05,3;83,Fairfield,51119,8347;368421,8708;540984
6489,CT,1;2,3550,03/13/2013,41.09,-73.55,3;83,Tolland,0,2958;333333,9166;885246
6489,CT,1;2,3550,03/13/2013,41.09,-73.55,3;73,0,0,2958;333333,8927;540984
6777,CT,1;22,8600,1-6-2012,41.76,-72.43,0,Tolland,0,7049;180328,0
6778,CT,1;23,10245;9,09/27/2012,0,0,3;87,Fairfield,0,8330,9494;188525
6778,CT,1;23,10245;9,09/27/2012,41.09,-73.42,3;87,Middlesex,0,8330,9494;188525
6120,CT,1;25,15942,7-8-2005,41.09,-73.42,3;82,Middlesex,0,12753;6,9523;907104
6120,CT,1;25,15942,7-8-2005,41.54,-72.65,3;82,Hartford,0,12753;6,9523;907104
6525,CT,1;33,28180,9-9-2010,41.54,-72.65,3;84,0,0,21187;96992,10186;4918
6525,CT,1;33,28180,9-9-2010,41.60,-72.88,0,Hartford,0,21187;96992,0
6226,CT,1;38,7341,6-10-2014,0,0,3;84,0,50025,5319;565217,10569;44262
6010,CT,1;38,0,7-8-2011,41.60,-72.88,0,Litchfield,0,0,0
6010,CT,1;38,0,7-8-2011,0,0,3;81,0,0,0,10486;86885
6424,CT,1;41,9998,2-6-2014,41.69,-73.34,0,Litchfield,51119,7090;780142,0
6424,CT,1;41,9998,2-6-2014,0,0,3;81,0,51119,7090;780142,10714;84426
6279,CT,1;44,10410,03/21/2013,41.69,-73.34,0,Litchfield,0,7229;166667,0
