Zipcode,State,Size (kW DC),Cost,Date Installed
81423,CO,0.35,4398,06/22/2009
80538,CO,0.4,2000,10/1/2009
81632,CO,0.45,5000.0,06/30/2010
80210,CO,0.5,1000.0,6/2/2013
80205,CO,0.6,5000.0,06/29/2010
80401,CO,0.67,3968,11/2/2009
81432,CO,0.7,10552.44,9/9/2008
80403,CO,0.8,5000.0,05/28/2010
80303,CO,0.84,,2/1/2008
81432,CO,0.875,6464.96,05/22/2009
80304,CO,0.92,,12/10/2009
80401,CO,1.0,2000.0,10/13/1997
80304,CO,1,,1/1/2008
80304,CO,1,,12/1/2007
81131,CO,1.05,14400,05/15/2009
81423,CO,1.05,11585,06/18/2009
80304,CO,1.14,,5/1/2008
80904,CO,1.25,8086.12,08/30/2013
80302,CO,1.26,,06/18/2009
81419,CO,1.3,9822.25,09/19/2008
80302,CO,1.3,,12/6/2008
80304,CO,1.36,,08/21/2008
80302,CO,1.38,,12/10/2008
80222,CO,1.38,11608,03/31/2009
80205,CO,1.4,,09/21/2011
81424,CO,1.4,10918,06/18/2009
80526,CO,1.496,13193.24,11/3/2008
80238,CO,1.5,,01/14/2008
80302,CO,1.5,,6/1/2008
81428,CO,1.52,13439,08/22/2008
80401,CO,1.53,,08/29/2008
80401,CO,1.56,14442,09/28/2008
80526,CO,1.57,18000,05/29/2009
81432,CO,1.575,12430.6,8/11/2008
81432,CO,1.575,16886.42,06/17/2009
81419,CO,1.6,14000,10/23/2008
80538,CO,1.6,25000,8/1/1999
81131,CO,1.6,16350,6/11/2009
80302,CO,1.6,,5/1/2008
80303,CO,1.61,,01/27/2009
80304,CO,1.64,,5/6/2009
81526,CO,1.68,,09/28/2012
80304,CO,1.68,,12/17/2008
80305,CO,1.7,,6/1/2007
80221,CO,1.72,,08/17/2011
80020,CO,1.73,16063,11/13/2008
80304,CO,1.75,,6/1/2007
80521,CO,1.76,,08/21/2012
80113,CO,1.76,,04/29/2008
81223,CO,1.792,14343.97,10/10/2008
80304,CO,1.8,,03/20/2009
80302,CO,1.8,,5/1/2008
80113,CO,1.84,,02/13/2009
81131,CO,1.85,32000,05/19/2009
80304,CO,1.86,,8/6/2009
80301,CO,1.87,,12/2/2008
80303,CO,1.87,,4/1/2008
80503,CO,1.88,,12/28/2011
80303,CO,1.89,4739.93,04/30/2010
81623,CO,1.9,17000,9/2/2008
80304,CO,1.9,,7/1/2007
80127,CO,1.935,,01/23/2012
80304,CO,1.95,,3/1/2008
80930,CO,1.98,,10/1/2012
80403,CO,1.98,10890,08/13/2008
80403,CO,2.0,8700.0,01/26/2012
80401,CO,2.0,8700.0,01/26/2012
80526,CO,2,16700,11/15/2008
81403,CO,2,14500,8/11/2008
80230,CO,2,,6/10/2008
80526,CO,2,16543,06/16/2009
81524,CO,2,18809.76,07/30/2008
80303,CO,2,,6/1/2008
80305,CO,2,,4/1/2007
80305,CO,2,,6/1/2008
80302,CO,2,,4/1/2007
80304,CO,2,,4/1/2008
80304,CO,2,,3/1/2007
80304,CO,2,,5/1/2007
80302,CO,2,,3/1/2008
80303,CO,2,,2/1/2007
80304,CO,2,,6/1/2007
80305,CO,2,,3/1/2007
80305,CO,2,,2/1/2008
80301,CO,2,,2/1/2008
80302,CO,2,,5/1/2007
80301,CO,2,,1/1/2007
80304,CO,2,,2/1/2008
80302,CO,2,,3/1/2007
80305,CO,2,,12/1/2007
80304,CO,2,,7/1/2007
80304,CO,2,,10/1/2007
80302,CO,2,,2/1/2008
80302,CO,2,,7/1/2007
80302,CO,2,,1/1/2008
81435,CO,2.04,21600,12/8/2009
80202,CO,2.04,,8/4/2008
80304,CO,2.04,,3/1/2008
80304,CO,2.05,,8/1/2007
80304,CO,2.07,,06/16/2009
80526,CO,2.08,18714,11/20/2008
80227,CO,2.1,,9/12/2011
80232,CO,2.1,,05/20/2008
81401,CO,2.1,18000,12/1/2008
80023,CO,2.1,10233.32,08/18/2008
80521,CO,2.1,18687,01/29/2009
80498,CO,2.1,15055,07/23/2009
80220,CO,2.1,16636,08/27/2009
80304,CO,2.1,,7/1/2007
80303,CO,2.1,,2/1/2008
80528,CO,2.11,18376,11/19/2008
80249,CO,2.115,,9/7/2012
81428,CO,2.15,20167,10/28/2008
81211,CO,2.15,13268.28,4/7/2009
80305,CO,2.15,,6/1/2007
80222,CO,2.16,9396.0,07/20/2012
80130,CO,2.16,9396.0,12/5/2012
80011,CO,2.16,,09/14/2012
80305,CO,2.16,,05/19/2009
80222,CO,2.16,,7/8/2008
80829,CO,2.16,13936.0,10/26/2013
81432,CO,2.16,23700,1/3/2009
81501,CO,2.16,16200,3/7/2007
80930,CO,2.2,,09/24/2012
80930,CO,2.2,,10/1/2012
81501,CO,2.21,9613.5,05/23/2012
80026,CO,2.24,,04/25/2008
80238,CO,2.24,,9/5/2008
