Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
20010,DC,0;075,,5-12-2010,38.89,-77.03,4;21,District Of Columbia,0,0,629;7745902
20010,DC,0;075,,5-12-2010,0,0,0,0,0,0,0
20010,DC,0;26,22480,5-12-2010,38.89,-77.03,4;21,District Of Columbia,0,86461;53846,2183;218579
20024,DC,0;9,9856,6-3-2010,0,0,0,0,0,10951;11111,0
20024,DC,0;9,9856,6-3-2010,38.89,-77.03,4;21,District Of Columbia,0,10951;11111,7557;295082
20019,DC,1,9821,10-11-2012,0,0,0,0,0,9821,0
20001,DC,1,10421,10/17/2012,38.89,-77.03,4;19,District Of Columbia,0,10421,8357;103825
20019,DC,1,9821,10-11-2012,0,0,0,0,0,9821,0
20001,DC,1,10421,10/17/2012,38.89,-77.03,4;19,District Of Columbia,0,10421,8357;103825
20003,DC,1;05,11184,09/30/2009,0,0,0,0,0,10651;42857,0
20003,DC,1;05,11184,09/30/2009,38.89,-77.03,4;16,District Of Columbia,0,10651;42857,8712;131148
20015,DC,1.075,7995;17,10/17/2012,0,0,0,0,0,7;437367442,0
20015,DC,1.075,7995;17,10/17/2012,38.89,-77.03,4;2,District Of Columbia,0,7;437367442,9005327;869
20011,DC,1;15,5175,09/20/2012,0,0,0,0,0,4500,0
20011,DC,1;15,5175,09/20/2012,38.89,-77.03,4;16,District Of Columbia,0,4500,9541;857923
20016,DC,1;17,13775,11/23/2010,0,0,0,0,0,11773;50427,0
20016,DC,1;17,13775,11/23/2010,38.89,-77.03,4;2,District Of Columbia,0,11773;50427,9801;147541
20015,DC,1;17,21986,10-8-2011,0,0,0,0,0,18791;45299,0
20010,DC,1;29,11900,10-11-2012,38.89,-77.03,4;18,District Of Columbia,0,9224;806202,10754;93443
20010,DC,1;29,11900,10-11-2012,0,0,0,0,0,9224;806202,0
20015,DC,1;38,10880,6-4-2012,38.89,-77.03,4;18,District Of Columbia,0,7884;057971,11505;27869
20001,DC,1;38,10320,09/25/2012,0,0,0,0,0,7478;26087,0
20015,DC,1;38,10880,6-4-2012,38.89,-77.03,4;21,District Of Columbia,0,7884;057971,11587;85246
20001,DC,1;38,10320,09/25/2012,0,0,0,0,0,7478;26087,0
20009,DC,1;56,12699,9-7-2010,38.89,-77.03,4;21,District Of Columbia,0,8140;384615,13099;31148
20009,DC,1;56,,9-7-2010,0,0,0,0,0,0,0
20009,DC,1.560.666,12699,9-7-2010,38.89,-77.03,4;18,District Of Columbia,0,0;008136911,13011519761
20009,DC,1.560.666,,9-7-2010,0,0,0,0,0,0,0
20011,DC,1;57,,7-6-2010,38.89,-77.03,4;18,District Of Columbia,0,0,13089;3388
20011,DC,1;57,,7-6-2010,0,0,0,0,0,0,0
20010,DC,1;68,15020,09/30/2009,38.89,-77.03,4;24,District Of Columbia,0,8940;47619,14207;47541
20015,DC,1;68,12482,09/15/2010,0,0,0,0,0,7429;761905,0
20010,DC,1;68,15020,09/30/2009,38.89,-77.03,4;24,District Of Columbia,0,8940;47619,14207;47541
20015,DC,1;68,,09/15/2010,0,0,0,0,0,0,0
20009,DC,1.768,25482,02/13/2012,38.89,-77.03,4;21,District Of Columbia,0,14;41289593,14845886;34
20009,DC,1.768,25482,02/13/2012,0,0,0,0,0,14;41289593,0
20003,DC,1.768,19606,02/21/2012,38.89,-77.03,4;21,District Of Columbia,0,11;08936652,14845886;34
20016,DC,1;8,15832,8-10-2010,0,0,0,0,0,8795;555556,0
20016,DC,1;8,,8-10-2010,38.89,-77.03,4;21,District Of Columbia,0,0,15114;59016
20016,DC,1;84,14317,08/20/2012,0,0,0,0,0,7780;978261,0
20010,DC,1;84,12774,10-1-2012,38.89,-77.03,4;21,District Of Columbia,0,6942;391304,15450;46995
20010,DC,1;84,44559,10-11-2010,0,0,0,0,0,24216;84783,0
20016,DC,1;84,14317,08/20/2012,38.89,-77.03,4;2,District Of Columbia,0,7780;978261,15413;77049
20010,DC,1;84,12774,10-1-2012,0,0,0,0,0,6942;391304,0
20010,DC,1;84,,10-11-2010,38.89,-77.03,4;21,District Of Columbia,0,0,15450;46995
20002,DC,1;85,12247,06/16/2011,0,0,0,0,0,6620,0
20007,DC,1;85,16265,10-8-2011,38.89,-77.03,4;2,District Of Columbia,0,8791;891892,15497;54098
20016,DC,1;88,16997,08/15/2012,0,0,0,0,0,9040;957447,0
20011,DC,1;88,11310,08/27/2012,38.89,-77.03,4;21,District Of Columbia,0,6015;957447,15786;34973
20016,DC,1;88,16997,08/15/2012,0,0,0,0,0,9040;957447,0
20011,DC,1;88,11310,08/27/2012,38.89,-77.03,4;21,District Of Columbia,0,6015;957447,15786;34973
20011,DC,1.904,,2-6-2012,0,0,0,0,0,0,0
20002,DC,1.904,9130,9-10-2010,38.89,-77.03,4;21,District Of Columbia,0,4;795168067,15987877;6
20003,DC,1.904,8063,10/25/2010,0,0,0,0,0,4;234768908,0
20011,DC,1.904,,2-6-2012,38.89,-77.03,4;21,District Of Columbia,0,0,15987877;6
20002,DC,1.904,29860,6-4-2012,0,0,0,0,0,15;68277311,0
20002,DC,1.904,,9-10-2010,38.89,-77.03,4;18,District Of Columbia,0,0,15873949;73
20003,DC,1.904,,10/25/2010,0,0,0,0,0,0,0
20003,DC,1.904,14805,02/21/2012,38.89,-77.03,4;18,District Of Columbia,0,7;775735294,15873949;73
20019,DC,1;92,9054,10-11-2012,0,0,0,0,0,4715;625,0
20019,DC,1;92,9054,10-11-2012,38.89,-77.03,4;21,District Of Columbia,0,4715;625,16122;22951
20003,DC,1;96,8820,10/17/2012,0,0,0,0,0,4500,0
20003,DC,1;96,8820,10/17/2012,38.89,-77.03,4;21,District Of Columbia,0,4500,16458;10929
20016,DC,2,15370,09/30/2009,0,0,0,0,0,7685,0
20008,DC,2,16100,05/24/2010,38.89,-77.03,4;21,District Of Columbia,0,8050,16793;98907
20016,DC,2,31508;06,6-3-2010,0,0,0,0,0,15754;03,0
20016,DC,2,15370,09/30/2009,38.89,-77.03,4;21,District Of Columbia,0,7685,16793;98907
20008,DC,2,16100,05/24/2010,0,0,0,0,0,8050,0
20016,DC,2,31508;06,6-3-2010,38.89,-77.03,4;21,District Of Columbia,0,15754;03,16793;98907
20008,DC,2,,03/21/2011,0,0,0,0,0,0,0
20016,DC,2.025,16777,12/23/2010,38.89,-77.03,4;21,District Of Columbia,0,8;284938272,17003913;93
20016,DC,2.025,16777,12/23/2010,0,0,0,0,0,8;284938272,0
20010,DC,2.025,21700,10-8-2011,38.89,-77.03,4;18,District Of Columbia,0,10;71604938,16882745;9
20001,DC,2;04,11360,10/25/2010,0,0,0,0,0,5568;627451,0
20002,DC,2;04,36999,06/15/2011,38.89,-77.03,4;24,District Of Columbia,0,18136;76471,17251;93443
20001,DC,2;04,,10/25/2010,0,0,0,0,0,0,0
20006,DC,2;04,27509,10-8-2011,38.89,-77.03,4;24,District Of Columbia,0,13484;80392,17251;93443
20003,DC,2;07,9650,7-3-2012,0,0,0,0,0,4661;835749,0
20008,DC,2;07,17200,08/17/2010,38.89,-77.03,4;24,District Of Columbia,0,8309;178744,17505;63934
20003,DC,2;07,9650,7-3-2012,0,0,0,0,0,4661;835749,0
20008,DC,2;07,,08/17/2010,38.89,-77.03,4;21,District Of Columbia,0,0,17381;77869
20010,DC,2.092,,7-2-2011,0,0,0,0,0,0,0
20020,DC,2.092,21158,10-8-2011,38.89,-77.03,4;21,District Of Columbia,0,10;11376673,17566512;57
20010,DC,2;1,21370,09/30/2009,0,0,0,0,0,10176;19048,0
20016,DC,2;1,17800,05/24/2010,38.89,-77.03,4;24,District Of Columbia,0,8476;190476,17759;34426
20002,DC,2;1,26340,6-2-2010,0,0,0,0,0,12542;85714,0
