Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/Size
19713,DE,0;5,,04/30/2013,39.67,-75.75,4;1,New Castle,10003,0
19709,DE,0;92,17662;5,12-7-2011,39.45,-75.71,4;11,New Castle,10003,19198;36957
19904,DE,1,,10/19/2010,39.15,-75.51,4;08,Kent,48263,0
19952,DE,1,,02/17/2012,38.92,-75.57,4;15,Kent,48263,0
19971,DE,1;1,11200,07/17/2007,38.70,-75.09,4;13,Sussex,51183,10181;81818
19971,DE,1;2,,1-9-2014,38.70,-75.09,4;13,Sussex,51183,0
19709,DE,1;2,9920,9-12-2007,39.45,-75.71,4;11,New Castle,10003,8266;666667
19709,DE,1;2,5200,09/23/2008,39.45,-75.71,4;11,New Castle,10003,4333;333333
19809,DE,1;21,,2-1-2009,39.73,-75.53,4;06,New Castle,10003,0
19947,DE,1;26,6600,11/22/2011,38.69,-75.38,4;16,Sussex,51183,5238;095238
19701,DE,1;3,,05/27/2010,39.58,-75.68,4;11,New Castle,10003,0
19701,DE,1;35,17980,12-8-2009,39.58,-75.68,4;11,New Castle,10003,13318;51852
19701,DE,1;35,25779,12-8-2009,39.58,-75.68,4;11,New Castle,10003,19095;55556
19701,DE,1;35,16576,12-8-2009,39.58,-75.68,4;11,New Castle,10003,12278;51852
19701,DE,1;35,17550,12-8-2009,39.58,-75.68,4;11,New Castle,10003,13000
19701,DE,1;38,24500,12-7-2011,39.58,-75.68,4;11,New Castle,10003,17753;62319
19804,DE,1;38,24232;95,6-9-2011,39.73,-75.53,4;1,New Castle,10003,17560;1087
19945,DE,1;4,,09/15/2010,38.52,-75.23,4;17,Sussex,51183,0
19701,DE,1;4,10462;5,4-1-2009,39.58,-75.68,4;11,New Castle,10003,7473;214286
19701,DE,1;4,10462;5,4-1-2009,39.58,-75.68,4;11,New Castle,10003,7473;214286
19701,DE,1;4,10462;5,4-1-2009,39.58,-75.68,4;11,New Castle,10003,7473;214286
19701,DE,1;4,10462;5,4-1-2009,39.58,-75.68,4;11,New Castle,10003,7473;214286
19701,DE,1;4,10462;5,4-1-2009,39.58,-75.68,4;11,New Castle,10003,7473;214286
19701,DE,1;4,10462;5,4-1-2009,39.58,-75.68,4;11,New Castle,10003,7473;214286
19701,DE,1;4,22210,02/23/2009,39.58,-75.68,4;11,New Castle,10003,15864;28571
