Zipcode,State,Size (kW DC),Cost,Date Installed
19713,DE,0.5,,04/30/2013
19709,DE,0.92,17662.5,12/7/2011
19904,DE,1.0,,10/19/2010
19952,DE,1.0,,02/17/2012
19971,DE,1.1,11200.0,07/17/2007
19971,DE,1.2,,1/9/2014
19709,DE,1.2,9920.0,9/12/2007
19709,DE,1.2,5200.0,09/23/2008
19809,DE,1.21,,2/1/2009
19947,DE,1.26,6600.0,11/22/2011
19701,DE,1.3,,05/27/2010
19701,DE,1.35,17980.0,12/8/2009
19701,DE,1.35,25779.0,12/8/2009
19701,DE,1.35,16576.0,12/8/2009
19701,DE,1.35,17550.0,12/8/2009
19701,DE,1.38,24500.0,12/7/2011
19804,DE,1.38,24232.95,6/9/2011
19945,DE,1.4,,09/15/2010
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,10462.5,4/1/2009
19701,DE,1.4,22210.0,02/23/2009
19701,DE,1.4,22222.0,12/8/2009
19809,DE,1.46,14531.34,6/1/2007
19703,DE,1.47,,08/23/2012
19970,DE,1.5,19626.0,11/3/2006
19701,DE,1.575,19669.0,04/26/2011
19805,DE,1.575,25869.0,10/15/2010
19701,DE,1.58,12127.5,04/30/2010
19701,DE,1.58,12127.5,4/1/2010
19701,DE,1.58,12127.5,10/1/2011
19701,DE,1.6,,08/16/2013
19803,DE,1.6,10800.0,4/1/2010
19803,DE,1.6,21147.0,04/26/2011
19701,DE,1.62,19856.0,09/16/2008
19945,DE,1.645,10750.0,04/18/2011
19968,DE,1.65,,8/3/2014
19709,DE,1.66,,08/24/2012
19805,DE,1.72,,05/31/2013
19713,DE,1.75,20965.0,1/1/2009
19934,DE,1.75,15016.0,08/14/2009
19713,DE,1.75,26325.0,9/11/2009
19958,DE,1.8,19337.0,9/10/2008
19968,DE,1.8,,04/18/2008
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19701,DE,1.8,13770.0,4/1/2009
19709,DE,1.8,29601.0,10/31/2007
19810,DE,1.8,31396.0,08/15/2008
19701,DE,1.8,25935.0,6/2/2010
19701,DE,1.8,21645.0,6/2/2010
19701,DE,1.8,30170.0,6/2/2010
19958,DE,1.8,21078.0,04/26/2010
19711,DE,1.8,19337.0,03/14/2008
19951,DE,1.8,15300.0,05/20/2009
19958,DE,1.8,,06/25/2008
19958,DE,1.8,,03/19/2009
19971,DE,1.8,,06/28/2008
19971,DE,1.8,14850.0,06/30/2008
19711,DE,1.8,19000,2/8/2007
19958,DE,1.82,,7/1/2010
19945,DE,1.84,,07/13/2012
19958,DE,1.88,,08/29/2011
19958,DE,1.88,12502.0,1/9/2012
19963,DE,1.89,,07/14/2009
19971,DE,1.89,,06/22/2011
19963,DE,1.89,19120.0,9/4/2009
19720,DE,1.96,,10/8/2014
19958,DE,2.0,,12/9/2014
19720,DE,2.0,14999.0,11/23/2010
19702,DE,2.0,,08/19/2008
19808,DE,2.0,16000.0,8/1/2007
19808,DE,2.0,14999.0,09/26/2007
19971,DE,2.0,34500.0,8/7/2009
19971,DE,2.0,25074.0,6/2/2010
19807,DE,2.0,24000.0,3/1/2008
19904,DE,2.04,,09/27/2013
19964,DE,2.04,13074.37,1/12/2011
19708,DE,2.07,,7/7/2010
19709,DE,2.07,,11/8/2010
19803,DE,2.07,23280.0,6/2/2010
19803,DE,2.07,18732.0,9/3/2009
19707,DE,2.1,18900.0,1/1/2009
19804,DE,2.1,,03/18/2011
19702,DE,2.1,,05/29/2008
19707,DE,2.1,37698.0,6/12/2009
19803,DE,2.15,17850.0,10/8/2008
19803,DE,2.15,28769.0,2/11/2009
19958,DE,2.16,21980.0,08/16/2008
19711,DE,2.2,18700.0,01/20/2009
19958,DE,2.2,,6/11/2012
19711,DE,2.2,31696.35,5/11/2010
19968,DE,2.22,23066.0,02/29/2008
19806,DE,2.22,22000.0,2/2/2004
19968,DE,2.22,37130.0,03/25/2008
19901,DE,2.25,15750.0,12/1/2010
19901,DE,2.25,21700.0,12/7/2011
19968,DE,2.3,,11/12/2013
19720,DE,2.3,20700.0,1/1/2009
19963,DE,2.3,,09/24/2010
19963,DE,2.3,16098.4,09/24/2010
19720,DE,2.3,39661.33,6/12/2009
19963,DE,2.3,16100.0,03/21/2011
19968,DE,2.35,,02/16/2011
19960,DE,2.35,,12/4/2012
19963,DE,2.35,16450.0,05/17/2011
19968,DE,2.4,,2/4/2009
19802,DE,2.4,19539.0,7/1/2006
19947,DE,2.4,21000.0,1/10/2009
19970,DE,2.4,21600.0,9/1/2006
19963,DE,2.4,,04/18/2011
19968,DE,2.4,19800.0,11/20/2008
19970,DE,2.4,43478.0,09/19/2006
