Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
32750,FL,0;01,1000,6-9-2005,28.70,-81.34,4;75,Seminole,40133,100000,94;74043716
34691,FL,0;2,600,01/18/2011,28.18,-82.74,5;21,Pasco,12101,3000,2078;306011
33141,FL,0;21,76495;19,06/28/2010,25.77,-80.20,4;75,Miami-Dade,12086,364262;8095,1989;54918
32169,FL,0;6,,06/28/2004,29.02,-80.92,4;98,Volusia,12127,0,5959;672131
32168,FL,0;6,5693,06/28/2004,29.02,-80.92,4;72,Volusia,12127,9488;333333,5648;52459
33325,FL,0;8,10000,06/15/2010,26.14,-80.13,4;57,Broward,12011,12500,7292;021858
34778,FL,0;8,,02/26/2002,28.56,-81.58,0,0,0,0,0
32803,FL,0;9,4500,11-10-2011,0,0,4;69,Orange,51137,5000,8418;934426
33845,FL,0;96,,11/22/2001,28.50,-81.37,0,0,0,0,0
33845,FL,0;96,,01/25/2002,28.10,-81.62,0,0,0,0,0
32713,FL,0;96,,01/28/2002,0,0,4;67,Volusia,12127,0,8941;901639
34772,FL,1;11,8919,3-12-2012,28.10,-81.62,4;78,Osceola,26133,8035;135135,10582;60656
32828,FL,1;2,,9-8-2011,0,0,4;72,Orange,51137,0,11297;04918
32169,FL,1;2,,9-8-2000,28.88,-81.32,4;98,Volusia,12127,0,11919;34426
34778,FL,1;2,,8-10-2001,28.24,-81.28,0,0,0,0,0
32604,FL,1;2,,12/15/2002,28.50,-81.37,0,0,0,0,0
33778,FL,1;2,,12-4-2002,29.02,-80.92,5;25,Pinellas,12103,0,12565;57377
32952,FL,1;2,,07/20/2002,28.56,-81.58,5;07,Brevard,12009,0,12134;7541
32195,FL,1;28,,02/15/2002,0,0,4;75,Marion,54049,0,12126;77596
32790,FL,1;6,,5-1-2007,29.67,-82.33,0,0,0,0,0
32789,FL,1;6,,5-1-2007,0,0,4;73,Orange,51137,0,15094;64481
32608,FL,1;68,,2-2-2004,27.90,-82.78,4;66,Alachua,12001,0,15614;81967
32605,FL,1;68,,2-2-2004,28.32,-80.68,4;63,Alachua,12001,0,15514;29508
32604,FL,1;68,,01/15/2004,28.98,-81.92,0,0,0,0,0
32605,FL,1;68,16852,01/15/2004,28.59,-81.34,4;63,Alachua,12001,10030;95238,15514;29508
32608,FL,1;68,16852,01/15/2004,0,0,4;66,Alachua,12001,10030;95238,15614;81967
32608,FL,1;7,,12/18/2002,28.59,-81.34,4;66,Alachua,12001,0,15800;71038
33804,FL,1;8,,7-1-1999,29.67,-82.33,0,0,0,0,0
34478,FL,1;8,,12/21/2001,29.67,-82.33,4;7,Marion,54049,0,16873;77049
33804,FL,1;8,,1-4-1998,29.67,-82.33,0,0,0,0,0
33804,FL,1;8,,6-1-2000,0,0,0,0,0,0,0
32216,FL,1;8,,12/20/2002,29.67,-82.33,4;54,Duval,48131,0,16299;34426
32904,FL,1;8,,12-1-2002,29.67,-82.33,4;83,Brevard,12009,0,17340;4918
32604,FL,1;8,,12/15/2002,29.67,-82.33,0,0,0,0,0
33813,FL,1;8,13950,7-1-1999,28.04,-81.96,4;89,Polk,55095,7750,17555;90164
33813,FL,1;8,15870,7-1-1999,0,0,4;89,Polk,55095,8816;666667,17555;90164
33860,FL,1;8,13950,6-1-2000,29.18,-82.13,4;89,Polk,55095,7750,17555;90164
33801,FL,1;8,17790,7-1-1999,28.04,-81.96,4;85,Polk,55095,9883;333333,17412;29508
33809,FL,1;8,13950,7-1-1999,0,0,4;81,Polk,55095,7750,17268;68852
33803,FL,1;8,15870,7-1-1999,28.04,-81.96,4;87,Polk,55095,8816;666667,17484;09836
32607,FL,1;92,7500,06/26/2012,0,0,4;64,Alachua,12001,3906;25,17768;91803
34211,FL,1;98,,4-1-2008,30.33,-81.65,4;95,Manatee,12081,0,19548;44262
34207,FL,1;98,,4-1-2008,28.08,-80.60,5;07,Manatee,12081,0,20022;34426
34231,FL,2,20000,06/28/2010,29.67,-82.33,5;13,Sarasota,12115,10000,20463;93443
32176,FL,2,15300,06/26/2010,0,0,4;9,Volusia,12127,7650,19546;44809
34769,FL,2,,08/26/2011,28.04,-81.96,4;65,Osceola,26133,0,18549;18033
34771,FL,2,18110,02/13/2008,28.04,-81.96,4;74,Osceola,26133,9055,18908;19672
32211,FL,2,17000,12-1-2009,27.90,-81.97,4;58,Duval,48131,8500,18269;94536
32780,FL,2,13800,7-1-2009,28.04,-81.96,4;87,Brevard,12009,6900,19426;77596
32174,FL,2,19400,8-6-2009,28.04,-81.96,4;76,Volusia,12127,9700,18987;97814
34608,FL,2,25000,10-6-2009,28.04,-81.96,4;87,Hernando,12053,12500,19426;77596
33418,FL,2,,06/29/2007,29.67,-82.33,4;6,Palm Beach,12099,0,18349;72678
33109,FL,2,,06/29/2007,27.48,-82.57,5;04,Miami-Dade,12086,0,20104;91803
32835,FL,2,,12-9-2008,27.48,-82.57,4;74,Orange,51137,0,18908;19672
33149,FL,2,,06/29/2007,27.33,-82.54,5;09,Miami-Dade,12086,0,20304;37158
33155,FL,2,,06/29/2007,29.28,-81.06,4;8,Miami-Dade,12086,0,19147;54098
34448,FL,2,15800,5-1-2007,28.24,-81.28,5;11,Citrus,12017,7900,20384;15301
32751,FL,2,,01/19/2007,28.24,-81.28,4;74,Orange,51137,0,18908;19672
34990,FL,2,,06/29/2007,30.33,-81.65,4;75,Martin,48317,0,18948;08743
32766,FL,2.004,15379;4,04/25/2010,28.58,-80.82,4;72,Seminole,40133,7;674351297,18866072;13
32808,FL,2.004,,12-9-2008,29.28,-81.06,4;75,Orange,51137,0,18985983;61
32757,FL,2.004,,01/19/2007,28.44,-82.56,4;81,Lake,47095,0,19225806;56
33458,FL,2.005,16000,10/16/2009,26.74,-80.12,4;66,Palm Beach,12099,7;980049875,18635543;72
32312,FL,2;01,33640;4,09/29/2006,25.77,-80.20,4;88,Leon,48289,16736;51741,19564
33804,FL,2.025,,4-1-1998,28.50,-81.37,0,0,0,0,0
32420,FL,2.028,14120,4-2-2010,25.68,-80.16,4;57,Jackson,55053,6;962524655,18485275;41
34997,FL,2;04,8160,11-6-2008,25.77,-80.20,4;71,Martin,48317,4000,19164;29508
32321,FL,2;04,23300,07/30/2009,28.78,-82.61,4;6,Liberty,48291,11421;56863,18716;72131
32216,FL,2;04,,8-2-2002,28.62,-81.36,4;54,Duval,48131,0,18472;59016
32207,FL,2;04,39000,8-2-2002,27.16,-80.26,4;5,Duval,48131,19117;64706,18309;83607
34134,FL,2.048,,05/31/2002,28.65,-81.18,5;31,Lee,51105,0,21690334;43
32189,FL,2;05,3858;16,8-8-2010,28.50,-81.37,4;66,Putnam,54079,1882;029268,19053;79781
34769,FL,2;05,16000,05/24/2010,28.80,-81.64,4;65,Osceola,26133,7804;878049,19012;90984
33193,FL,2;05,16000,3-10-2010,26.92,-80.10,4;6,Miami-Dade,12086,7804;878049,18808;46995
32174,FL,2;05,15500,10/26/2009,30.45,-84.28,4;76,Volusia,12127,7560;97561,19462;6776
32503,FL,2;05,15280,12/31/2009,28.04,-81.96,4;64,Escambia,12033,7453;658537,18972;02186
33138,FL,2;05,14000,4-2-2010,0,0,4;75,Miami-Dade,12086,6829;268293,19421;78962
33322,FL,2;05,15500,11-4-2009,30.69,-85.39,4;53,Broward,12011,7560;97561,18522;2541
32952,FL,2;05,,4-8-2008,27.19,-80.24,5;07,Brevard,12009,0,20730;20492
32953,FL,2;05,,4-8-2008,30.42,-84.97,5;04,Brevard,12009,0,20607;54098
32119,FL,2;07,18900,01/15/2010,30.33,-81.65,4;78,Volusia,12127,9130;434783,19735;13115
33040,FL,2;07,39377,2-8-2010,30.33,-81.65,5;43,Monroe,55081,19022;70531,22418;77869
33908,FL,2;07,10350,04/30/2010,26.34,-81.78,5;22,Lee,51105,5000,21551;7541
32832,FL,2;07,16000,04/14/2010,29.55,-81.65,4;76,Orange,51137,7729;468599,19652;55738
32809,FL,2;07,16700,04/16/2010,28.24,-81.28,4;7,Orange,51137,8067;63285,19404;83607
33703,FL,2;08,17625,06/30/2010,25.77,-80.20,5;2,Pinellas,12103,8473;557692,21572;89617
33703,FL,2;08,18960,06/20/2010,29.28,-81.06,5;2,Pinellas,12103,9115;384615,21572;89617
33703,FL,2;08,16983,06/20/2010,30.44,-87.18,5;2,Pinellas,12103,8164;903846,21572;89617
34286,FL,2;08,17680,06/25/2009,25.77,-80.20,4;97,Sarasota,12115,8500,20618;71038
32024,FL,2;1,15500,06/24/2010,26.14,-80.13,4;66,Columbia,55021,7380;952381,19518;52459
32764,FL,2;1,13000,5-12-2010,28.32,-80.68,4;69,Volusia,12127,6190;47619,19644;18033
34714,FL,2;1,20000,2-11-2010,28.32,-80.68,4;74,0,0,9523;809524,19853;60656
32583,FL,2;1,15808;06,12/23/2009,29.19,-81.05,0,Santa Rosa,12113,7527;647619,0
32570,FL,2;1,23150,01/20/2010,24.55,-81.78,4;66,Santa Rosa,12113,11023;80952,19518;52459
32420,FL,2;1,19635,4-12-2010,26.63,-81.85,4;51,Jackson,55053,9350,18890;2459
32218,FL,2;1,17995,04/20/2010,28.50,-81.37,4;57,Duval,48131,8569;047619,19141;55738
32136,FL,2;1,21000,07/24/2009,28.50,-81.37,4;63,Flagler,12035,10000,19392;86885
33594,FL,2;1,21523,07/27/2009,27.75,-82.64,4;8,Hillsborough,33011,10249;04762,20104;91803
34145,FL,2;1,14000,9-11-2009,27.75,-82.64,4;89,Collier,12021,6666;666667,20481;88525
33617,FL,2;1,,11/15/2007,27.75,-82.64,5;4,Hillsborough,33011,0,22618;03279
33436,FL,2;1,,5-1-2007,27.04,-82.19,4;82,Palm Beach,12099,0,20188;68852
33732,FL,2;1,,7-1-2007,30.19,-82.64,4;77,0,0,0,19979;2623
32808,FL,2;1,,12-1-2007,28.84,-81.16,0,Orange,51137,0,0
34478,FL,2;1,,01/30/2007,28.53,-81.76,4;75,Marion,54049,0,19895;4918
32601,FL,2;1,10500,01/31/2012,0,0,4;7,Alachua,12001,5000,19686;06557
32828,FL,2;1,,12-1-2007,30.63,-87.04,4;63,Orange,51137,0,19392;86885
33853,FL,2;1,,5-1-2007,30.63,-87.04,4;72,Polk,55095,0,19769;83607
33710,FL,2;1,,7-1-2007,30.69,-85.39,4;83,Pinellas,12103,0,20230;57377
33610,FL,2;1,,11/15/2007,30.33,-81.65,5;23,Hillsborough,33011,0,21905;98361
34480,FL,2;1,,01/30/2007,29.47,-81.13,4;88,Marion,54049,0,20440
34275,FL,2.145,22500,09/22/2009,27.94,-82.25,4;69,Sarasota,12115,10;48951049,20065127;05
32303,FL,2;16,22000,10-1-2009,25.94,-81.73,5;12,Leon,48289,10185;18519,22057;96721
32351,FL,2;16,19035,6-10-2010,27.95,-82.48,4;94,Gadsden,12039,8812;5,21282;4918
34221,FL,2;16,18900,8-10-2009,26.52,-80.08,4;7,Manatee,12081,8750,20248;52459
32309,FL,2;16,25952,06/22/2007,27.75,-82.64,5;17,Leon,48289,12014;81481,22273;37705
32309,FL,2;16,32744;02,10/20/2006,0,0,4;82,Leon,48289,15159;26852,20765;5082
34772,FL,2;16,25468,9-11-2008,28.50,-81.37,4;82,Osceola,26133,11790;74074,20765;5082
32052,FL,2;16,21450,7-3-2009,29.18,-82.13,4;78,Hamilton,48193,9930;555556,20593;18033
34689,FL,2;16,,1-4-2002,29.67,-82.33,4;58,Pinellas,12103,0,19731;54098
34209,FL,2;2,14500,10/26/2009,28.50,-81.37,5;11,Manatee,12081,6590;909091,22422;56831
33972,FL,2;2,16800,10/15/2009,27.90,-81.58,5;2,Lee,51105,7636;363636,22817;48634
33404,FL,2;2,15500,10/27/2009,27.75,-82.64,4;89,Palm Beach,12099,7045;454545,21457;21311
34135,FL,2;22,15112,4-1-2010,27.95,-82.48,4;65,Lee,51105,6807;207207,20589;59016
34668,FL,2;24,18900,12/19/2009,29.18,-82.13,5;12,Pasco,12101,8437;5,22874;92896
