Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
32750,FL,0.01,1000,6/9/2005,28.70,-81.34,4;75,Seminole,40133
34691,FL,0.2,600.0,01/18/2011,28.18,-82.74,5;21,Pasco,12101
33141,FL,0.21,76495.19,06/28/2010,25.77,-80.20,4;75,Miami-Dade,12086
32169,FL,0.6,,06/28/2004,29.02,-80.92,4;98,Volusia,12127
32168,FL,0.6,5693,06/28/2004,29.02,-80.92,4;72,Volusia,12127
33325,FL,0.8,10000.0,06/15/2010,26.14,-80.13,4;57,Broward,12011
34778,FL,0.8,,02/26/2002,28.56,-81.58,0,0,0
32803,FL,0.9,4500.0,11/10/2011,0,0,4;69,Orange,51137
33845,FL,0.96,,11/22/2001,28.50,-81.37,0,0,0
33845,FL,0.96,,01/25/2002,28.10,-81.62,0,0,0
32713,FL,0.96,,01/28/2002,0,0,4;67,Volusia,12127
34772,FL,1.11,8919.0,3/12/2012,28.10,-81.62,4;78,Osceola,26133
32828,FL,1.2,,9/8/2011,0,0,4;72,Orange,51137
32169,FL,1.2,,9/8/2000,28.88,-81.32,4;98,Volusia,12127
34778,FL,1.2,,8/10/2001,28.24,-81.28,0,0,0
32604,FL,1.2,,12/15/2002,28.50,-81.37,0,0,0
33778,FL,1.2,,12/4/2002,29.02,-80.92,5;25,Pinellas,12103
32952,FL,1.2,,07/20/2002,28.56,-81.58,5;07,Brevard,12009
32195,FL,1.28,,02/15/2002,0,0,4;75,Marion,54049
32790,FL,1.6,,5/1/2007,29.67,-82.33,0,0,0
32789,FL,1.6,,5/1/2007,0,0,4;73,Orange,51137
32608,FL,1.68,,2/2/2004,27.90,-82.78,4;66,Alachua,12001
32605,FL,1.68,,2/2/2004,28.32,-80.68,4;63,Alachua,12001
32604,FL,1.68,,01/15/2004,28.98,-81.92,0,0,0
32605,FL,1.68,16852,01/15/2004,28.59,-81.34,4;63,Alachua,12001
32608,FL,1.68,16852,01/15/2004,0,0,4;66,Alachua,12001
32608,FL,1.7,,12/18/2002,28.59,-81.34,4;66,Alachua,12001
33804,FL,1.8,,7/1/1999,29.67,-82.33,0,0,0
34478,FL,1.8,,12/21/2001,29.67,-82.33,4;70,Marion,54049
33804,FL,1.8,,1/4/1998,29.67,-82.33,0,0,0
33804,FL,1.8,,6/1/2000,0,0,0,0,0
32216,FL,1.8,,12/20/2002,29.67,-82.33,4;54,Duval,48131
32904,FL,1.8,,12/1/2002,29.67,-82.33,4;83,Brevard,12009
32604,FL,1.8,,12/15/2002,29.67,-82.33,0,0,0
33813,FL,1.8,13950,7/1/1999,28.04,-81.96,4;89,Polk,55095
33813,FL,1.8,15870,7/1/1999,0,0,4;89,Polk,55095
33860,FL,1.8,13950,6/1/2000,29.18,-82.13,4;89,Polk,55095
33801,FL,1.8,17790,7/1/1999,28.04,-81.96,4;85,Polk,55095
33809,FL,1.8,13950,7/1/1999,0,0,4;81,Polk,55095
33803,FL,1.8,15870,7/1/1999,28.04,-81.96,4;87,Polk,55095
32607,FL,1.92,7500.0,06/26/2012,0,0,4;64,Alachua,12001
34211,FL,1.98,,4/1/2008,30.33,-81.65,4;95,Manatee,12081
34207,FL,1.98,,4/1/2008,28.08,-80.60,5;07,Manatee,12081
34231,FL,2.0,20000.0,06/28/2010,29.67,-82.33,5;13,Sarasota,12115
32176,FL,2.0,15300.0,06/26/2010,0,0,4;90,Volusia,12127
34769,FL,2.0,,08/26/2011,28.04,-81.96,4;65,Osceola,26133
34771,FL,2.0,18110.0,02/13/2008,28.04,-81.96,4;74,Osceola,26133
32211,FL,2.0,17000.0,12/1/2009,27.90,-81.97,4;58,Duval,48131
32780,FL,2.0,13800.0,7/1/2009,28.04,-81.96,4;87,Brevard,12009
32174,FL,2.0,19400.0,8/6/2009,28.04,-81.96,4;76,Volusia,12127
34608,FL,2.0,25000.0,10/6/2009,28.04,-81.96,4;87,Hernando,12053
33418,FL,2,,06/29/2007,29.67,-82.33,4;60,Palm Beach,12099
33109,FL,2,,06/29/2007,27.48,-82.57,5;04,Miami-Dade,12086
32835,FL,2,,12/9/2008,27.48,-82.57,4;74,Orange,51137
33149,FL,2,,06/29/2007,27.33,-82.54,5;09,Miami-Dade,12086
33155,FL,2,,06/29/2007,29.28,-81.06,4;80,Miami-Dade,12086
34448,FL,2,15800,5/1/2007,28.24,-81.28,5;11,Citrus,12017
32751,FL,2,,01/19/2007,28.24,-81.28,4;74,Orange,51137
34990,FL,2,,06/29/2007,30.33,-81.65,4;75,Martin,48317
32766,FL,2.004,15379.4,04/25/2010,28.58,-80.82,4;72,Seminole,40133
32808,FL,2.004,,12/9/2008,29.28,-81.06,4;75,Orange,51137
32757,FL,2.004,,01/19/2007,28.44,-82.56,4;81,Lake,47095
33458,FL,2.005,16000.0,10/16/2009,26.74,-80.12,4;66,Palm Beach,12099
32312,FL,2.01,33640.4,09/29/2006,25.77,-80.20,4;88,Leon,48289
33804,FL,2.025,,4/1/1998,28.50,-81.37,0,0,0
32420,FL,2.028,14120.0,4/2/2010,25.68,-80.16,4;57,Jackson,55053
34997,FL,2.04,8160.0,11/6/2008,25.77,-80.20,4;71,Martin,48317
32321,FL,2.04,23300.0,07/30/2009,28.78,-82.61,4;60,Liberty,48291
32216,FL,2.04,,8/2/2002,28.62,-81.36,4;54,Duval,48131
32207,FL,2.04,39000,8/2/2002,27.16,-80.26,4;50,Duval,48131
34134,FL,2.048,,05/31/2002,28.65,-81.18,5;31,Lee,51105
32189,FL,2.05,3858.16,8/8/2010,28.50,-81.37,4;66,Putnam,54079
34769,FL,2.05,16000.0,05/24/2010,28.80,-81.64,4;65,Osceola,26133
33193,FL,2.05,16000.0,3/10/2010,26.92,-80.10,4;60,Miami-Dade,12086
32174,FL,2.05,15500.0,10/26/2009,30.45,-84.28,4;76,Volusia,12127
32503,FL,2.05,15280.0,12/31/2009,28.04,-81.96,4;64,Escambia,12033
33138,FL,2.05,14000.0,4/2/2010,0,0,4;75,Miami-Dade,12086
33322,FL,2.05,15500.0,11/4/2009,30.69,-85.39,4;53,Broward,12011
32952,FL,2.05,,4/8/2008,27.19,-80.24,5;07,Brevard,12009
32953,FL,2.05,,4/8/2008,30.42,-84.97,5;04,Brevard,12009
32119,FL,2.07,18900.0,01/15/2010,30.33,-81.65,4;78,Volusia,12127
33040,FL,2.07,39377.0,2/8/2010,30.33,-81.65,5;43,Monroe,55081
33908,FL,2.07,10350.0,04/30/2010,26.34,-81.78,5;22,Lee,51105
32832,FL,2.07,16000.0,04/14/2010,29.55,-81.65,4;76,Orange,51137
32809,FL,2.07,16700.0,04/16/2010,28.24,-81.28,4;70,Orange,51137
33703,FL,2.08,17625.0,06/30/2010,25.77,-80.20,5;20,Pinellas,12103
33703,FL,2.08,18960.0,06/20/2010,29.28,-81.06,5;20,Pinellas,12103
33703,FL,2.08,16983.0,06/20/2010,30.44,-87.18,5;20,Pinellas,12103
34286,FL,2.08,17680.0,06/25/2009,25.77,-80.20,4;97,Sarasota,12115
32024,FL,2.1,15500.0,06/24/2010,26.14,-80.13,4;66,Columbia,55021
32764,FL,2.1,13000.0,5/12/2010,28.32,-80.68,4;69,Volusia,12127
34714,FL,2.1,20000.0,2/11/2010,28.32,-80.68,4;74,0,0
32583,FL,2.1,15808.06,12/23/2009,29.19,-81.05,0,Santa Rosa,12113
32570,FL,2.1,23150.0,01/20/2010,24.55,-81.78,4;66,Santa Rosa,12113
32420,FL,2.1,19635.0,4/12/2010,26.63,-81.85,4;51,Jackson,55053
32218,FL,2.1,17995.0,04/20/2010,28.50,-81.37,4;57,Duval,48131
32136,FL,2.1,21000.0,07/24/2009,28.50,-81.37,4;63,Flagler,12035
33594,FL,2.1,21523.0,07/27/2009,27.75,-82.64,4;80,Hillsborough,33011
34145,FL,2.1,14000.0,9/11/2009,27.75,-82.64,4;89,Collier,12021
33617,FL,2.1,,11/15/2007,27.75,-82.64,5;40,Hillsborough,33011
33436,FL,2.1,,5/1/2007,27.04,-82.19,4;82,Palm Beach,12099
33732,FL,2.1,,7/1/2007,30.19,-82.64,4;77,0,0
32808,FL,2.1,,12/1/2007,28.84,-81.16,0,Orange,51137
34478,FL,2.1,,01/30/2007,28.53,-81.76,4;75,Marion,54049
32601,FL,2.1,10500.0,01/31/2012,0,0,4;70,Alachua,12001
32828,FL,2.1,,12/1/2007,30.63,-87.04,4;63,Orange,51137
33853,FL,2.1,,5/1/2007,30.63,-87.04,4;72,Polk,55095
33710,FL,2.1,,7/1/2007,30.69,-85.39,4;83,Pinellas,12103
33610,FL,2.1,,11/15/2007,30.33,-81.65,5;23,Hillsborough,33011
34480,FL,2.1,,01/30/2007,29.47,-81.13,4;88,Marion,54049
34275,FL,2.145,22500.0,09/22/2009,27.94,-82.25,4;69,Sarasota,12115
32303,FL,2.16,22000.0,10/1/2009,25.94,-81.73,5;12,Leon,48289
32351,FL,2.16,19035.0,6/10/2010,27.95,-82.48,4;94,Gadsden,12039
34221,FL,2.16,18900.0,8/10/2009,26.52,-80.08,4;70,Manatee,12081
