Zipcode,State,Size (kW DC),Cost,Date Installed
30022,GA,1.14,9000,9/2/2008
30707,GA,1.200.000.048,,1/12/2010
31406,GA,1.5,12400,5/1/2009
30308,GA,1.67,,1/1/2002
30541,GA,1.850.000.024,,09/30/2009
30307,GA,2.0,,08/13/2010
30725,GA,2.099.999.905,,06/28/2010
30075,GA,2.64,12500.0,11/16/2011
30327,GA,3.2,,06/15/2009
30307,GA,3.8,,07/13/2010
30512,GA,4.0,,09/21/2009
30456,GA,4,30000,7/1/2009
30728,GA,4.099.999.905,,08/13/2010
30512,GA,4.199.999.809,,07/21/2010
30705,GA,4.199.999.809,,8/12/2010
30522,GA,4.800.000.191,,3/5/2010
30513,GA,4.820.000.172,,09/30/2009
30513,GA,4.820.000.172,,12/8/2009
30546,GA,5.039.999.962,,6/1/2010
30172,GA,5.039.999.962,,07/28/2010
30004,GA,5.2,30000.0,8/6/2010
31021,GA,5.7,,06/14/2011
30350,GA,6.44,,07/20/2010
30720,GA,6.449.999.809,,06/25/2010
30458,GA,7.6,24500,5/2/2015
30560,GA,7.920.000.076,,12/7/2009
30055,GA,8.23,48500,1/3/2010
30305,GA,9.45,,7/3/2009
31405,GA,10.0,31000.0,10/13/1997
30004,GA,14,78000,01/25/2010
30312,GA,16.0,,03/15/2010
30560,GA,1.715.999.985,,12/7/2009
30622,GA,27.5,,01/14/2013
30513,GA,3.120.000.076,,5/12/2010
30004,GA,34.0,120000.0,3/1/2011
30223,GA,37.44,160000.0,06/24/2011
30546,GA,4.840.000.153,,11/19/2009
31206,GA,65.8,,12/14/2011
30906,GA,70.6,,12/15/2011
30093,GA,75.46,,9/5/2012
30721,GA,92.61,,6/6/2011
31021,GA,95.0,,3/1/2011
30269,GA,98.7,,12/15/2009
30269,GA,119.0,,01/15/2010
31321,GA,132.48,,09/25/2009
30336,GA,135.0,,06/15/2012
30721,GA,144.0,,1/8/2010
30513,GA,1.748.000.031,,07/16/2010
30269,GA,496.2,,7/2/2013
30512,GA,1000.0,,01/24/2011
30288,GA,1000.0,5000000.0,10/4/2011
30286,GA,1000.0,,06/14/2012
30363,GA,1034.9,,07/23/2012
