Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
96783,HI,0;16,,12/14/2009,19.83,-155.10,3;47,Hawaii,15001,0,1107;36612
96766,HI,0;2,,3-11-2009,21.97,-159.35,4;14,Kauai,15007,0,1651;47541
96789,HI,0;23,,5-5-2003,21.45,-158.01,4;59,Honolulu,0,0,2105;631148
96822,HI,0;31,,11/23/2009,0,0,0,0,0,0,0
96792,HI,0;31,,02/19/2003,21.30,-157.85,5;01,Honolulu,0,0,3097;713115
96822,HI,0;4,,01/22/2009,0,0,0,0,0,0,0
96771,HI,0;41,,8-1-2009,21.44,-158.18,5;25,Honolulu,15001,0,4293;237705
96822,HI,0;46,,06/22/2009,0,0,0,0,0,0,0
96722,HI,0;5,,09/24/2010,21.30,-157.85,5;01,Honolulu,15007,0,4996;311475
96793,HI,0;6,,08/21/2007,0,0,0,0,15009,0,0
96734,HI,0;62,,01/31/2004,19.52,-155.14,3;62,Hawaii,0,0,4476;535519
96789,HI,0;65,,2-11-2009,21.30,-157.85,5;01,Honolulu,0,0,6495;204918
96734,HI,0;67,,02/19/2003,0,0,0,0,0,0,0
96720,HI,0;68,,8-10-2009,22.22,-159.48,3;36,Kauai,15001,0,4557;114754
96744,HI,0;69,,02/16/2006,20.88,-156.50,5;09,Maui,0,0,7005;008197
96744,HI,0;69,,02/16/2006,21.40,-157.73,4;27,Honolulu,0,0,5876;5
96789,HI,0;7,,8-4-2009,0,0,0,0,0,0,0
96797,HI,0;7,,4-7-2009,21.45,-158.01,4;59,Honolulu,0,0,6408;442623
96746,HI,0;7,,09/14/2010,0,0,0,0,15007,0,0
96746,HI,0;7,,09/15/2010,21.40,-157.73,4;27,Honolulu,15007,0,5961;666667
96701,HI,0;7,,01/20/2009,0,0,0,0,0,0,0
96706,HI,0;7,,01/22/2009,19.69,-155.08,4;85,Hawaii,0,0,6771;448087
96822,HI,0;7,,01/22/2009,21.41,-157.79,3;94,Honolulu,0,0,5500;928962
96822,HI,0;7,,08/28/2009,0,0,0,0,0,0,0
96822,HI,0;7,,03/30/2009,21.41,-157.79,3;94,Honolulu,0,0,5500;928962
96822,HI,0;7,,2-11-2009,0,0,0,0,0,0,0
96734,HI,0;7,,2-11-2009,21.45,-158.01,4;59,Honolulu,0,0,6408;442623
96744,HI,0;7,,01/20/2009,0,0,0,0,0,0,0
96744,HI,0;7,,01/20/2009,21.39,-158.01,4;93,Honolulu,0,0,6883;142077
96708,HI,0;7,,12/31/2009,0,0,0,0,15009,0,0
96734,HI,0;71,,3-8-2004,22.09,-159.35,3;57,Kauai,0,0,5055;54918
96718,HI,0;72,,9-1-2009,22.09,-159.35,3;57,Kauai,15001,0,5126;754098
96786,HI,0;76,,4-9-2009,21.38,-157.92,4;69,Honolulu,0,0,7109;322404
96741,HI,0;76,,06/23/2009,0,0,0,0,15007,0,0
96782,HI,0;77,,7-9-2009,21.31,-158.01,5;73,Honolulu,0,0,8800;090164
96792,HI,0;77,,06/30/2009,0,0,0,0,0,0,0
96740,HI,0;77,,12-9-2008,21.30,-157.85,5;01,Honolulu,15001,0,7694;319672
96706,HI,0;77,,04/27/2009,0,0,0,0,0,0,0
96822,HI,0;77,,7-9-2009,21.30,-157.85,5;01,Honolulu,0,0,7694;319672
96822,HI,0;77,,1-6-2009,0,0,0,0,0,0,0
96822,HI,0;77,,07/28/2009,21.30,-157.85,5;01,Honolulu,0,0,7694;319672
96822,HI,0;77,,2-3-2009,0,0,0,0,0,0,0
96822,HI,0;77,,1-8-2009,21.30,-157.85,5;01,Honolulu,0,0,7694;319672
96822,HI,0;77,,7-6-2009,0,0,0,0,0,0,0
96734,HI,0;77,,9-9-2009,21.40,-157.73,4;27,Honolulu,0,0,6557;833333
96744,HI,0;77,,07/28/2009,0,0,0,0,0,0,0
96743,HI,0;775,,03/13/2009,21.41,-157.79,3;94,Honolulu,15001,0,6090;314208
96720,HI,0;78,,12/24/2008,0,0,0,0,15001,0,0
