Zipcode,State,Size (kW DC),Cost,Date Installed
96783,HI,0.16,,12/14/2009
96766,HI,0.2,,3/11/2009
96789,HI,0.23,,5/5/2003
96822,HI,0.31,,11/23/2009
96792,HI,0.31,,02/19/2003
96822,HI,0.4,,01/22/2009
96771,HI,0.41,,8/1/2009
96822,HI,0.46,,06/22/2009
96722,HI,0.5,,09/24/2010
96793,HI,0.6,,08/21/2007
96734,HI,0.62,,01/31/2004
96789,HI,0.65,,2/11/2009
96734,HI,0.67,,02/19/2003
96720,HI,0.68,,8/10/2009
96744,HI,0.69,,02/16/2006
96744,HI,0.69,,02/16/2006
96789,HI,0.7,,8/4/2009
96797,HI,0.7,,4/7/2009
96746,HI,0.7,,09/14/2010
96746,HI,0.7,,09/15/2010
96701,HI,0.7,,01/20/2009
96706,HI,0.7,,01/22/2009
96822,HI,0.7,,01/22/2009
96822,HI,0.7,,08/28/2009
96822,HI,0.7,,03/30/2009
96822,HI,0.7,,2/11/2009
96734,HI,0.7,,2/11/2009
96744,HI,0.7,,01/20/2009
96744,HI,0.7,,01/20/2009
96708,HI,0.7,,12/31/2009
96734,HI,0.71,,3/8/2004
96718,HI,0.72,,9/1/2009
96786,HI,0.76,,4/9/2009
96741,HI,0.76,,06/23/2009
96782,HI,0.77,,7/9/2009
96792,HI,0.77,,06/30/2009
96740,HI,0.77,,12/9/2008
96706,HI,0.77,,04/27/2009
96822,HI,0.77,,7/9/2009
96822,HI,0.77,,1/6/2009
96822,HI,0.77,,07/28/2009
96822,HI,0.77,,2/3/2009
96822,HI,0.77,,1/8/2009
96822,HI,0.77,,7/6/2009
96734,HI,0.77,,9/9/2009
96744,HI,0.77,,07/28/2009
96743,HI,0.775,,03/13/2009
96720,HI,0.78,,12/24/2008
96789,HI,0.79,,3/6/2009
96817,HI,0.79,,12/12/2007
96746,HI,0.8,,05/18/2004
96746,HI,0.8,,12/7/2007
96761,HI,0.875,,11/23/2009
96749,HI,0.875,,07/24/2009
96761,HI,0.88,,04/24/2009
96789,HI,0.9,,10/14/2009
96718,HI,0.9,,6/2/2004
96701,HI,0.9,,8/10/2009
96712,HI,0.9,,11/25/2009
96822,HI,0.9,,12/22/2009
96744,HI,0.93,,06/29/2009
96789,HI,0.94,,02/24/2009
96792,HI,0.94,,12/4/2009
96744,HI,0.94,,3/3/2009
96744,HI,0.94,,4/7/2009
96744,HI,0.95,,6/3/2009
96786,HI,1.0,,02/19/2009
96797,HI,1.0,,3/12/2009
96714,HI,1.0,,10/8/2002
96714,HI,1.0,,09/18/2008
96741,HI,1.0,,06/21/2006
96741,HI,1.0,,4/7/2007
96746,HI,1.0,,06/15/2006
96746,HI,1.0,,10/6/2006
96744,HI,1.0,,9/12/2002
96740,HI,1.0,,9/4/2009
96701,HI,1.0,,3/9/2009
96822,HI,1.0,,02/20/2009
96822,HI,1.0,,1/2/2009
96822,HI,1.0,,03/26/2009
96734,HI,1.0,,3/9/2009
96768,HI,1,,03/13/2008
96744,HI,1,,9/12/2002
96732,HI,1,,10/22/2009
96822,HI,1.03,,03/25/2009
96783,HI,1.04,,07/21/2009
96778,HI,1.05,,12/17/2007
96792,HI,1.08,,9/10/2009
96792,HI,1.1,,5/5/2009
96797,HI,1.1,,02/18/2009
96797,HI,1.1,,11/10/2009
96746,HI,1.1,,4/1/2010
96754,HI,1.1,,12/2/2010
96754,HI,1.1,,09/19/2008
96706,HI,1.1,,2/11/2009
96706,HI,1.1,,10/14/2009
96706,HI,1.1,,09/25/2009
96706,HI,1.1,,10/14/2009
96706,HI,1.1,,09/25/2009
96706,HI,1.1,,10/14/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,09/25/2009
96706,HI,1.1,,09/25/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,10/19/2009
96706,HI,1.1,,09/25/2009
96706,HI,1.1,,12/2/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,10/1/2009
96706,HI,1.1,,12/2/2009
96706,HI,1.1,,10/1/2009
96822,HI,1.1,,3/3/2009
96790,HI,1.1,,1/7/2010
96789,HI,1.11,,08/18/2006
96792,HI,1.12,,06/30/2009
96720,HI,1.12,,05/28/2008
96738,HI,1.14,,10/29/2009
96748,HI,1.14,,07/19/2007
96822,HI,1.16,,5/5/2009
96822,HI,1.16,,04/27/2009
96816,HI,1.17,,04/30/2007
96712,HI,1.17,,10/4/2007
96789,HI,1.17,,03/19/2007
96744,HI,1.17,,06/22/2007
96744,HI,1.2,,11/25/2009
96707,HI,1.2,,08/18/2009
96707,HI,1.2,,06/30/2009
96707,HI,1.2,,10/26/2009
