Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
52162,IA,1,7000,1-3-2011,43.08,-91.56,3;97,Allamakee,19005,7000,7918;306011
52172,IA,1,4000,7-9-2012,43.26,-91.47,3;94,Allamakee,19005,4000,7858;469945
52247,IA,1;8,10475,05/27/2010,41.48,-91.70,4;03,Washington,55131,5819;444444,14468;36066
52172,IA,2,12000,9-8-2010,43.26,-91.47,3;94,Allamakee,19005,6000,15716;93989
52404,IA,2;11,16000,8-8-2012,41.97,-91.66,4,Linn,41043,7582;938389,16833;87978
52205,IA,2;2,32000,08/23/2007,42.10,-91.28,3;93,Jones,48253,14545;45455,17244;7541
50112,IA,2;5,,11/27/2013,41.74,-92.72,4;16,Poweshiek,19157,0,20743;1694
52001,IA,2;5,,6-1-2010,42.50,-90.69,3;87,Dubuque,19061,0,19297;13115
52404,IA,3,12000,09/27/2013,41.97,-91.66,4,Linn,41043,4000,23934;42623
52335,IA,3,,10/31/2013,41.45,-92.09,4;08,Keokuk,19107,0,24413;11475
52101,IA,3,21000,06/15/2012,43.30,-91.79,3;92,Winneshiek,19191,7000,23455;7377
52353,IA,3;5,,5-3-2013,41.29,-91.69,4;07,Washington,55131,0,28412;15847
52351,IA,3;5,,10/14/2013,41.87,-91.83,4;03,Benton,53005,0,28132;9235
50216,IA,3;6,,4-10-2013,41.69,-94.36,4;32,Guthrie,19077,0,31019;01639
52353,IA,3;6,,12/20/2013,41.29,-91.69,4;07,Washington,55131,0,29223;93443
52353,IA,3;6,,3-1-2014,41.29,-91.69,4;07,Washington,55131,0,29223;93443
52404,IA,4,,8-4-2014,41.97,-91.66,4,Linn,41043,0,31912;56831
52404,IA,4,17000,09/27/2013,41.97,-91.66,4,Linn,41043,4250,31912;56831
52317,IA,4,,11/19/2013,41.74,-91.60,4;01,Johnson,56019,0,31992;34973
52404,IA,4,,02/14/2014,41.97,-91.66,4,Linn,41043,0,31912;56831
52001,IA,4,,03/14/2011,42.50,-90.69,3;87,Dubuque,19061,0,30875;40984
52317,IA,4;2,,04/18/2013,41.74,-91.60,4;01,Johnson,56019,0,33591;96721
50046,IA,4;8,,4-1-2013,41.89,-93.53,4;24,Story,19169,0,40592;78689
52353,IA,4;8,,07/16/2013,41.29,-91.69,4;07,Washington,55131,0,38965;2459
