Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
83702,ID,0;6,,06/13/2011,43.71,-116.18,5;92,Ada,16001,0
83201,ID,1;02,,12-12-2008,42.90,-112.39,5;63,Bannock,16005,0
83211,ID,1;1,,7-11-2006,42.72,-112.99,5;72,Power,16077,0
83661,ID,1;1,,4-2-2007,44.06,-116.70,5;89,Payette,16075,0
83657,ID,1;1,,3-2-2009,44.27,-116.31,5;74,Gem,16045,0
83333,ID,1;1,,04/16/2007,43.57,-114.21,5;85,Blaine,40011,0
83204,ID,1;1,,12-4-2007,42.73,-112.52,5;53,Bannock,16005,0
83464,ID,1;1,,04/15/2010,44.49,-113.36,5;31,Lemhi,16059,0
83301,ID,1;19,,03/30/2011,42.41,-114.59,5;96,Twin Falls,16083,0
83687,ID,1.792,,10/25/2011,43.60,-116.54,5;92,Canyon,16027,0
83714,ID,1;84,,10-2-2010,43.64,-116.26,6,Ada,16001,0
83530,ID,2,25000,11/14/1983,45.90,-116.13,4;85,Idaho,16049,12500
83246,ID,2;58,38000,11-9-2009,42.61,-112.04,5;46,Bannock,16005,14728;68217
83702,ID,2;71,,7-3-2006,43.71,-116.18,5;92,Ada,16001,0
83656,ID,4;77,,12/17/2013,43.72,-116.80,5;86,Canyon,16027,0
83843,ID,5,85000,04/14/2009,46.71,-116.91,4;83,Latah,16057,17000
83706,ID,5.875,,05/23/2014,43.59,-116.19,6;04,Ada,16001,0
83616,ID,6;4,,9-10-2008,43.79,-116.38,5;97,Ada,16001,0
83713,ID,6;4,,5-3-2010,43.63,-116.32,5;97,Ada,16001,0
83628,ID,7;15,,9-12-2011,43.59,-116.94,5;83,Owyhee,16073,0
83714,ID,7.392,40224,10/18/2012,43.64,-116.26,6,Ada,16001,5;441558442
83422,ID,7;59,48000,10-1-2010,43.73,-111.22,5;08,Teton,56039,6324;110672
83703,ID,8;2,,05/22/2010,43.71,-116.25,6,Ada,16001,0
83250,ID,8;82,,07/21/2011,42.68,-112.20,5;39,Bannock,16005,0
83716,ID,11;46,,10/17/2011,43.54,-115.92,5;96,Ada,16001,0
83702,ID,24;48,,03/24/2014,43.71,-116.18,5;92,Ada,16001,0
83642,ID,27;2,,12/28/2011,43.59,-116.42,5;98,Ada,16001,0
83628,ID,30;25,,08/19/2011,43.59,-116.94,5;83,Owyhee,16073,0
83352,ID,35,182356,06/28/2011,43.11,-114.40,6;24,Lincoln,56023,5210;171429
83660,ID,35;2,,9-9-2011,43.80,-116.91,5;88,Canyon,16027,0
83523,ID,37.125,191399,11-8-2011,46.23,-116.48,4;79,Lewis,54041,5;15552862
83232,ID,37;8,191164,08/16/2011,42.14,-111.96,5;57,Franklin,53021,5057;248677
83647,ID,39;33,,8-3-2011,43.36,-115.52,5;94,Elmore,16039,0
83320,ID,40;5,250000,07/24/2012,43.29,-113.64,5;97,Blaine,40011,6172;839506
83832,ID,47;53,259670,9-12-2011,46.56,-116.88,4;87,Latah,16057,5463;286345
83702,ID,50,,07/19/2012,43.71,-116.18,5;92,Ada,16001,0
83213,ID,55;44,359000,11-9-2010,43.65,-113.28,5;97,Butte,46019,6475;468975
83340,ID,55;5,,11-1-2010,43.77,-114.62,5;64,Blaine,40011,0
83864,ID,64;68,359398,08/31/2011,48.34,-116.45,4;6,Bonner,16017,5556;555349
83676,ID,79,440000,9-1-2011,43.65,-116.93,5;82,Canyon,16027,5569;620253
83440,ID,86;24,440034,06/28/2011,43.78,-111.76,5;33,Madison,51113,5102;435065
83705,ID,99;96,432076,06/20/2011,43.56,-116.21,6;02,Ada,16001,4322;488996
83647,ID,100,,03/19/2013,43.36,-115.52,5;94,Elmore,16039,0
