Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
47468,IN,0;01,,06/21/2013,39.25,-86.41,3;99,Monroe,55081,0
47408,IN,0;02,,12/31/2005,39.16,-86.52,4,Monroe,55081,0
47408,IN,0;02,,12/31/2009,39.16,-86.52,4,Monroe,55081,0
47401,IN,0;02,,06/21/2011,39.16,-86.52,4;02,Monroe,55081,0
47401,IN,0;02,,06/21/2011,39.16,-86.52,4;02,Monroe,55081,0
47408,IN,0;02,,1-1-2005,39.16,-86.52,4,Monroe,55081,0
47403,IN,0;04,,06/21/2010,39.16,-86.52,4;02,Monroe,55081,0
47401,IN,0;06,,06/21/2011,39.16,-86.52,4;02,Monroe,55081,0
47408,IN,0;06,,06/21/2010,39.16,-86.52,4,Monroe,55081,0
47408,IN,0;12,,06/21/2011,39.16,-86.52,4,Monroe,55081,0
47408,IN,0;13,,12/31/2009,39.16,-86.52,4,Monroe,55081,0
47715,IN,0;47,,06/21/2012,37.98,-87.54,4;12,Vanderburgh,18163,0
47401,IN,0;53,5900,05/15/2008,39.16,-86.52,4;02,Monroe,55081,11132;07547
47401,IN,0;66,,12/31/2009,39.16,-86.52,4;02,Monroe,55081,0
46542,IN,0;66,23075;77,05/14/2007,41.41,-85.84,3;58,Kosciusko,18085,34963;28788
47532,IN,0;72,,06/21/2011,38.22,-86.86,4;08,Dubois,18037,0
46901,IN,0;864,,2-11-2010,40.47,-86.13,3;7,Howard,48227,0
46774,IN,0;9,5715;17,03/14/2011,41.06,-85.02,3;6,Allen,39003,6350;188889
46550,IN,0;9,13778;52,08/25/2011,41.44,-85.98,3;58,Elkhart,18039,15309;46667
47401,IN,1,,06/21/2012,39.16,-86.52,4;02,Monroe,55081,0
46321,IN,1;02,5800,06/20/2009,41.54,-87.50,3;63,Lake,47095,5686;27451
47306,IN,1;04,25084,05/28/2008,40.19,-85.39,3;7,Delaware,42045,24119;23077
47167,IN,1;05,,2-1-2011,38.60,-86.09,4;08,Washington,55131,0
47115,IN,1;05,,01/25/2011,38.33,-86.21,4;08,Harrison,54033,0
47150,IN,1;05,,12/20/2010,38.30,-85.82,4;03,Floyd,51063,0
47111,IN,1;05,,9-1-2010,38.45,-85.66,4;04,Clark,55019,0
47126,IN,1;05,,12/30/2010,38.53,-85.76,4;04,Clark,55019,0
47150,IN,1;05,,03/19/2010,38.30,-85.82,4;03,Floyd,51063,0
47130,IN,1;05,,10/23/2010,38.30,-85.72,4;02,Clark,55019,0
47165,IN,1;05,,5-5-2010,38.49,-86.01,4;08,Washington,55131,0
47125,IN,1;05,,01/19/2011,38.46,-86.27,4;09,Washington,55131,0
47129,IN,1;05,,5-4-2011,38.31,-85.76,4;02,Clark,55019,0
47115,IN,1;05,,4-9-2010,38.33,-86.21,4;08,Harrison,54033,0
47170,IN,1;05,,04/13/2010,38.68,-85.78,4;05,Scott,51169,0
47150,IN,1;05,,5-12-2011,38.30,-85.82,4;03,Floyd,51063,0
47112,IN,1;05,,08/25/2010,38.21,-86.12,4;08,Harrison,54033,0
47164,IN,1;05,,04/21/2011,38.40,-86.11,4;08,Harrison,54033,0
47150,IN,1;05,,8-12-2011,38.30,-85.82,4;03,Floyd,51063,0
47201,IN,1.075,,06/21/2011,39.21,-85.91,4,Bartholomew,18005,0
47025,IN,1.075,,01/20/2010,39.10,-84.86,3;99,Dearborn,18029,0
47201,IN,1.075,,6-6-2011,39.21,-85.91,4,Bartholomew,18005,0
47006,IN,1.075,,05/16/2011,39.29,-85.21,3;95,Ripley,29181,0
47281,IN,1;11,,7-6-2011,38.80,-86.05,4;05,Jackson,55053,0
47408,IN,1;17,,2-11-2009,39.16,-86.52,4,Monroe,55081,0
47408,IN,1;2,,12/31/2009,39.16,-86.52,4,Monroe,55081,0
47408,IN,1;2,,06/21/2010,39.16,-86.52,4,Monroe,55081,0
47408,IN,1;2,,12/31/2009,39.16,-86.52,4,Monroe,55081,0
47408,IN,1;2,,06/21/2010,39.16,-86.52,4,Monroe,55081,0
47712,IN,1;22,,06/21/2013,37.98,-87.54,4;15,Vanderburgh,18163,0
46526,IN,1;36,6800,11-1-2005,41.57,-85.83,3;57,Elkhart,18039,5000
46304,IN,1;36,,06/27/2009,41.60,-87.05,3;57,Porter,18127,0
46342,IN,1;38,,7-9-2010,41.53,-87.26,3;7,Lake,47095,0
47138,IN,1;4,,03/31/2011,38.65,-85.61,4;03,Scott,51169,0
47170,IN,1;41,,10-11-2011,38.68,-85.78,4;05,Scott,51169,0
47532,IN,1;47,,03/14/2012,38.22,-86.86,4;08,Dubois,18037,0
47341,IN,1;48,,9-2-2011,39.95,-84.91,3;76,Wayne,54099,0
47401,IN,1;5,,12/31/2008,39.16,-86.52,4;02,Monroe,55081,0
47401,IN,1;5,,12/31/2009,39.16,-86.52,4;02,Monroe,55081,0
47201,IN,1;5,,06/21/2011,39.21,-85.91,4,Bartholomew,18005,0
47401,IN,1;5,18500,5-12-2009,39.16,-86.52,4;02,Monroe,55081,12333;33333
47201,IN,1;6,,05/18/2008,39.21,-85.91,4,Bartholomew,18005,0
47130,IN,1;62,,7-7-2010,38.30,-85.72,4;02,Clark,55019,0
47401,IN,1;68,,06/21/2010,39.16,-86.52,4;02,Monroe,55081,0
47401,IN,1;68,,6-1-2010,39.16,-86.52,4;02,Monroe,55081,0
