Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
62441,IL,0.1,500.0,3/1/1997,39.39,-87.69,4;06,Clark,55019
62441,IL,0.2,390.0,10/1/2010,39.39,-87.69,4;06,Clark,55019
62441,IL,0.36,3400.0,5/1/1999,39.39,-87.69,4;06,Clark,55019
62441,IL,0.52,3650.0,5/1/2008,39.39,-87.69,4;06,Clark,55019
60970,IL,0.8,5552.0,01/23/2008,40.77,-87.73,3;85,Iroquois,17075
60936,IL,0.816,12148.0,03/13/2007,40.46,-88.34,3;97,Ford,20057
60642,IL,0.9,10648.0,02/20/2007,41.90,-87.65,3;70,0,0
61065,IL,0.91,11000.0,08/15/2007,0,0,0,Boone,54005
61536,IL,0.96,8925.0,1/5/2006,42.36,-88.82,3;70,Peoria,17143
62466,IL,0.96,8438.0,9/9/2005,40.69,-89.79,4;02,Lawrence,47099
60062,IL,1.0,17000.0,02/16/2010,38.71,-87.86,4;15,Cook,27031
61301,IL,1.0,10498.0,01/23/2009,42.12,-87.83,3;73,La Salle,48283
61085,IL,1.0,10500.0,02/23/2006,41.34,-89.09,3;88,Jo Daviess,17085
61244,IL,1.0,8710.0,1/5/2006,42.35,-90.00,3;84,Rock Island,17161
60643,IL,1.0,14480.0,04/13/2007,41.51,-90.42,4;00,Cook,27031
60525,IL,1.0,5860.0,04/15/2010,41.83,-87.68,3;73,Cook,27031
60623,IL,1.0,17000.0,02/16/2010,41.80,-87.87,3;73,Cook,27031
60707,IL,1.002,10400.0,1/5/2006,41.83,-87.68,3;72,Cook,27031
62294,IL,1.02,17015.0,11/14/2008,41.92,-87.81,3;64,Madison,51113
61064,IL,1.02,10545.0,12/18/2007,38.73,-89.89,4;32,Ogle,17141
61107,IL,1.02,8399.0,04/24/2008,41.98,-89.57,3;84,Winnebago,55139
61101,IL,1.02,10879.0,12/11/2007,42.27,-89.06,3;75,Winnebago,55139
60014,IL,1.02,9780.0,9/9/2008,42.27,-89.06,3;78,Mchenry,0
60970,IL,1.02,6397.93,04/15/2010,42.23,-88.33,3;75,0,17075
62001,IL,1.04,10700.0,09/15/2005,0,0,0,Iroquois,51113
60091,IL,1.048,17460.0,12/20/2006,40.77,-87.73,3;85,Madison,27031
60624,IL,1.05,9495.0,1/12/2012,38.88,-89.73,4;28,Cook,27031
60481,IL,1.05,11851.0,01/25/2007,42.07,-87.72,3;68,Cook,17197
62010,IL,1.05,19986.0,4/7/2008,41.83,-87.68,3;71,Will,51113
61111,IL,1.05,10758.0,02/14/2008,41.29,-88.15,3;74,Madison,55139
60706,IL,1.05,15660.0,2/2/2009,38.90,-90.04,4;29,Winnebago,27031
61259,IL,1.05,9155.25,03/19/2010,42.33,-89.01,3;75,Cook,17161
60091,IL,1.05,7500,6/9/2010,41.96,-87.80,3;64,Rock Island,27031
61277,IL,1.08,10264.0,1/8/2007,41.40,-90.90,4;04,Cook,17195
61260,IL,1.08,7935.0,08/18/2011,42.07,-87.72,3;68,Whiteside,54055
61061,IL,1.1,2874.0,03/19/2008,41.66,-89.93,3;93,Mercer,17141
60642,IL,1.1,19500.0,7/9/2008,41.19,-90.87,4;02,Ogle,0
60115,IL,1.1,10420.0,2/8/2006,42.01,-89.33,3;81,0,0
