Zipcode,State,Size (kW DC),Cost,Date Installed
47468,IN,0.01,,06/21/2013
47408,IN,0.02,,12/31/2005
47408,IN,0.02,,12/31/2009
47401,IN,0.02,,06/21/2011
47401,IN,0.02,,06/21/2011
47408,IN,0.02,,1/1/2005
47403,IN,0.04,,06/21/2010
47401,IN,0.06,,06/21/2011
47408,IN,0.06,,06/21/2010
47408,IN,0.12,,06/21/2011
47408,IN,0.13,,12/31/2009
47715,IN,0.47,,06/21/2012
47401,IN,0.53,5900,05/15/2008
47401,IN,0.66,,12/31/2009
46542,IN,0.66,23075.77,05/14/2007
47532,IN,0.72,,06/21/2011
46901,IN,0.864,,2/11/2010
46774,IN,0.9,5715.17,03/14/2011
46550,IN,0.9,13778.52,08/25/2011
47401,IN,1.0,,06/21/2012
46321,IN,1.02,5800,06/20/2009
47306,IN,1.04,25084,05/28/2008
47167,IN,1.05,,2/1/2011
47115,IN,1.05,,01/25/2011
47150,IN,1.05,,12/20/2010
47111,IN,1.05,,9/1/2010
47126,IN,1.05,,12/30/2010
47150,IN,1.05,,03/19/2010
47130,IN,1.05,,10/23/2010
47165,IN,1.05,,5/5/2010
47125,IN,1.05,,01/19/2011
47129,IN,1.05,,5/4/2011
47115,IN,1.05,,4/9/2010
47170,IN,1.05,,04/13/2010
47150,IN,1.05,,5/12/2011
47112,IN,1.05,,08/25/2010
47164,IN,1.05,,04/21/2011
47150,IN,1.05,,8/12/2011
47201,IN,1.075,,06/21/2011
47025,IN,1.075,,01/20/2010
47201,IN,1.075,,6/6/2011
47006,IN,1.075,,05/16/2011
47281,IN,1.11,,7/6/2011
47408,IN,1.17,,2/11/2009
47408,IN,1.2,,12/31/2009
47408,IN,1.2,,06/21/2010
47408,IN,1.2,,12/31/2009
47408,IN,1.2,,06/21/2010
47712,IN,1.22,,06/21/2013
46526,IN,1.36,6800.0,11/1/2005
46304,IN,1.36,,06/27/2009
46342,IN,1.38,,7/9/2010
47138,IN,1.4,,03/31/2011
47170,IN,1.41,,10/11/2011
47532,IN,1.47,,03/14/2012
47341,IN,1.48,,9/2/2011
47401,IN,1.5,,12/31/2008
47401,IN,1.5,,12/31/2009
47201,IN,1.5,,06/21/2011
47401,IN,1.5,18500,5/12/2009
47201,IN,1.6,,05/18/2008
47130,IN,1.62,,7/7/2010
47401,IN,1.68,,06/21/2010
47401,IN,1.68,,6/1/2010
47201,IN,1.715,,6/8/2011
47403,IN,1.75,,12/31/2009
47995,IN,1.8,,01/30/2008
47401,IN,1.88,,06/21/2010
47405,IN,1.88,,06/21/2011
47401,IN,1.88,,06/27/2010
46947,IN,1.88,9400.0,7/1/2011
46947,IN,1.88,9400.0,7/1/2011
46947,IN,1.88,9400.0,7/1/2011
46970,IN,1.88,9400.0,7/1/2011
46970,IN,1.88,9400.0,7/1/2011
46947,IN,1.88,9400.0,7/1/2011
46970,IN,1.88,9400.0,7/1/2011
46947,IN,1.88,9400.0,7/1/2011
46947,IN,1.88,9400.0,7/1/2011
46970,IN,1.88,9400.0,7/1/2011
46970,IN,1.88,9400.0,7/1/2011
46911,IN,1.88,9400.0,7/1/2011
46970,IN,1.88,9400.0,7/1/2011
47401,IN,1.89,,12/31/2007
47401,IN,1.89,,1/1/2007
46902,IN,1.92,,7/12/2007
47401,IN,1.98,,7/12/2007
47725,IN,2.0,,06/21/2013
47201,IN,2.0,,06/21/2013
47712,IN,2.0,,06/21/2011
47712,IN,2.0,,06/21/2013
47712,IN,2.0,,06/21/2013
47714,IN,2.0,,06/21/2013
47714,IN,2.0,,06/21/2013
47401,IN,2.0,,06/21/2012
47405,IN,2.0,12000.0,04/30/2011
46218,IN,2.0,,09/15/2011
47712,IN,2.0,7000.0,5/3/2012
47906,IN,2.016,25000.0,8/1/2008
47408,IN,2.07,,06/21/2012
47401,IN,2.08,,06/21/2013
47025,IN,2.1,,5/5/2010
47712,IN,2.12,20800.0,7/12/2011
47401,IN,2.2,,06/21/2011
47401,IN,2.2,,1/11/2012
47401,IN,2.2,,09/22/2009
47714,IN,2.2,20800.0,06/26/2011
46204,IN,2.2,96858,9/6/2006
47117,IN,2.22,,8/2/2011
47401,IN,2.3,,06/21/2013
46526,IN,2.3,11500.0,12/4/2010
47401,IN,2.3,16000,5/1/2009
47401,IN,2.32,,07/21/2011
46077,IN,2.34,,8/1/2008
47404,IN,2.35,,06/21/2012
47404,IN,2.35,,12/9/2011
46526,IN,2.35,14824.67,4/5/2012
47408,IN,2.37,,2/7/2010
47513,IN,2.4,,06/21/2012
47408,IN,2.4,,06/21/2010
46992,IN,2.4,,10/15/2008
47408,IN,2.4,,2/2/2010
47711,IN,2.44,20800.0,10/24/2011
47714,IN,2.44,20800.0,11/29/2011
