Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
52162,IA,1.0,7000.0,1/3/2011,43.08,-91.56,3;97,Allamakee,19005
52172,IA,1.0,4000.0,7/9/2012,43.26,-91.47,3;94,Allamakee,19005
52247,IA,1.8,10475.0,05/27/2010,41.48,-91.70,4;03,Washington,55131
52172,IA,2.0,12000.0,9/8/2010,43.26,-91.47,3;94,Allamakee,19005
52404,IA,2.11,16000.0,8/8/2012,41.97,-91.66,4;00,Linn,41043
52205,IA,2.2,32000,08/23/2007,42.10,-91.28,3;93,Jones,48253
50112,IA,2.5,,11/27/2013,41.74,-92.72,4;16,Poweshiek,19157
52001,IA,2.5,,6/1/2010,42.50,-90.69,3;87,Dubuque,19061
52404,IA,3.0,12000.0,09/27/2013,41.97,-91.66,4;00,Linn,41043
52335,IA,3.0,,10/31/2013,41.45,-92.09,4;08,Keokuk,19107
52101,IA,3.0,21000.0,06/15/2012,43.30,-91.79,3;92,Winneshiek,19191
52353,IA,3.5,,5/3/2013,41.29,-91.69,4;07,Washington,55131
52351,IA,3.5,,10/14/2013,41.87,-91.83,4;03,Benton,53005
50216,IA,3.6,,4/10/2013,41.69,-94.36,4;32,Guthrie,19077
52353,IA,3.6,,12/20/2013,41.29,-91.69,4;07,Washington,55131
52353,IA,3.6,,3/1/2014,41.29,-91.69,4;07,Washington,55131
52404,IA,4.0,,8/4/2014,41.97,-91.66,4;00,Linn,41043
52404,IA,4.0,17000.0,09/27/2013,41.97,-91.66,4;00,Linn,41043
52317,IA,4.0,,11/19/2013,41.74,-91.60,4;01,Johnson,56019
52404,IA,4.0,,02/14/2014,41.97,-91.66,4;00,Linn,41043
52001,IA,4.0,,03/14/2011,42.50,-90.69,3;87,Dubuque,19061
52317,IA,4.2,,04/18/2013,41.74,-91.60,4;01,Johnson,56019
50046,IA,4.8,,4/1/2013,41.89,-93.53,4;24,Story,19169
52353,IA,4.8,,07/16/2013,41.29,-91.69,4;07,Washington,55131
52247,IA,4.8,,12/27/2013,41.48,-91.70,4;03,Washington,55131
52404,IA,4.8,18000.0,04/16/2012,41.97,-91.66,4;00,Linn,41043
50220,IA,5.0,,6/1/2013,41.84,-94.09,4;30,Dallas,48113
50046,IA,5.0,,7/1/2013,41.89,-93.53,4;24,Story,19169
52353,IA,5.0,,08/31/2013,41.29,-91.69,4;07,Washington,55131
50112,IA,5.0,,11/25/2013,41.74,-92.72,4;16,Poweshiek,19157
52353,IA,5.4,,10/22/2013,41.29,-91.69,4;07,Washington,55131
52333,IA,5.5,19000.0,09/23/2013,41.80,-91.49,3;99,Johnson,56019
52340,IA,5.5,,12/1/2013,41.70,-91.67,4;02,Johnson,56019
50043,IA,5.6,64800,06/29/2009,42.41,-93.37,0,0,0
52359,IA,6.0,,12/26/2013,0,0,4;07,Washington,55131
52353,IA,6.0,,12/3/2013,41.34,-91.81,4;07,Washington,55131
52247,IA,6.0,,02/27/2014,41.29,-91.69,4;03,Washington,55131
52305,IA,6.0,30000.0,07/15/2009,41.48,-91.70,3;94,Jones,48253
