Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
66061,KS,1.05,10413,03/15/2010,38.88,-94.81,4;59,Johnson,56019
66047,KS,1.2,14000.0,9/3/2007,38.96,-95.25,4;63,Douglas,55031
66212,KS,1.2,,8/8/2008,38.90,-94.68,4;56,Johnson,56019
67054,KS,1.5,,06/18/2010,37.60,-99.29,5;70,Kiowa,40075
66502,KS,2.0,,12/28/2009,39.19,-96.59,4;86,Riley,20161
67550,KS,2.3,11800.0,04/20/2012,38.18,-99.10,5;58,Pawnee,40117
66040,KS,2.4,,9/3/2013,38.34,-94.76,4;62,Linn,41043
67585,KS,2.9,,01/27/2013,37.95,-97.85,0,0,0
66046,KS,4.2,,12/6/2010,0,0,4;61,Douglas,55031
66850,KS,5.52,,04/21/2010,38.96,-95.25,5;00,Chase,31029
66211,KS,5.52,,4/1/2010,38.37,-96.64,4;57,Johnson,56019
66044,KS,5.72,,7/1/2011,38.90,-94.68,4;61,Douglas,55031
66509,KS,6.11,,06/13/2011,38.96,-95.25,4;72,Jackson,55053
66215,KS,6.75,52998.0,12/28/2012,39.33,-95.72,4;56,Johnson,56019
67147,KS,9.6,,6/6/2012,38.90,-94.68,5;09,Sedgwick,20173
66210,KS,9.68,,06/20/2012,37.83,-97.37,4;56,Johnson,56019
66062,KS,10.2,,8/8/2010,38.90,-94.68,4;59,Johnson,56019
67839,KS,10.5,47250.0,10/4/2012,38.88,-94.81,5;84,Lane,41039
67501,KS,12.0,,5/11/2013,38.48,-100.46,5;23,Reno,20155
66006,KS,12.0,,09/26/2010,38.06,-97.91,4;62,Douglas,55031
66006,KS,17.94,,12/7/2010,38.77,-95.18,4;62,Douglas,55031
66509,KS,19.32,,6/12/2010,38.77,-95.18,4;72,Jackson,55053
67212,KS,26.8,,9/10/2010,39.33,-95.72,5;10,Sedgwick,20173
67701,KS,50.0,,10/20/2011,37.68,-97.34,5;81,Thomas,31171
66044,KS,57.12,,7/2/2012,39.38,-101.04,4;61,Douglas,55031
66227,KS,118.44,,12/16/2011,38.96,-95.25,4;58,Johnson,56019
66442,KS,510.0,,05/14/2013,38.90,-94.68,4;90,Geary,20061
66202,KS,730.17,,5/3/2015,38.98,-96.62,4;58,Johnson,56019
