Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
70420,LA,0;4,,01/24/2006,30.47,-90.03,4;38,Saint Tammany,0,0
70420,LA,0;4,,2-10-2006,0,0,0,0,0,0
70003,LA,0;5,,7-5-2007,30.47,-90.03,4;38,Saint Tammany,55055,0
70003,LA,0;5,,05/25/2006,0,0,0,0,55055,0
71360,LA,0;7,,8-1-2008,29.99,-90.17,4;44,Jefferson,0,0
70127,LA,1,,01/15/2008,29.99,-90.17,4;44,Jefferson,50019,0
70601,LA,1,,10-1-2008,31.33,-92.41,4;4,Rapides,0,0
70808,LA,1,,10-9-2009,0,0,0,0,0,0
70808,LA,1,,02/25/2001,30.06,-89.93,4;36,Orleans,0,0
70127,LA,1,,10-11-2007,30.21,-93.20,4;26,Calcasieu,50019,0
70767,LA,1,,06/25/2009,0,0,0,0,0,0
70737,LA,1,,10-5-2009,30.44,-91.12,4;4,East Baton Rouge,0,0
70601,LA,1,,08/25/2008,0,0,0,0,0,0
70806,LA,1;47,,09/28/2009,30.44,-91.12,4;4,East Baton Rouge,0,0
71315,LA,2,,3-1-2005,0,0,0,0,0,0
71315,LA,2,,3-1-2005,30.06,-89.93,4;36,Orleans,0,0
70806,LA,2;1,,7-9-2009,30.45,-91.20,4;39,West Baton Rouge,0,0
70117,LA,2;1,,08/20/2009,0,0,0,0,50019,0
70806,LA,2;1,,08/26/2009,30.21,-90.92,4;35,Ascension,0,0
70808,LA,2;3,,1-1-2009,0,0,0,0,0,0
70806,LA,2;3,,1-3-2009,30.21,-93.20,4;26,Calcasieu,0,0
70582,LA,2;4,,7-2-2007,0,0,0,0,0,0
70005,LA,2;4,,2-7-2008,30.44,-91.12,4;34,East Baton Rouge,55055,0
70005,LA,2;4,,08/13/2008,0,0,0,0,55055,0
70582,LA,2;4,,4-1-2008,31.29,-92.46,0,0,0,0
70806,LA,2;5,,10/15/2008,0,0,0,0,0,0
70808,LA,2;5,,1-1-2009,31.29,-92.46,4;34,East Baton Rouge,0,0
70456,LA,2;5,,01/23/2009,0,0,0,0,0,0
70452,LA,2;5,,07/13/2009,30.44,-91.12,4;23,Orleans,0,0
