Zipcode,State,Size (kW DC),Cost,Date Installed
70420,LA,0.4,,01/24/2006
70420,LA,0.4,,2/10/2006
70003,LA,0.5,,7/5/2007
70003,LA,0.5,,05/25/2006
71360,LA,0.7,,8/1/2008
70127,LA,1.0,,01/15/2008
70601,LA,1.0,,10/1/2008
70808,LA,1.0,,10/9/2009
70808,LA,1.0,,02/25/2001
70127,LA,1.0,,10/11/2007
70767,LA,1.0,,06/25/2009
70737,LA,1.0,,10/5/2009
70601,LA,1.0,,08/25/2008
70806,LA,1.47,,09/28/2009
71315,LA,2.0,,3/1/2005
71315,LA,2.0,,3/1/2005
70806,LA,2.1,,7/9/2009
70117,LA,2.1,,08/20/2009
70806,LA,2.1,,08/26/2009
70808,LA,2.3,,1/1/2009
70806,LA,2.3,,1/3/2009
70582,LA,2.4,,7/2/2007
70005,LA,2.4,,2/7/2008
70005,LA,2.4,,08/13/2008
70582,LA,2.4,,4/1/2008
70806,LA,2.5,,10/15/2008
70808,LA,2.5,,1/1/2009
70456,LA,2.5,,01/23/2009
70452,LA,2.5,,07/13/2009
70806,LA,2.5,,10/15/2008
70808,LA,2.5,,1/1/2009
70002,LA,2.52,17000.0,2/10/2010
70117,LA,2.52,,08/20/2009
70816,LA,2.76,,12/31/2009
70816,LA,2.76,,12/15/2009
70808,LA,2.9,,10/14/2010
70503,LA,2.99,,11/9/2009
70503,LA,2.99,,12/8/2009
70115,LA,3.01,26000.0,3/10/2008
70129,LA,3.15,,1/4/2008
70447,LA,3.15,,1/9/2008
70791,LA,3.15,,3/7/2008
70518,LA,3.15,,7/1/2008
70433,LA,3.15,,10/8/2008
70005,LA,3.15,,10/10/2008
70806,LA,3.15,,10/13/2008
70817,LA,3.15,,12/16/2008
70813,LA,3.15,,12/30/2008
70114,LA,3.15,,3/11/2009
70577,LA,3.15,,04/23/2009
70776,LA,3.15,,03/23/2009
70722,LA,3.15,,06/30/2009
70815,LA,3.15,,04/29/2009
70807,LA,3.15,,08/19/2009
70815,LA,3.15,,4/3/2009
70503,LA,3.15,,12/9/2008
70466,LA,3.15,,4/9/2009
70726,LA,3.15,,8/5/2009
70815,LA,3.15,,05/27/2009
70518,LA,3.15,,7/1/2008
70129,LA,3.15,,6/10/2008
70816,LA,3.15,,10/13/2008
70114,LA,3.15,26700,10/1/2008
70124,LA,3.15,,04/29/2008
70810,LA,3.15,,11/3/2009
70726,LA,3.15,,8/7/2009
