Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
1702,MA,0;102,,08/16/2006,42.30,-71.43,3;76,Middlesex,51119,0,764;9442623
2719,MA,0;22,1450,09/18/2006,41.63,-70.90,3;79,Bristol,25005,6590;909091,1663;043716
2719,MA,0;22,1450,04/13/2006,41.63,-70.90,3;79,Bristol,25005,6590;909091,1663;043716
2719,MA,0;22,1450,3-8-2006,41.63,-70.90,3;79,Bristol,25005,6590;909091,1663;043716
2744,MA,0;22,1450,04/18/2006,41.66,-70.93,3;8,Bristol,25005,6590;909091,1667;431694
2744,MA,0;22,1450,04/18/2006,41.66,-70.93,3;8,Bristol,25005,6590;909091,1667;431694
2576,MA,0;22,1450,3-1-2006,41.78,-70.75,3;81,Plymouth,25023,6590;909091,1671;819672
2790,MA,0;22,1450,3-8-2006,41.66,-71.10,3;8,Bristol,25005,6590;909091,1667;431694
2720,MA,0;22,1450,6-7-2006,41.71,-71.10,3;83,Bristol,25005,6590;909091,1680;595628
2720,MA,0;22,1450,06/16/2006,41.71,-71.10,3;83,Bristol,25005,6590;909091,1680;595628
2738,MA,0;22,1800,07/24/2006,41.70,-70.76,3;78,Plymouth,25023,8181;818182,1658;655738
2745,MA,0;22,1450,06/19/2006,41.66,-70.93,3;83,Bristol,25005,6590;909091,1680;595628
2724,MA,0;22,1450,07/27/2006,41.71,-71.10,3;81,Bristol,25005,6590;909091,1671;819672
2791,MA,0;23,1450,07/19/2006,41.52,-71.07,0,0,0,6304;347826,0
1071,MA,0;37,2100,7-11-2011,0,0,3;81,Hampden,0,5675;675676,2811;696721
1071,MA,0;37,2100,7-11-2011,42.18,-72.85,0,0,0,5675;675676,0
1071,MA,0;37,2100,7-11-2011,0,0,3;81,Hampden,0,5675;675676,2811;696721
1071,MA,0;37,2100,7-11-2011,42.18,-72.85,0,0,0,5675;675676,0
1071,MA,0;37,2100,7-11-2011,0,0,3;81,Hampden,0,5675;675676,2811;696721
1071,MA,0;37,2100,7-11-2011,42.18,-72.85,0,0,0,5675;675676,0
2747,MA,0;44,2900,04/13/2006,0,0,3;81,Hampden,25005,6590;909091,3343;639344
2739,MA,0;44,2900,12/31/2006,42.18,-72.85,0,0,25023,6590;909091,0
2366,MA,0;44,2900,3-8-2006,0,0,3;81,Hampden,0,6590;909091,3343;639344
2719,MA,0;44,2900,7-10-2006,42.18,-72.85,0,0,25005,6590;909091,0
1922,MA,0;48,4450,12/31/2006,0,0,3;81,Hampden,51057,9270;833333,3647;606557
1950,MA,0;48,4825,2-7-2007,42.18,-72.85,0,0,51057,10052;08333,0
2066,MA,0;48,5697;51,07/28/2007,0,0,3;8,Bristol,25023,11869;8125,3638;032787
2139,MA,0;48,1920,2-2-2007,41.64,-71.00,3;74,Plymouth,51119,4000,3580;590164
2066,MA,0;48,3400,07/30/2007,41.66,-70.80,0,0,25023,7083;333333,0
1950,MA,0;48,4948,11-1-2006,41.83,-70.72,3;79,Bristol,51057,10308;33333,3628;459016
1950,MA,0;48,5390,04/30/2007,0,0,3;9,Essex,51057,11229;16667,3733;770492
