Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
21849,MD,0;108,534;55,06/16/2011,38.38,-75.47,4;23,Wicomico,24045,4949;537037,911;1836066
21155,MD,0;5,3380,08/20/2013,39.57,-76.80,4,Baltimore,24005,6760,3989;071038
20874,MD,0;51,10115;95,10/23/2006,39.17,-77.26,4;29,Montgomery,51121,19835;19608,4363;844262
21903,MD,0;7,8250,8-2-2011,39.57,-76.06,4;05,Cecil,24015,11785;71429,5654;508197
21903,MD,0;7,8250,4-11-2011,39.57,-76.06,4;05,Cecil,24015,11785;71429,5654;508197
20854,MD,0;74,2430,10-1-2011,39.02,-77.19,4;32,Montgomery,51121,3283;783784,6376;131148
21045,MD,0;82,4950,8-2-2010,39.20,-76.85,4;12,Howard,48227,6036;585366,6738;338798
21060,MD,0;92,12500,03/26/2012,39.16,-76.60,4;06,Anne Arundel,24003,13586;95652,7449;989071
21114,MD,0;92,12250,05/31/2012,39.01,-76.68,4;15,Anne Arundel,24003,13315;21739,7615;136612
21122,MD,0;92,13083,4-9-2012,39.11,-76.55,4;11,Anne Arundel,24003,14220;65217,7541;737705
21045,MD,0;92,12000,05/18/2012,39.20,-76.85,4;12,Howard,48227,13043;47826,7560;087432
21619,MD,0;92,11900,5-4-2012,38.95,-76.28,4;18,Queen Annes,0,12934;78261,7670;185792
21060,MD,0;92,12500,06/13/2012,0,0,0,0,24003,13586;95652,0
21403,MD,0;92,12000,07/31/2012,39.16,-76.60,4;06,Anne Arundel,24003,13043;47826,7449;989071
20912,MD,0;92,12500,07/24/2012,38.97,-76.50,4;1,Anne Arundel,51121,13586;95652,7523;387978
21042,MD,0;94,5000,7-11-2012,38.98,-77.00,4;18,Montgomery,48227,5319;148936,7836;928962
21401,MD,0;95,11350,11/30/2009,39.27,-76.83,4;09,Howard,24003,11947;36842,7749;76776
21871,MD,0;96,4900,3-6-2014,38.97,-76.50,4;12,Anne Arundel,42111,5104;166667,7888;786885
21160,MD,0;99,4499,11/29/2010,38.12,-75.70,4;37,Somerset,24025,4544;444444,8628;959016
21227,MD,1,12321,1-3-2012,39.70,-76.34,3;98,Harford,24005,12321,7938;251366
21102,MD,1,10521,01/24/2012,39.21,-76.72,4;13,Baltimore,51035,10521,8237;431694
21223,MD,1,12321,02/29/2012,39.65,-76.89,3;97,Carroll,0,12321,7918;306011
21234,MD,1,10421,02/21/2012,39.30,-76.61,4;13,Baltimore City,24005,10421,8237;431694
21144,MD,1,9821,02/24/2012,0,0,0,0,24003,9821,0
20715,MD,1,10521,04/26/2012,39.38,-76.55,4;09,Baltimore,0,10521,8157;650273
21144,MD,1,12821,02/20/2012,39.13,-76.69,4;13,Anne Arundel,24003,12821,8237;431694
20723,MD,1,9521,1-4-2012,38.95,-76.73,4;14,Prince Georges,48227,9521,8257;377049
21158,MD,1,10000,3-9-2012,0,0,0,0,51035,10000,0
21061,MD,1,9821,05/14/2012,39.13,-76.69,4;13,Anne Arundel,24003,9821,8237;431694
21114,MD,1,10721,03/20/2012,39.09,-76.85,4;14,Howard,24003,10721,8257;377049
21108,MD,1,10521,5-9-2012,39.57,-77.00,3;97,Carroll,24003,10521,7918;306011
21037,MD,1,9821,06/15/2012,39.16,-76.60,4;12,Anne Arundel,24003,9821,8217;486339
21228,MD,1,10521,6-12-2012,39.01,-76.68,4;15,Anne Arundel,24005,10521,8277;322404
21045,MD,1,9952,07/13/2012,39.05,-76.64,4;12,Anne Arundel,48227,9952,8217;486339
21146,MD,1,9821,05/15/2012,38.90,-76.54,4;12,Anne Arundel,24003,9821,8217;486339
21060,MD,1,10521,6-5-2012,39.26,-76.74,4;11,Baltimore,24003,10521,8197;540984
21220,MD,1,12121,7-2-2012,39.20,-76.85,4;12,Howard,24005,12121,8217;486339
21158,MD,1,10521,9-7-2012,39.08,-76.57,4;12,Anne Arundel,51035,10521,8217;486339
21286,MD,1,11021,08/29/2012,39.16,-76.60,4;06,Anne Arundel,24005,11021,8097;814208
21850,MD,1,5980,4-1-2014,39.33,-76.43,4;14,Baltimore,24045,5980,8257;377049
20814,MD,1,11000,11-1-2007,39.57,-77.00,3;97,Carroll,51121,11000,7918;306011
20901,MD,1,9375,11/16/2007,39.39,-76.62,4;05,Baltimore,51121,9375,8077;868852
20902,MD,1,8789,1-1-2008,38.39,-75.41,4;22,Wicomico,51121,8789,8416;939891
20882,MD,1,8789,1-1-2008,38.98,-77.12,4;25,Montgomery,51121,8789,8476;775956
20637,MD,1,13803;57,4-1-2008,39.01,-77.02,4;18,Montgomery,24017,13803;57,8337;15847
21921,MD,1,13519,5-1-2008,39.01,-77.02,4;2,Montgomery,24015,13519,8377;04918
21502,MD,1,12929,5-1-2008,39.14,-77.21,4;18,Montgomery,36003,12929,8337;15847
21666,MD,1,8400,03/16/2010,38.53,-76.78,4;25,Charles,0,8400,8476;775956
20716,MD,1,12321,12/29/2010,39.60,-75.82,4;08,Cecil,0,12321,8137;704918
21009,MD,1,10500,5-1-2011,39.65,-78.76,3;7,Allegany,24025,10500,7379;781421
21157,MD,1,12321,12/30/2010,38.99,-76.30,4;18,Queen Annes,51035,12321,8337;15847
21146,MD,1,12321,1-4-2011,0,0,0,0,24003,12321,0
20707,MD,1,12321,03/21/2011,38.95,-76.73,4;15,Prince Georges,0,12321,8277;322404
21042,MD,1,12321,03/23/2011,0,0,0,0,48227,12321,0
21214,MD,1,12321,4-6-2011,39.46,-76.27,4;12,Harford,0,12321,8217;486339
21784,MD,1,12321,06/16/2011,39.57,-77.00,4;01,Carroll,51035,12321,7998;087432
21136,MD,1,12321,7-8-2011,39.08,-76.57,4;12,Anne Arundel,24005,12321,8217;486339
21401,MD,1,11350,11/30/2009,39.09,-76.85,4;14,Prince Georges,24003,11350,8257;377049
21409,MD,1,6688;5,8-11-2010,0,0,0,0,0,6688;5,0
21044,MD,1,12321,3-11-2011,39.27,-76.83,4;09,Howard,48227,12321,8157;650273
21009,MD,1,10500,12/18/2010,39.30,-76.61,4;13,Baltimore City,24025,10500,8237;431694
21214,MD,1,12321,11/26/2010,0,0,0,0,0,12321,0
20902,MD,1,12754,11/15/2007,39.37,-76.97,4;06,Carroll,51121,12754,8097;814208
21117,MD,1;02,9300,2-1-2008,39.45,-76.81,4;01,Baltimore,24005,9117;647059,8158;04918
20754,MD,1;05,17535,11-12-2010,38.97,-76.50,4;12,Anne Arundel,24009,16700,8628;360656
20837,MD,1;05,10437,6-1-2008,39.02,-76.45,4;15,0,51121,9940,8691;188525
21794,MD,1;05,17250,6-1-2008,0,0,0,Howard,48227,16428;57143,0
21794,MD,1;05,7888,2-4-2009,39.20,-76.85,4;13,Harford,48227,7512;380952,8649;303279
21093,MD,1;05,8999,4-8-2009,39.46,-76.27,4;12,Baltimore City,24005,8570;47619,8628;360656
21093,MD,1;05,8999,4-8-2009,39.30,-76.61,4;13,0,24005,8570;47619,8649;303279
21140,MD,1.097,7075,4-1-2008,0,0,0,Montgomery,24003,6;449407475,0
21140,MD,1.097,9444;07,1-1-2009,39.01,-77.02,4;2,Baltimore,24003,8;608997265,9189622;951
20639,MD,1;1,19500,2-7-2006,39.41,-76.79,4;05,Calvert,24009,17727;27273,8885;655738
20770,MD,1;1,12830;7,1-10-2007,38.72,-76.66,4;19,Montgomery,0,11664;27273,9192;814208
21043,MD,1;11,9000,01/28/2011,39.14,-77.41,4;36,Howard,48227,8108;108108,9652;754098
21212,MD,1;15,5000,8-1-2012,39.30,-76.95,4;11,Howard,0,4347;826087,9427;172131
20685,MD,1;15,8150,11/24/2010,39.30,-76.95,4;11,Baltimore,24009,7086;956522,9427;172131
21409,MD,1;15,4199;18,2-7-2011,39.43,-76.64,4;04,Baltimore,0,3651;46087,9266;612022
21045,MD,1.155,10499,7-1-2008,39.43,-76.64,4;04,Anne Arundel,48227,9;09004329,9306901;639
21122,MD,1.155,11199,11-1-2008,38.94,-76.58,4;12,Anne Arundel,24003,9;696103896,9491196;721
21122,MD,1.155,9943;4,1-1-2009,38.94,-76.58,4;12,Calvert,24003,8;609004329,9491196;721
21045,MD,1.155,9943;4,1-1-2009,38.61,-76.61,4;21,Prince Georges,48227,8;609004329,9698528;689
21620,MD,1.175,5988,4-2-2012,38.99,-76.88,4;15,0,48263,5;096170213,9725853;825
21120,MD,1.175,3000,04/14/2012,0,0,0,Howard,24005,2;553191489,0
20794,MD,1.175,7712;25,7-5-2011,39.27,-76.83,4;1,Baltimore City,48227,6;563617021,9608674;863
21227,MD,1;18,8289,01/28/2011,39.30,-76.61,4;1,0,24005,7024;576271,9649;562842
21146,MD,1;19,15600,01/19/2007,0,0,0,Calvert,24003,13109;2437,0
21666,MD,1;2,8400,03/16/2010,38.47,-76.50,4;2,0,0,7000,10052;45902
21403,MD,1;2,12000,6-1-2006,39.02,-76.45,4;15,Howard,24003,10000,9932;786885
20901,MD,1;2,13851,08/28/2006,0,0,0,Anne Arundel,51121,11542;5,0
21040,MD,1;2,8487;65,10-11-2006,39.20,-76.85,4;12,Anne Arundel,24025,7073;041667,9860;983607
21157,MD,1;2,10700,8-12-2010,39.11,-76.55,4;11,Howard,51035,8916;666667,9837;04918
20912,MD,1;22,12200,10/24/2006,39.11,-76.55,4;11,Kent,51121,10000,10001
21161,MD,1;22,11999,04/20/2009,39.20,-76.85,4;12,Baltimore,24025,9835;245902,10025;33333
21044,MD,1.225,11099,7-1-2008,39.21,-76.07,4;15,Howard,48227,9;060408163,10139719;95
21163,MD,1.225,11799,9-1-2008,39.65,-76.67,3;98,Baltimore,24005,9;631836735,9724357;923
21044,MD,1.225,10546;03,1-1-2009,39.14,-76.77,4;11,Anne Arundel,48227,8;609004082,10041987;7
21163,MD,1.225,10546;03,1-1-2009,39.21,-76.72,4;13,Queen Annes,24005,8;609004082,10090853;83
21161,MD,1.225,11999,04/20/2009,39.08,-76.57,4;12,0,24025,9;795102041,10066420;77
21211,MD,1.225,7437,12/29/2009,38.99,-76.30,4;18,Anne Arundel,0,6;071020408,10213019;13
21157,MD,1.225,3975,7-8-2010,0,0,0,Montgomery,51035,3;244897959,0
21211,MD,1;23,10878,8-9-2010,38.97,-76.50,4;1,Harford,0,8843;902439,10058;44262
21117,MD,1;23,5513,11/29/2010,39.01,-77.02,4;18,Carroll,24005,4482;113821,10254;70492
21044,MD,1;25,12321,07/18/2011,39.42,-76.29,4;12,Montgomery,48227,9856;8,10271;85792
21227,MD,1;26,14110,4-1-2007,39.57,-77.00,4;01,Harford,24005,11198;4127,10077;59016
20818,MD,1;3,19356,5-7-2007,38.98,-77.00,4;18,Howard,51121,14889;23077,10838;30601
21520,MD,1;3,17815,5-1-2008,39.65,-76.56,3;99,Baltimore,24023,13703;84615,10345;65574
21230,MD,1;32,12999,8-1-2008,39.20,-76.85,4;13,Howard,0,9847;727273,10873;40984
21230,MD,1;32,11363;88,1-1-2009,39.32,-76.87,4;05,Baltimore,0,8609,10662;78689
21210,MD,1;33,11700,06/22/2007,39.20,-76.85,4;13,Harford,0,8796;992481,10955;78415
