Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
4614,ME,0;879,9905,03/20/2012,44.41,-68.58,3;99,Hancock,54029,11268;48692
4634,ME,0;96,4428;5,8-7-2012,44.58,-68.23,4;05,Hancock,54029,4613;020833
4605,ME,0;98,4519;9,1-8-2013,44.58,-68.49,3;98,Hancock,54029,4612;142857
4103,ME,1,5040,9-4-2012,43.66,-70.25,4;1,Cumberland,51049,5040
4105,ME,1,5242,9-4-2012,43.72,-70.24,4;11,Cumberland,51049,5242
4103,ME,1,5150,9-4-2012,43.66,-70.25,4;1,Cumberland,51049,5150
4472,ME,1,4500,2-5-2013,44.57,-68.73,4;01,Hancock,54029,4500
4101,ME,1,,10/24/2007,43.66,-70.25,4;14,Cumberland,51049,0
4553,ME,1;06,9019;45,9-4-2012,44.03,-69.53,4;06,Lincoln,56023,8508;915094
4543,ME,1;1,6668,12/27/2009,44.03,-69.51,4;03,Lincoln,56023,6061;818182
4971,ME,1;2,7988,11-6-2012,44.91,-69.41,3;92,Somerset,42111,6656;666667
4951,ME,1;23,5600,8-6-2013,44.61,-69.01,4;01,Waldo,23027,4552;845528
4473,ME,1.344,,09/20/2011,44.88,-68.68,3;86,Penobscot,23019,0
4538,ME,1;35,9180,1-10-2000,43.85,-69.62,4;01,Lincoln,56023,6800
4614,ME,1;4,4554;55,8-7-2012,44.41,-68.58,3;99,Hancock,54029,3253;25
4986,ME,1;41,6753,01/17/2012,44.57,-69.27,3;99,Waldo,23027,4789;361702
4070,ME,1;44,8188,12-4-2012,43.59,-70.33,0,0,0,5686;111111
4976,ME,1;44,18916,01/24/2012,0,0,3;91,Somerset,42111,13136;11111
4680,ME,1;44,8493;66,01/21/2012,44.77,-69.71,4;04,Washington,55131,5898;375
4039,ME,1;44,7560,8-7-2012,44.51,-67.96,4;07,Cumberland,51049,5250
4070,ME,1;44,8188,12-4-2012,43.88,-70.33,0,0,0,5686;111111
4046,ME,1;44,2005,6-4-2013,43.59,-70.33,4;13,York,51199,1392;361111
4102,ME,1;56,8614,4-9-2013,0,0,4;11,Cumberland,51049,5521;794872
4579,ME,1;6,,10-10-2008,43.35,-70.46,4;04,Sagadahoc,23023,0
4046,ME,1;7,,11-5-2013,43.66,-70.25,4;13,York,51199,0
4330,ME,1;79,8327,9-3-2013,43.96,-69.78,3;94,Kennebec,23011,4651;955307
4079,ME,1;88,9871,03/13/2012,43.35,-70.46,4;09,Cumberland,51049,5250;531915
4079,ME,1;92,9365,10-9-2012,44.33,-69.72,4;09,Cumberland,51049,4877;604167
4046,ME,1;92,9382;5,2-5-2013,43.80,-69.98,4;13,York,51199,4886;71875
3906,ME,1;92,10948;53,1-8-2013,43.80,-69.98,4;13,York,51199,5702;359375
3903,ME,1;96,10519;51,11-6-2012,43.35,-70.46,4;03,York,51199,5367;096939
4556,ME,1;96,10521;52,3-5-2013,43.30,-70.73,4;07,Lincoln,56023,5368;122449
4105,ME,2,10466,9-4-2012,43.15,-70.80,4;11,Cumberland,51049,5233
4038,ME,2,9650,10-8-2013,43.95,-69.63,4;06,Cumberland,51049,4825
4097,ME,2,12720,10-8-2013,43.72,-70.24,4;1,Cumberland,51049,6360
4538,ME,2,5000,11-5-2013,43.68,-70.44,4;01,Lincoln,56023,2500
4472,ME,2,3701;02,5-7-2013,43.84,-70.21,4;01,Hancock,54029,1850;51
4037,ME,2,,01/20/2011,43.85,-69.62,3;88,Oxford,23017,0
4614,ME,2,,10-10-2005,44.57,-68.73,3;99,Hancock,54029,0
4987,ME,2;04,3812,6-4-2013,44.01,-70.97,3;96,Waldo,23027,1868;627451
4538,ME,2;04,9450,8-6-2013,44.41,-68.58,4;01,Lincoln,56023,4632;352941
4973,ME,2;05,9819;54,02/21/2012,44.66,-69.24,4;01,Waldo,23027,4790;019512
4421,ME,2.115,10745,01/31/2012,43.85,-69.62,3;95,Hancock,54029,5;080378251
4011,ME,2.115,9637,01/24/2012,44.36,-69.19,4;05,Cumberland,51049,4;556501182
4102,ME,2.115,13750,03/27/2012,44.38,-68.80,4;11,Cumberland,51049,6;501182033
4011,ME,2.115,10243,01/24/2012,43.91,-69.96,4;05,Cumberland,51049,4;843026005
4347,ME,2;16,8000,3-5-2013,43.66,-70.25,3;95,Kennebec,23011,3703;703704
4210,ME,2;16,9771,10-8-2013,43.91,-69.96,4;04,Androscoggin,23001,4523;611111
4103,ME,2;25,10361,3-5-2013,44.29,-69.81,4;1,Cumberland,51049,4604;888889
4676,ME,2;3,10101,9-3-2013,44.08,-70.24,3;96,Hancock,54029,4391;73913
4660,ME,2;3,12314,12-3-2010,43.66,-70.25,3;97,Hancock,54029,5353;913043
4444,ME,2;3,,05/19/2010,44.30,-68.61,3;99,Penobscot,23019,0
4032,ME,2;35,10000,01/31/2012,44.31,-68.36,4;13,Cumberland,51049,4255;319149
4069,ME,2;35,10395,01/31/2012,44.74,-68.83,4;1,Cumberland,51049,4423;404255
4038,ME,2;4,10226,8-7-2012,43.85,-70.10,4;06,Cumberland,51049,4260;833333
4841,ME,2;4,5001,8-7-2012,43.89,-70.18,3;92,Knox,48275,2083;75
4617,ME,2;4,14318;45,03/20/2012,43.68,-70.44,3;97,Hancock,54029,5966;020833
4941,ME,2;4,13548;92,04/17/2012,44.12,-69.13,4;03,Waldo,23027,5645;383333
4414,ME,2;4,11444,1-8-2013,44.34,-68.68,3;98,Piscataquis,23021,4768;333333
4032,ME,2;4,,10-12-2006,44.53,-69.29,4;13,Cumberland,51049,0
4860,ME,2;45,11213,2-5-2013,45.30,-69.03,3;97,Knox,48275,4576;734694
4765,ME,2;5,,11-1-2013,43.85,-70.10,4;04,Penobscot,23019,0
4680,ME,2;5,10130,2-5-2013,43.95,-69.23,4;04,Washington,55131,4052
4055,ME,2;5,10701,9-3-2013,45.99,-68.44,4;01,Cumberland,51049,4280;4
4572,ME,2;5,9534,4-9-2013,44.51,-67.96,3;96,Lincoln,56023,3813;6
3908,ME,2;5,11319,9-3-2013,43.97,-70.60,4;12,York,51199,4527;6
4609,ME,2;5,9552,1-8-2013,44.09,-69.38,4;01,Hancock,54029,3820;8
4107,ME,2;5,8850,5-7-2013,43.23,-70.81,4;01,Cumberland,51049,3540
4105,ME,2;5,,8-8-2011,44.38,-68.21,4;11,Cumberland,51049,0
4537,ME,2;55,11714,8-6-2013,43.56,-70.20,4;05,Lincoln,56023,4593;72549
4108,ME,2;6,,11/30/2010,43.72,-70.24,4;16,Cumberland,51049,0
4011,ME,2;6,8842,1-8-2013,43.87,-69.63,4;05,Cumberland,51049,3400;769231
4011,ME,2;6,11432,4-9-2013,43.66,-70.18,4;05,Cumberland,51049,4396;923077
4108,ME,2;62,10917,9-3-2013,43.91,-69.96,4;16,Cumberland,51049,4166;793893
4915,ME,2;64,10588,10-9-2012,43.91,-69.96,3;97,Waldo,23027,4010;606061
4572,ME,2;64,10020,03/27/2012,43.66,-70.18,3;96,Lincoln,56023,3795;454545
4915,ME,2;64,10588,01/18/2012,44.42,-69.02,3;97,Waldo,23027,4010;606061
4541,ME,2;65,11934,8-6-2013,44.09,-69.38,4;04,Lincoln,56023,4503;396226
4101,ME,2;7,,05/15/2006,44.42,-69.02,4;14,Cumberland,51049,0
4401,ME,2;75,11803,9-3-2013,43.88,-69.49,3;91,Penobscot,23019,4292
4289,ME,2;76,12420,3-6-2012,43.66,-70.25,3;97,Oxford,23017,4500
4609,ME,2;76,10966;6,12/20/2011,44.83,-68.78,4;01,Hancock,54029,3973;405797
4553,ME,2;76,8145,4-9-2013,44.32,-70.57,4;06,Lincoln,56023,2951;086957
4849,ME,2;76,15229,2-5-2013,44.38,-68.21,4,Waldo,23027,5517;753623
4038,ME,2;76,13773,10/31/2011,44.03,-69.53,4;06,Cumberland,51049,4990;217391
4102,ME,2;76,15500,10/31/2011,44.28,-69.00,4;11,Cumberland,51049,5615;942029
4572,ME,2;76,,8-10-2010,43.68,-70.44,3;96,Lincoln,56023,0
4915,ME,2;76,,3-1-2010,43.66,-70.25,3;97,Waldo,23027,0
4989,ME,2;76,,4-8-2011,44.09,-69.38,3;92,Kennebec,23011,0
4989,ME,2;76,,04/19/2007,44.42,-69.02,3;92,Kennebec,23011,0
4605,ME,2;8,7711,5-7-2013,44.45,-69.67,3;98,Hancock,54029,2753;928571
4097,ME,2;82,,4-6-2012,44.45,-69.67,4;1,Cumberland,51049,0
4101,ME,2;82,12517,01/17/2012,44.58,-68.49,4;14,Cumberland,51049,4438;652482
4097,ME,2;82,10242;75,03/20/2012,43.84,-70.21,4;1,Cumberland,51049,3632;180851
4862,ME,2;82,12957,03/13/2012,43.66,-70.25,3;97,Knox,48275,4594;680851
4103,ME,2;88,13305,11-6-2012,43.84,-70.21,4;1,Cumberland,51049,4619;791667
4330,ME,2;88,11314,6-5-2012,44.21,-69.27,3;94,Kennebec,23011,3928;472222
4072,ME,2;88,11608,9-4-2012,43.66,-70.25,4;08,York,51199,4030;555556
4102,ME,2;88,13781,10-9-2012,44.33,-69.72,4;11,Cumberland,51049,4785;069444
4105,ME,2;88,11878,9-4-2012,43.53,-70.45,4;11,Cumberland,51049,4124;305556
4605,ME,2;88,13229;5,10-9-2012,43.66,-70.25,3;98,Hancock,54029,4593;576389
4609,ME,2;88,11342,9-4-2012,43.72,-70.24,4;01,Hancock,54029,3938;194444
4103,ME,2;88,11233,7-3-2012,44.58,-68.49,4;1,Cumberland,51049,3900;347222
4862,ME,2;88,10624,7-3-2012,44.38,-68.21,3;97,Knox,48275,3688;888889
3908,ME,2;88,12089,04/17/2012,43.66,-70.25,4;12,York,51199,4197;569444
4680,ME,2;94,11865,11-6-2012,44.21,-69.27,4;04,Washington,55131,4035;714286
