Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
64779,MO,0;44,,6-1-2007,38.09,-94.36,4;56,Bates,29013,0,4001;836066
63106,MO,0;92,,02/27/2012,38.63,-90.24,4;31,Saint Louis City,0,0,7908;73224
65203,MO,1.175,,07/16/2012,0,0,0,0,54005,0,0
65202,MO,1.175,3141,9-1-2012,38.95,-92.32,4;48,Boone,54005,2;673191489,10499234;97
63037,MO,1;25,2100,07/18/2012,38.95,-92.32,4;49,Boone,53021,1680,11194;3306
65203,MO,1;44,2876,10-1-2012,38.39,-91.33,4;44,Franklin,54005,1997;222222,12752;2623
63037,MO,1;5,3500,12/21/2011,38.95,-92.32,4;48,Boone,53021,2333;333333,13403;27869
65043,MO,1;5,9000,12/31/2012,38.39,-91.33,4;44,Franklin,29027,6000,13283;60656
65775,MO,1;8,,12/23/2011,38.64,-92.11,4;46,Callaway,29091,0,16012;13115
63104,MO,1;8,,05/13/2010,36.74,-91.86,4;47,Howell,0,0,16048;03279
63039,MO,1;8,,08/21/2008,38.63,-90.24,4;34,Saint Louis City,53021,0,15581;31148
63011,MO,1;8,,03/15/2009,0,0,0,0,0,0,0
63117,MO,1;88,,11/15/2010,38.49,-90.81,4;4,Franklin,0,0,16498;79781
63144,MO,1;92,,04/15/2012,38.59,-90.55,4;37,Saint Louis,0,0,16734;95082
63037,MO,2,22000,08/14/2010,0,0,0,0,53021,11000,0
65203,MO,2;04,,12/18/2012,38.63,-90.24,4;34,Saint Louis,54005,0,17658;81967
63110,MO,2;1,,07/13/2009,0,0,0,0,0,0,0
63143,MO,2;1,12350,06/15/2010,38.63,-90.24,4;34,Saint Louis,0,5880;952381,18178;19672
63117,MO,2;1,18000,06/21/2009,0,0,0,0,0,8571;428571,0
65202,MO,2;12,12470,10/28/2011,38.39,-91.33,4;44,Franklin,54005,5882;075472,18774;16393
65203,MO,2;2,22000,10/15/2008,38.95,-92.32,4;48,Boone,54005,10000,19658;14208
65203,MO,2;3,,04/21/2009,38.63,-90.24,4;32,Saint Louis City,54005,0,19817;70492
63069,MO,2;3,,09/26/2011,0,0,0,0,53021,0,0
63118,MO,2;4,,01/23/2012,38.63,-90.24,4;34,Saint Louis,0,0,20775;08197
63138,MO,2;45,,01/23/2009,0,0,0,0,0,0,0
63011,MO,2;45,,2-10-2009,38.63,-90.24,4;34,Saint Louis,0,0,21207;89617
65203,MO,2;52,,02/18/2013,0,0,0,0,54005,0,0
63141,MO,2;73,,01/19/2010,38.95,-92.32,4;49,Boone,0,0,24448;41803
65109,MO,2;75,18725,1-12-2012,38.95,-92.32,4;48,Boone,29051,6809;090909,24572;6776
65109,MO,2;82,17907,12/30/2011,38.95,-92.32,4;48,Boone,29051,6350,25198;16393
63141,MO,2;88,,10/27/2011,38.47,-90.75,4;39,Franklin,0,0,25217;31148
63304,MO,2;88,,10/19/2011,38.63,-90.24,4;35,Saint Louis City,0,0,24987;54098
63011,MO,2;88,,03/15/2012,0,0,0,0,0,0,0
63010,MO,2;88,,04/20/2012,38.63,-90.24,4;29,Saint Louis,55055,0,24642;88525
63010,MO,2;88,,04/20/2012,0,0,0,0,55055,0,0
63130,MO,2;88,,05/22/2012,38.59,-90.55,4;37,Saint Louis,0,0,25102;42623
63042,MO,2;88,,07/13/2012,0,0,0,0,0,0,0
65550,MO,3,,08/14/2012,38.95,-92.32,4;48,Boone,31137,0,26806;55738
65201,MO,3,24250,12/28/2012,38.63,-90.24,4;36,Saint Louis,54005,8083;333333,26088;52459
65401,MO,3,,06/15/2005,0,0,0,0,31137,0,0
63109,MO,3;05,,02/25/2011,38.57,-92.19,4;49,Cole,0,0,27314;16667
63050,MO,3.055,,07/20/2010,38.57,-92.19,4;49,Cole,55055,0,27358943;99
63109,MO,3;15,,09/22/2011,38.63,-90.24,4;36,Saint Louis,0,0,27392;95082
63109,MO,3;15,15600,09/21/2011,0,0,0,0,0,4952;380952,0
63376,MO,3;36,,05/29/2012,38.79,-90.51,4;37,Saint Charles,0,0,29286;16393
63043,MO,3;5,,08/26/2010,0,0,0,0,0,0,0
63131,MO,3;6,,9-8-2011,38.59,-90.55,4;37,Saint Louis,0,0,31378;03279
64110,MO,3;78,,6-7-2010,0,0,0,0,55053,0,0
64019,MO,3;8,15000,04/18/2010,38.42,-90.36,4;38,Jefferson,56019,3947;368421,33197;04918
63109,MO,3;8,,12/22/2011,38.42,-90.36,4;38,Jefferson,0,0,33197;04918
64019,MO,3;8,16500,04/16/2010,38.63,-90.24,4;32,Saint Louis,56019,4342;105263,32742;29508
63303,MO,3;84,16704,11-12-2012,0,0,0,0,0,4350,0
63128,MO,3;84,16704,1-3-2013,38.77,-90.35,4;3,Saint Louis,0,4350,32933;77049
63026,MO,3;84,,07/19/2012,0,0,0,0,0,0,0
63303,MO,3;84,12897;27,09/26/2012,37.91,-91.90,4;43,Phelps,0,3358;664063,33929;44262
65203,MO,3;87,,05/13/2011,38.95,-92.32,4;49,Boone,54005,0,34657;64754
63037,MO,3;9,22000,10/16/1997,37.94,-91.76,4;43,Phelps,53021,5641;025641,34459;59016
63037,MO,3;9,22000,10/16/2009,38.63,-90.24,4;36,Saint Louis City,53021,5641;025641,33915;08197
65101,MO,3;96,31500,04/16/2010,0,0,0,0,29051,7954;545455,0
64779,MO,4,,1-5-2011,38.23,-90.56,4;42,Jefferson,29013,0,35263;38798
63050,MO,4;08,,10-3-2011,38.63,-90.24,4;36,Saint Louis City,55055,0,35480;39344
63105,MO,4;14,,9-9-2010,0,0,0,0,0,0,0
63105,MO,4;14,,11-2-2010,38.63,-90.24,4;36,Saint Louis City,0,0,36002;16393
63126,MO,4;14,,8-2-2011,0,0,0,0,0,0,0
65109,MO,4;2,31500,12-12-2009,38.77,-90.60,4;36,Saint Charles,29051,7500,36523;93443
63025,MO,4;3,,10-2-2009,0,0,0,0,0,0,0
63122,MO,4;5,,04/29/2011,38.72,-90.47,4;35,Saint Louis,0,0,39043;03279
63105,MO,4;6,,01/25/2012,0,0,0,0,0,0,0
63132,MO,4;63,27000,2-10-2010,38.63,-90.24,4;37,Saint Louis,0,5831;533477,40355;63661
63132,MO,4;68,,11/19/2010,0,0,0,0,0,0,0
64093,MO,4;8,,12/30/2008,39.09,-94.58,4;59,Jackson,56019,0,43943;60656
63109,MO,4;8,,12/22/2011,38.74,-93.84,4;51,Johnson,0,0,43177;70492
63122,MO,4;8,,03/16/2012,38.63,-90.24,4;36,Saint Louis City,0,0,41741;63934
65203,MO,4;84,,2-9-2012,0,0,0,0,54005,0,0
65202,MO,5,,09/30/2010,38.74,-93.84,4;51,Johnson,54005,0,44976;77596
65201,MO,5,,10/31/2011,38.79,-90.51,4;34,Saint Charles,54005,0,43281;42077
64110,MO,5,,11/15/2012,0,0,0,0,55053,0,0
65203,MO,5,50000,07/25/2009,38.63,-90.24,4;38,Saint Louis,54005,10000,43680;32787
65101,MO,5,35500,10-3-2012,0,0,0,0,29051,7100,0
65401,MO,5,,6-12-2002,38.53,-90.45,4;38,Saint Louis,31137,0,43680;32787
63366,MO,5;04,21117;6,2-6-2013,0,0,0,0,0,4190,0
63105,MO,5;04,,12/20/2011,38.79,-90.51,4;34,Saint Charles,0,0,43627;67213
63109,MO,5;04,,06/28/2012,0,0,0,0,0,0,0
65203,MO,5;06,12312,2-1-2012,38.95,-92.32,4;48,Boone,54005,2433;201581,45213;72678
65101,MO,5;17,34122,06/22/2011,38.39,-91.33,4;44,Franklin,29051,6600,45784;16393
63303,MO,5;4,,05/18/2011,38.39,-91.33,4;44,Franklin,0,0,47820;98361
63109,MO,5;46,,8-2-2012,38.57,-92.19,4;47,Cole,0,0,48679;03279
63028,MO,5;52,23128;8,01/14/2013,38.09,-94.36,4;56,Bates,55055,4190,50204;85246
63028,MO,5;52,22838;46,10-1-2012,38.23,-90.56,4;42,Jefferson,55055,4137;402174,48663;47541
63051,MO,5;64,,06/20/2012,38.63,-90.24,4;32,Saint Louis,55055,0,48596;45902
63110,MO,5;71,,03/24/2011,0,0,0,0,0,0,0
63131,MO,5;76,,10/24/2011,38.63,-90.24,4;32,Saint Louis,0,0,49630;42623
63026,MO,5;76,,11/17/2011,0,0,0,0,0,0,0
63025,MO,5;76,,02/15/2012,38.63,-90.24,4;34,Saint Louis,0,0,49860;19672
63104,MO,5;76,,05/15/2012,0,0,0,0,0,0,0
63301,MO,5;88,22925,11/14/2012,38.57,-92.19,4;49,Cole,0,3898;809524,52658;13115
63303,MO,5;88,23074,11/15/2012,38.50,-90.64,4;37,Saint Louis,0,3924;14966,51250;78689
63011,MO,5;88,24637;2,01/14/2013,0,0,0,0,0,4190,0
63301,MO,5;88,22925,10/24/2012,38.63,-90.24,4;36,Saint Louis,0,3898;809524,51133;5082
63376,MO,6;21,,09/21/2011,0,0,0,0,0,0,0
63021,MO,6;37,24808,11/16/2012,38.63,-90.24,4;32,Saint Louis,0,3894;505495,54886;42623
63052,MO,6;37,26436,09/25/2012,0,0,0,0,55055,4150;078493,0
63033,MO,6;37,33205,09/29/2012,38.63,-90.24,4;36,Saint Louis,0,5212;715856,55394;63388
63303,MO,6;37,26690;3,10-5-2012,0,0,0,0,0,4190,0
63303,MO,6;37,27801,6-3-2012,38.63,-90.24,4;36,Saint Louis,0,4364;364207,55394;63388
63052,MO,6;37,26436,7-7-2012,0,0,0,0,55055,4150;078493,0
64106,MO,6;46,,09/20/2011,38.75,-93.72,4;48,Johnson,55053,0,57723;45355
64093,MO,6;48,18000,04/29/2013,38.63,-90.24,4;36,Saint Louis City,56019,2777;777778,56351;21311
63366,MO,6;48,25972,11/15/2012,0,0,0,0,0,4008;024691,0
63366,MO,6;5,27235,07/14/2012,38.63,-90.24,4;36,Saint Louis,0,4190,56525;13661
63011,MO,6;5,27235,07/17/2012,0,0,0,0,0,4190,0
63366,MO,6;5,27235,02/25/2012,38.95,-92.32,4;48,Boone,0,4190,58080;87432
63011,MO,6;5,28730,02/27/2012,38.95,-92.32,4;49,Boone,0,4420,58210;51913
64080,MO,6;58,,11-12-2012,38.95,-92.32,4;49,Boone,48067,0,58926;95628
65109,MO,6;58,38322,12/14/2012,39.09,-94.58,4;59,Jackson,29051,5824;012158,60239;36066
63303,MO,6;62,26679,08/14/2012,38.95,-92.32,4;48,Boone,0,4030;060423,59153;13661
65582,MO,6;63,37000,12/31/2012,38.57,-92.19,4;47,Cole,29125,5580;693816,59110;2541
63303,MO,6;72,28156;8,12/27/2012,37.94,-91.76,4;43,Phelps,0,4190,59376;52459
63303,MO,6;72,27082,11/14/2012,38.78,-90.70,4;37,Saint Charles,0,4030;059524,58572;32787
65109,MO,6;72,39984,06/13/2012,0,0,0,0,29051,5950,0
65401,MO,7,,06/15/2007,38.63,-90.24,4;32,Saint Louis,31137,0,60314;7541
63025,MO,7.105,29769;95,12/21/2012,0,0,0,0,0,4;19,0
63122,MO,7;2,,8-9-2012,38.63,-90.24,4;36,Saint Louis City,0,0,62612;45902
63301,MO,7.595,31291,09/26/2012,0,0,0,0,0,4;119947334,0
65039,MO,7;65,45015,12/28/2012,38.95,-92.32,4;48,Boone,54005,5884;313725,68356;72131
63052,MO,7;68,32179;2,2-5-2013,38.57,-92.19,4;47,Cole,55055,4190,68471;60656
63390,MO,7;68,32179;2,02/20/2013,38.79,-90.51,4;34,Saint Charles,51187,4190,66480;2623
63664,MO,7;84,35220,10/31/2012,0,0,0,0,55131,4492;346939,0
63303,MO,7;84,32849;6,12/27/2012,38.63,-90.24,4;36,Saint Louis City,0,4190,68178;01093
63010,MO,7;92,33184;8,10/17/2012,0,0,0,0,55055,4190,0
63376,MO,7;92,33184;8,1-3-2013,38.22,-90.40,4;41,Jefferson,0,4190,69663;54098
