Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
59870,MT,0;48,,1-1-2000,46.50,-114.10,4;83,Ravalli,30081,0,4624;131148
59047,MT,0;9,10000,08/18/2000,45.70,-110.53,4;68,Park,56029,11111;11111,8400;983607
59645,MT,1;9,22800,1-1-2000,46.57,-111.00,4;82,Meagher,30059,12000,18265;95628
59036,MT,1;92,,1-7-2002,46.48,-109.88,4;98,Wheatland,30107,0,19070;95082
59840,MT,1;92,,12/13/2000,46.16,-114.14,4;76,Ravalli,30081,0,18228;45902
59711,MT,1;92,,1-8-2002,46.12,-112.97,4;94,Deer Lodge,30023,0,18917;77049
59701,MT,1;92,,09/27/2000,46.00,-112.44,5;09,Silver Bow,30093,0,19492;19672
59829,MT,1;92,,09/25/2000,45.78,-114.24,4;93,Ravalli,30081,0,18879;47541
59715,MT,1;92,,1-8-2002,45.77,-110.93,4;71,Gallatin,30031,0,18036;98361
59802,MT,1;92,,1-8-2002,46.94,-113.85,4;78,Missoula,30063,0,18305;04918
59447,MT,1;92,,12/21/2000,47.20,-110.44,4;74,Judith Basin,30045,0,18151;86885
59801,MT,1;92,,09/25/2000,46.85,-113.99,4;8,Missoula,30063,0,18381;63934
59014,MT,1;92,,1-7-2002,45.18,-108.54,5;22,Carbon,56007,0,19990;03279
59068,MT,1;92,,11/30/2000,45.19,-109.24,4;5,Carbon,56007,0,17232;78689
59870,MT,1;92,,09/25/2000,46.50,-114.10,4;83,Ravalli,30081,0,18496;52459
59875,MT,1;92,,09/25/2000,46.39,-114.26,4;59,Ravalli,30081,0,17577;44262
59422,MT,1;92,,09/26/2000,47.86,-112.44,4;84,Teton,56039,0,18534;81967
59425,MT,1;92,,09/26/2000,48.20,-111.85,4;82,Pondera,30073,0,18458;22951
59401,MT,1;96,,12-1-2003,47.51,-111.27,4;92,Cascade,30013,0,19233;70492
59759,MT,1;98,,12/29/2004,45.86,-112.24,5;13,Jefferson,55055,0,20259;29508
59068,MT,1;98,,1-1-2005,45.19,-109.24,4;5,Carbon,56007,0,17771;31148
59460,MT,1;98,,12/30/2004,48.05,-110.45,4;92,Chouteau,30015,0,19429;96721
59102,MT,1;98,,12/26/2004,45.76,-108.57,5;1,Yellowstone,30111,0,20140;81967
59019,MT,1;98,,12/27/2004,45.72,-109.23,4;99,Stillwater,30095,0,19706;40984
59729,MT,1;98,,12/31/2004,45.28,-111.71,4;79,Madison,51113,0,18916;57377
59433,MT,1;98,,12/28/2004,47.88,-111.75,4;9,Teton,56039,0,19350;98361
59718,MT,2;08,,1-1-2004,45.65,-111.17,4;68,Gallatin,30031,0,19415;60656
59410,MT,2;08,,12-1-2003,47.58,-112.60,5;11,Lewis And Clark,0,0,21199;51913
59602,MT,2;08,,12-1-2003,0,0,0,0,0,0,0
59711,MT,2;08,,1-1-2004,46.76,-112.01,5,Lewis And Clark,30023,0,20743;1694
59701,MT,2;08,,12-1-2003,0,0,0,0,30093,0,0
59072,MT,2;1,,10-3-2003,46.12,-112.97,4;94,Deer Lodge,30065,0,20691;31148
59722,MT,2;1,,10-2-2003,46.00,-112.44,5;09,Silver Bow,30077,0,21319;59016
59410,MT,2;1,,10-1-2003,46.44,-108.51,5;05,Musselshell,0,0,21152;04918
59760,MT,2;1,,10-5-2003,46.37,-112.72,4;9,Powell,0,0,20523;77049
59749,MT,2;1,,10-4-2003,47.58,-112.60,5;11,Lewis And Clark,51113,0,21403;36066
59601,MT,2;4,32068,10-1-2001,0,0,0,0,0,13361;66667,0
59718,MT,2;52,,09/29/2002,45.82,-111.63,0,0,30031,0,0
59747,MT,2;53,19866,12-12-2002,0,0,5;05,Madison,51113,7852;173913,25483;18306
59725,MT,2;76,,9-1-2004,45.43,-112.12,5;02,Lewis And Clark,30001,0,27634;68852
59011,MT,2;76,,11-1-2004,46.51,-112.12,0,0,30097,0,0
59102,MT,2;76,,11-1-2004,0,0,4;68,Gallatin,30111,0,25763;01639
59601,MT,2;76,,8-1-2004,45.65,-111.17,4;69,Madison,0,0,25818;06557
59641,MT,2;76,,12-1-2004,45.63,-111.90,5;1,Beaverhead,30007,0,28075;08197
59453,MT,2;8,,9-9-2002,45.05,-112.82,4;99,Sweet Grass,30107,0,27867;65027
59538,MT,2;8,,08/26/2002,45.96,-109.85,5;1,Yellowstone,30071,0,28481;96721
59832,MT,2;8,,09/23/2002,45.76,-108.57,5;02,Lewis And Clark,30039,0,28035;19126
59725,MT,2;8,,09/23/2002,46.51,-112.12,0,0,30001,0,0
59715,MT,3;6,,1-1-2002,0,0,5;12,Broadwater,30031,0,36763;27869
59701,MT,4;5,,1-1-2001,46.20,-111.63,4;95,Wheatland,30093,0,44428;27869
59808,MT,4;8,50000,3-1-2001,46.63,-109.68,4;91,Phillips,30063,10416;66667,47007;21311
59870,MT,5;7,22000,12/15/2011,48.16,-107.87,4;79,Granite,30081,3859;649123,54456;80328
59715,MT,6;72,,9-5-2008,46.65,-113.24,5;1,Beaverhead,30031,0,68356;72131
59101,MT,9;9,,1-1-2006,45.05,-112.82,4;71,Gallatin,30111,0,93003;19672
59715,MT,15;08,113000,11-1-2006,45.77,-110.93,5;09,Silver Bow,30031,7493;3687,153094;9617
59101,MT,16;27,,1-1-2004,46.00,-112.44,4;83,Missoula,30111,0,156738;7787
59715,MT,16;72,,11/27/2006,46.98,-114.12,4;83,Ravalli,30031,0,161073;9016
59405,MT,16;92,,09/13/2012,46.50,-114.10,4;71,Gallatin,30013,0,158950;918
59072,MT,24;96,80000,09/20/2013,45.77,-110.93,5;04,Yellowstone,30065,3205;128205,250909;377
59422,MT,69;7,592000,08/15/2011,45.65,-108.38,4;71,Gallatin,56039,8493;543759,654780;082
