Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
4614,ME,0.879,9905.0,03/20/2012,44.41,-68.58,3;99,Hancock,54029
4634,ME,0.96,4428.5,8/7/2012,44.58,-68.23,4;05,Hancock,54029
4605,ME,0.98,4519.9,1/8/2013,44.58,-68.49,3;98,Hancock,54029
4103,ME,1.0,5040.0,9/4/2012,43.66,-70.25,4;10,Cumberland,51049
4105,ME,1.0,5242.0,9/4/2012,43.72,-70.24,4;11,Cumberland,51049
4103,ME,1.0,5150.0,9/4/2012,43.66,-70.25,4;10,Cumberland,51049
4472,ME,1.0,4500.0,2/5/2013,44.57,-68.73,4;01,Hancock,54029
4101,ME,1.0,,10/24/2007,43.66,-70.25,4;14,Cumberland,51049
4553,ME,1.06,9019.45,9/4/2012,44.03,-69.53,4;06,Lincoln,56023
4543,ME,1.1,6668.0,12/27/2009,44.03,-69.51,4;03,Lincoln,56023
4971,ME,1.2,7988.0,11/6/2012,44.91,-69.41,3;92,Somerset,42111
4951,ME,1.23,5600.0,8/6/2013,44.61,-69.01,4;01,Waldo,23027
4473,ME,1.344,,09/20/2011,44.88,-68.68,3;86,Penobscot,23019
4538,ME,1.35,9180.0,1/10/2000,43.85,-69.62,4;01,Lincoln,56023
4614,ME,1.4,4554.55,8/7/2012,44.41,-68.58,3;99,Hancock,54029
4986,ME,1.41,6753.0,01/17/2012,44.57,-69.27,3;99,Waldo,23027
4070,ME,1.44,8188.0,12/4/2012,43.59,-70.33,0,0,0
4976,ME,1.44,18916.0,01/24/2012,0,0,3;91,Somerset,42111
4680,ME,1.44,8493.66,01/21/2012,44.77,-69.71,4;04,Washington,55131
4039,ME,1.44,7560.0,8/7/2012,44.51,-67.96,4;07,Cumberland,51049
4070,ME,1.44,8188.0,12/4/2012,43.88,-70.33,0,0,0
4046,ME,1.44,2005.0,6/4/2013,43.59,-70.33,4;13,York,51199
