Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
21849,MD,0.108,534.55,06/16/2011,38.38,-75.47,4;23,Wicomico,24045
21155,MD,0.5,3380.0,08/20/2013,39.57,-76.80,4;00,Baltimore,24005
20874,MD,0.51,10115.95,10/23/2006,39.17,-77.26,4;29,Montgomery,51121
21903,MD,0.7,8250.0,8/2/2011,39.57,-76.06,4;05,Cecil,24015
21903,MD,0.7,8250.0,4/11/2011,39.57,-76.06,4;05,Cecil,24015
20854,MD,0.74,2430.0,10/1/2011,39.02,-77.19,4;32,Montgomery,51121
21045,MD,0.82,4950.0,8/2/2010,39.20,-76.85,4;12,Howard,48227
21060,MD,0.92,12500.0,03/26/2012,39.16,-76.60,4;06,Anne Arundel,24003
21114,MD,0.92,12250.0,05/31/2012,39.01,-76.68,4;15,Anne Arundel,24003
21122,MD,0.92,13083.0,4/9/2012,39.11,-76.55,4;11,Anne Arundel,24003
21045,MD,0.92,12000.0,05/18/2012,39.20,-76.85,4;12,Howard,48227
21619,MD,0.92,11900.0,5/4/2012,38.95,-76.28,4;18,Queen Annes,0
21060,MD,0.92,12500.0,06/13/2012,0,0,0,0,24003
21403,MD,0.92,12000.0,07/31/2012,39.16,-76.60,4;06,Anne Arundel,24003
20912,MD,0.92,12500.0,07/24/2012,38.97,-76.50,4;10,Anne Arundel,51121
21042,MD,0.94,5000.0,7/11/2012,38.98,-77.00,4;18,Montgomery,48227
21401,MD,0.95,11350,11/30/2009,39.27,-76.83,4;09,Howard,24003
21871,MD,0.96,4900.0,3/6/2014,38.97,-76.50,4;12,Anne Arundel,42111
21160,MD,0.99,4499.0,11/29/2010,38.12,-75.70,4;37,Somerset,24025
21227,MD,1.0,12321.0,1/3/2012,39.70,-76.34,3;98,Harford,24005
21102,MD,1.0,10521.0,01/24/2012,39.21,-76.72,4;13,Baltimore,51035
21223,MD,1.0,12321.0,02/29/2012,39.65,-76.89,3;97,Carroll,0
21234,MD,1.0,10421.0,02/21/2012,39.30,-76.61,4;13,Baltimore City,24005
21144,MD,1.0,9821.0,02/24/2012,0,0,0,0,24003
20715,MD,1.0,10521.0,04/26/2012,39.38,-76.55,4;09,Baltimore,0
21144,MD,1.0,12821.0,02/20/2012,39.13,-76.69,4;13,Anne Arundel,24003
20723,MD,1.0,9521.0,1/4/2012,38.95,-76.73,4;14,Prince Georges,48227
21158,MD,1.0,10000.0,3/9/2012,0,0,0,0,51035
21061,MD,1.0,9821.0,05/14/2012,39.13,-76.69,4;13,Anne Arundel,24003
21114,MD,1.0,10721.0,03/20/2012,39.09,-76.85,4;14,Howard,24003
21108,MD,1.0,10521.0,5/9/2012,39.57,-77.00,3;97,Carroll,24003
21037,MD,1.0,9821.0,06/15/2012,39.16,-76.60,4;12,Anne Arundel,24003
21228,MD,1.0,10521.0,6/12/2012,39.01,-76.68,4;15,Anne Arundel,24005
21045,MD,1.0,9952.0,07/13/2012,39.05,-76.64,4;12,Anne Arundel,48227
21146,MD,1.0,9821.0,05/15/2012,38.90,-76.54,4;12,Anne Arundel,24003
21060,MD,1.0,10521.0,6/5/2012,39.26,-76.74,4;11,Baltimore,24003
21220,MD,1.0,12121.0,7/2/2012,39.20,-76.85,4;12,Howard,24005
21158,MD,1.0,10521.0,9/7/2012,39.08,-76.57,4;12,Anne Arundel,51035
21286,MD,1.0,11021.0,08/29/2012,39.16,-76.60,4;06,Anne Arundel,24005
21850,MD,1.0,5980.0,4/1/2014,39.33,-76.43,4;14,Baltimore,24045
20814,MD,1.0,11000.0,11/1/2007,39.57,-77.00,3;97,Carroll,51121
20901,MD,1.0,9375.0,11/16/2007,39.39,-76.62,4;05,Baltimore,51121
20902,MD,1.0,8789.0,1/1/2008,38.39,-75.41,4;22,Wicomico,51121
20882,MD,1.0,8789.0,1/1/2008,38.98,-77.12,4;25,Montgomery,51121
20637,MD,1.0,13803.57,4/1/2008,39.01,-77.02,4;18,Montgomery,24017
21921,MD,1.0,13519.0,5/1/2008,39.01,-77.02,4;20,Montgomery,24015
21502,MD,1.0,12929.0,5/1/2008,39.14,-77.21,4;18,Montgomery,36003
21666,MD,1.0,8400.0,03/16/2010,38.53,-76.78,4;25,Charles,0
20716,MD,1.0,12321.0,12/29/2010,39.60,-75.82,4;08,Cecil,0
21009,MD,1.0,10500.0,5/1/2011,39.65,-78.76,3;70,Allegany,24025
21157,MD,1.0,12321.0,12/30/2010,38.99,-76.30,4;18,Queen Annes,51035
21146,MD,1.0,12321.0,1/4/2011,0,0,0,0,24003
20707,MD,1.0,12321.0,03/21/2011,38.95,-76.73,4;15,Prince Georges,0
21042,MD,1.0,12321.0,03/23/2011,0,0,0,0,48227
21214,MD,1.0,12321.0,4/6/2011,39.46,-76.27,4;12,Harford,0
21784,MD,1.0,12321.0,06/16/2011,39.57,-77.00,4;01,Carroll,51035
21136,MD,1.0,12321.0,7/8/2011,39.08,-76.57,4;12,Anne Arundel,24005
21401,MD,1.0,11350.0,11/30/2009,39.09,-76.85,4;14,Prince Georges,24003
21409,MD,1.0,6688.5,8/11/2010,0,0,0,0,0
21044,MD,1.0,12321.0,3/11/2011,39.27,-76.83,4;09,Howard,48227
21009,MD,1.0,10500.0,12/18/2010,39.30,-76.61,4;13,Baltimore City,24025
21214,MD,1.0,12321.0,11/26/2010,0,0,0,0,0
20902,MD,1.0,12754.0,11/15/2007,39.37,-76.97,4;06,Carroll,51121
21117,MD,1.02,9300.0,2/1/2008,39.45,-76.81,4;01,Baltimore,24005
20754,MD,1.05,17535.0,11/12/2010,38.97,-76.50,4;12,Anne Arundel,24009
20837,MD,1.05,10437.0,6/1/2008,39.02,-76.45,4;15,0,51121
21794,MD,1.05,17250.0,6/1/2008,0,0,0,Howard,48227
21794,MD,1.05,7888.0,2/4/2009,39.20,-76.85,4;13,Harford,48227
21093,MD,1.05,8999.0,4/8/2009,39.46,-76.27,4;12,Baltimore City,24005
21093,MD,1.05,8999.0,4/8/2009,39.30,-76.61,4;13,0,24005
21140,MD,1.097,7075.0,4/1/2008,0,0,0,Montgomery,24003
21140,MD,1.097,9444.07,1/1/2009,39.01,-77.02,4;20,Baltimore,24003
20639,MD,1.1,19500.0,2/7/2006,39.41,-76.79,4;05,Calvert,24009
20770,MD,1.1,12830.7,1/10/2007,38.72,-76.66,4;19,Montgomery,0
21043,MD,1.11,9000.0,01/28/2011,39.14,-77.41,4;36,Howard,48227
21212,MD,1.15,5000.0,8/1/2012,39.30,-76.95,4;11,Howard,0
20685,MD,1.15,8150.0,11/24/2010,39.30,-76.95,4;11,Baltimore,24009
21409,MD,1.15,4199.18,2/7/2011,39.43,-76.64,4;04,Baltimore,0
21045,MD,1.155,10499.0,7/1/2008,39.43,-76.64,4;04,Anne Arundel,48227
21122,MD,1.155,11199.0,11/1/2008,38.94,-76.58,4;12,Anne Arundel,24003
21122,MD,1.155,9943.4,1/1/2009,38.94,-76.58,4;12,Calvert,24003
21045,MD,1.155,9943.4,1/1/2009,38.61,-76.61,4;21,Prince Georges,48227
21620,MD,1.175,5988.0,4/2/2012,38.99,-76.88,4;15,0,48263
21120,MD,1.175,3000.0,04/14/2012,0,0,0,Howard,24005
20794,MD,1.175,7712.25,7/5/2011,39.27,-76.83,4;10,Baltimore City,48227
21227,MD,1.18,8289.0,01/28/2011,39.30,-76.61,4;10,0,24005
21146,MD,1.19,15600.0,01/19/2007,0,0,0,Calvert,24003
21666,MD,1.2,8400.0,03/16/2010,38.47,-76.50,4;20,0,0
