Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
1702,MA,0.102,,08/16/2006,42.30,-71.43,3;76,Middlesex,51119
2719,MA,0.22,1450.0,09/18/2006,41.63,-70.90,3;79,Bristol,25005
2719,MA,0.22,1450.0,04/13/2006,41.63,-70.90,3;79,Bristol,25005
2719,MA,0.22,1450.0,3/8/2006,41.63,-70.90,3;79,Bristol,25005
2744,MA,0.22,1450.0,04/18/2006,41.66,-70.93,3;80,Bristol,25005
2744,MA,0.22,1450.0,04/18/2006,41.66,-70.93,3;80,Bristol,25005
2576,MA,0.22,1450.0,3/1/2006,41.78,-70.75,3;81,Plymouth,25023
2790,MA,0.22,1450.0,3/8/2006,41.66,-71.10,3;80,Bristol,25005
2720,MA,0.22,1450.0,6/7/2006,41.71,-71.10,3;83,Bristol,25005
2720,MA,0.22,1450.0,06/16/2006,41.71,-71.10,3;83,Bristol,25005
2738,MA,0.22,1800.0,07/24/2006,41.70,-70.76,3;78,Plymouth,25023
2745,MA,0.22,1450.0,06/19/2006,41.66,-70.93,3;83,Bristol,25005
2724,MA,0.22,1450.0,07/27/2006,41.71,-71.10,3;81,Bristol,25005
2791,MA,0.23,1450.0,07/19/2006,41.52,-71.07,0,0,0
1071,MA,0.37,2100.0,7/11/2011,0,0,3;81,Hampden,0
1071,MA,0.37,2100.0,7/11/2011,42.18,-72.85,0,0,0
1071,MA,0.37,2100.0,7/11/2011,0,0,3;81,Hampden,0
1071,MA,0.37,2100.0,7/11/2011,42.18,-72.85,0,0,0
1071,MA,0.37,2100.0,7/11/2011,0,0,3;81,Hampden,0
1071,MA,0.37,2100.0,7/11/2011,42.18,-72.85,0,0,0
2747,MA,0.44,2900.0,04/13/2006,0,0,3;81,Hampden,25005
2739,MA,0.44,2900.0,12/31/2006,42.18,-72.85,0,0,25023
2366,MA,0.44,2900.0,3/8/2006,0,0,3;81,Hampden,0
2719,MA,0.44,2900.0,7/10/2006,42.18,-72.85,0,0,25005
1922,MA,0.48,4450.0,12/31/2006,0,0,3;81,Hampden,51057
1950,MA,0.48,4825.0,2/7/2007,42.18,-72.85,0,0,51057
2066,MA,0.48,5697.51,07/28/2007,0,0,3;80,Bristol,25023
2139,MA,0.48,1920.0,2/2/2007,41.64,-71.00,3;74,Plymouth,51119
2066,MA,0.48,3400.0,07/30/2007,41.66,-70.80,0,0,25023
1950,MA,0.48,4948.0,11/1/2006,41.83,-70.72,3;79,Bristol,51057
1950,MA,0.48,5390.0,04/30/2007,0,0,3;90,Essex,51057
1951,MA,0.48,4450.0,12/31/2006,41.63,-70.90,3;92,Essex,51057
1951,MA,0.48,4950.0,11/30/2006,42.75,-70.93,3;67,Plymouth,51057
1950,MA,0.48,4765.0,01/25/2007,42.81,-70.88,3;74,Middlesex,51057
1951,MA,0.48,4825.0,2/7/2007,42.18,-70.73,3;67,Plymouth,51057
1096,MA,0.49,2064.0,11/14/2013,42.37,-71.11,3;92,Essex,54027
1109,MA,0.54,2600.0,07/31/2001,42.18,-70.73,3;92,Essex,0
2072,MA,0.56,2700.0,07/18/2001,42.81,-70.88,3;92,Essex,25021
2341,MA,0.56,3000.0,6/7/2001,42.81,-70.88,3;92,Essex,25023
1039,MA,0.56,2600.0,10/5/2001,42.80,-71.00,3;92,Essex,54027
1376,MA,0.56,2600.0,11/27/2000,42.80,-71.00,3;92,Essex,53021
1129,MA,0.56,2600.0,10/28/2000,42.81,-70.88,3;80,Hampshire,0
1002,MA,0.56,869.0,5/3/2001,42.80,-71.00,3;70,Hampden,54027
1585,MA,0.56,2700.0,12/1/2000,42.40,-72.71,0,0,24047
1503,MA,0.56,3000.0,6/1/2001,42.11,-72.53,3;82,Norfolk,24047
1089,MA,0.56,2600.0,09/28/2001,0,0,3;79,Plymouth,0
1451,MA,0.56,2880.0,05/16/2000,42.11,-71.10,3;79,Hampshire,24047
1109,MA,0.56,2600.0,07/31/2000,42.06,-70.85,3;59,Franklin,0
1915,MA,0.56,2700.0,6/8/2001,42.39,-72.70,3;68,Hampden,51057
1340,MA,0.56,2600.0,12/21/2000,42.59,-72.55,0,0,53021
1301,MA,0.56,2600.0,09/23/2002,42.11,-72.53,3;64,Hampshire,53021
1301,MA,0.56,2600.0,07/20/2002,0,0,3;72,Worcester,53021
1237,MA,0.56,2600.0,11/28/2001,42.37,-72.52,3;78,Worcester,0
1056,MA,0.56,2600.0,5/4/2001,42.23,-72.14,3;68,Hampden,0
1453,MA,0.56,2700.0,11/3/2000,42.38,-71.63,0,0,24047
1879,MA,0.56,3000.0,06/20/2001,42.12,-72.65,3;76,Worcester,51119
1118,MA,0.56,2600.0,12/18/2000,0,0,3;70,Hampden,0
2066,MA,0.56,2700.0,09/22/2001,42.50,-71.58,0,0,25023
1027,MA,0.56,2600.0,11/3/2000,42.11,-72.53,3;70,Essex,54027
1534,MA,0.56,1725.0,06/19/2003,0,0,3;74,Franklin,24047
1098,MA,0.56,2600.0,5/12/2001,42.55,-70.84,3;66,Franklin,54027
2452,MA,0.6,2023.25,8/11/2006,42.66,-72.68,3;66,Franklin,51119
1545,MA,0.7,8765.0,10/12/2011,42.58,-72.59,3;55,Berkshire,24047
1545,MA,0.7,8765.0,10/12/2011,42.58,-72.59,0,0,24047
1341,MA,0.735,4000.0,10/1/2012,42.51,-73.22,3;67,Hampden,53021
1701,MA,0.8,7568.63,10/8/1998,0,0,0,0,51119
2575,MA,0.8,6130.0,08/15/2008,42.16,-72.48,3;84,Worcester,25007
1370,MA,0.84,16720.0,07/23/2007,0,0,3;84,Middlesex,53021
1337,MA,0.88,13757.0,10/1/2004,42.51,-71.77,3;69,Hampden,53021
2790,MA,0.88,6017.5,6/12/2006,42.68,-71.41,0,0,25005
2738,MA,0.88,6017.5,06/16/2006,42.11,-72.53,3;67,Plymouth,25023
2748,MA,0.88,6107.0,04/26/2006,0,0,3;78,Hampshire,25005
1337,MA,0.9,14226.0,08/21/2006,42.18,-70.73,3;78,Worcester,53021
2653,MA,0.92,7200.0,01/21/2014,42.26,-72.68,3;72,Hampshire,25001
1364,MA,0.92,14383.0,6/1/2005,42.15,-71.65,3;76,Middlesex,53021
2790,MA,0.92,8347.5,8/8/2006,42.41,-72.93,3;78,Worcester,25005
