Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
55910,MN,0.25,457.0,05/15/2012,44.06,-91.93,3;90,Winona,27169
55987,MN,0.5,2295.0,12/22/2011,44.04,-91.65,3;93,Winona,27169
55802,MN,0.51,,07/16/2010,46.78,-92.11,3;96,Saint Louis,0
55802,MN,0.51,5050.0,04/28/2010,0,0,0,0,0
55804,MN,0.52,,04/29/2008,46.78,-92.11,3;96,Saint Louis,0
55418,MN,0.67,,8/4/2011,0,0,0,0,27053
55987,MN,0.69,4799.0,9/3/2010,46.78,-92.11,4;22,Saint Louis,27169
55987,MN,0.75,4199.0,11/28/2011,0,0,0,0,27169
56303,MN,0.8,,5/4/2009,44.96,-93.26,4;13,Hennepin,27145
55116,MN,0.84,8233.0,09/15/2010,44.04,-91.65,3;93,Winona,38071
55104,MN,0.87,,1/11/2010,44.04,-91.65,3;93,Winona,38071
55118,MN,0.96,11596.0,3/11/2003,45.55,-94.17,4;12,Stearns,31043
55407,MN,0.96,9781,06/25/2008,44.94,-93.10,4;09,Ramsey,27053
55407,MN,0.96,,12/19/2008,44.94,-93.10,4;09,Ramsey,27053
56001,MN,1.0,,09/25/2009,44.94,-93.10,4;10,Dakota,27013
56001,MN,1.0,11500.0,08/26/2009,44.96,-93.26,4;09,Hennepin,27013
55606,MN,1.02,15519.0,11/13/2009,44.96,-93.26,4;09,Hennepin,27031
55330,MN,1.02,12020.0,02/24/2004,44.16,-93.99,4;06,Blue Earth,27141
56438,MN,1.04,,05/18/2008,44.16,-93.99,4;06,Blue Earth,46121
56438,MN,1.04,,11/1/2007,47.83,-89.97,4;16,Cook,46121
55406,MN,1.06,9397.68,08/17/2005,45.33,-93.56,4;09,Sherburne,27053
55992,MN,1.07,6451.0,10/10/2010,46.08,-94.86,4;11,Todd,27049
56359,MN,1.075,10100.0,01/15/2009,46.08,-94.86,4;11,Todd,27095
55587,MN,1.08,,01/21/2010,44.96,-93.26,4;09,Hennepin,0
55128,MN,1.2,4500.0,04/16/2011,44.29,-92.67,3;95,Goodhue,55131
55411,MN,1.224,13070.0,09/13/2004,46.06,-93.66,4;04,Mille Lacs,27053
55316,MN,1.26,,05/22/2008,45.30,-93.80,0,0,27053
55746,MN,1.3,9000.0,05/17/2011,0,0,4;02,Washington,0
55804,MN,1.3,17688.74,11/9/2006,44.94,-93.10,4;13,Hennepin,0
55803,MN,1.32,29007.0,5/1/2004,44.96,-93.26,4;09,Hennepin,0
55346,MN,1.32,,11/25/2009,45.16,-93.38,4;05,Saint Louis,27053
55128,MN,1.344,10684.0,7/5/2010,47.40,-92.94,0,0,55131
55073,MN,1.38,9007.0,7/12/2010,0,0,4;22,Saint Louis,55131
55410,MN,1.38,8665.0,08/26/2010,46.78,-92.11,0,0,27053
55606,MN,1.4,13268.0,11/21/2009,0,0,4;11,Saint Louis,27031
55102,MN,1.4,,4/1/2007,46.78,-92.11,0,0,38071
55604,MN,1.4,,8/12/2008,0,0,3;98,Hennepin,27031
55606,MN,1.4,,04/22/2010,44.84,-93.45,4;02,Washington,27031
55604,MN,1.4,14629.0,7/1/2008,44.94,-93.10,4;01,Washington,27031
55110,MN,1.4,9627.0,05/16/2006,45.27,-92.82,4;15,Hennepin,38071
56444,MN,1.44,,7/1/2008,44.96,-93.26,4;16,Cook,27035
55116,MN,1.44,,09/18/2008,47.83,-89.97,4;10,Ramsey,38071
55116,MN,1.44,9781.0,06/25/2008,44.94,-93.10,4;02,Cook,38071
55810,MN,1.44,9954.46,06/30/2004,47.75,-90.34,4;16,Cook,0
55954,MN,1.5,8985.0,12/13/2011,47.83,-89.97,4;02,Cook,31059
55987,MN,1.5,7500.0,12/13/2011,47.75,-90.34,4;03,Ramsey,27169
55057,MN,1.575,23675.0,11/19/2009,44.94,-93.10,4;07,Crow Wing,27131
55057,MN,1.58,,02/16/2010,46.47,-93.89,4;09,Ramsey,27131
