Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
39180,MS,0.5,,08/20/2010,32.32,-90.87,4;53,Warren,51187
38828,MS,0.569999993,,6/9/2010,34.40,-88.87,4;36,Union,47173
39750,MS,0.57,2057.0,3/3/2014,33.55,-89.08,4;42,Webster,54101
38655,MS,0.69,7500.0,6/9/2011,34.35,-89.52,4;39,Lafayette,55065
39057,MS,1.29,9900.0,08/17/2011,32.45,-89.27,4;42,Newton,48351
39111,MS,1.41,7050.0,9/12/2012,31.87,-89.73,4;42,Simpson,28127
38655,MS,1.7,10320,10/20/2009,34.35,-89.52,4;39,Lafayette,55065
39752,MS,1.7,14792,04/13/2010,33.53,-89.12,4;43,Webster,54101
39759,MS,1.9,6460.0,6/5/2013,33.45,-88.82,4;42,Oktibbeha,28105
38655,MS,2.0,,11/19/2009,34.35,-89.52,4;39,Lafayette,55065
39051,MS,2.2,19690,8/12/2008,32.74,-89.53,4;41,Leake,28079
39759,MS,2.25,11990.0,12/30/2011,33.45,-88.82,4;42,Oktibbeha,28105
38866,MS,2.58,20640.0,07/29/2010,34.38,-88.68,4;35,Lee,51105
38652,MS,2.76,25000.0,06/15/2011,34.49,-89.02,4;36,Union,47173
39051,MS,2.8,24080,02/16/2009,32.74,-89.53,4;41,Leake,28079
39232,MS,2.8,24080,04/20/2009,32.32,-90.20,4;38,Rankin,28121
39074,MS,2.88,14400.0,02/16/2012,32.35,-89.47,4;38,Scott,51169
39149,MS,3.0,11850.0,9/12/2013,31.82,-90.02,4;42,Simpson,28127
39740,MS,3.18,,07/30/2013,33.68,-88.32,4;39,Monroe,55081
39702,MS,3.2,19500,11/16/2009,33.50,-88.40,4;42,Lowndes,28087
39307,MS,3.45,24150.0,06/24/2011,32.38,-88.71,4;42,Lauderdale,47097
38673,MS,3.68,22000.0,08/20/2011,34.27,-89.58,4;42,Lafayette,55065
39110,MS,4.6,22000.0,11/1/2011,32.45,-90.10,4;43,Madison,51113
39465,MS,4.77,15741.0,08/23/2013,31.34,-89.25,4;45,Forrest,28035
39503,MS,4.896,,04/22/2010,30.38,-89.06,4;47,Harrison,54033
39759,MS,4.9,19895.0,1/11/2012,33.45,-88.82,4;42,Oktibbeha,28105
38801,MS,5.0,30000.0,06/15/2009,34.26,-88.73,4;37,Lee,51105
39305,MS,5.1,16830.0,09/27/2014,32.38,-88.71,4;45,Lauderdale,47097
38655,MS,5.1,43500,2/3/2010,34.35,-89.52,4;39,Lafayette,55065
39750,MS,5.17,20732.0,5/10/2012,33.55,-89.08,4;42,Webster,54101
39170,MS,5.5,18425.0,12/3/2013,32.10,-90.29,4;45,Hinds,28049
39083,MS,5.82,18915.0,2/2/2012,31.86,-90.39,4;41,Copiah,28029
38655,MS,6.0,19200.0,11/22/2012,34.35,-89.52,4;39,Lafayette,55065
38652,MS,6.0,20400.0,10/29/1997,34.49,-89.02,4;36,Union,47173
38652,MS,6.0,21389.0,02/18/2014,34.49,-89.02,4;36,Union,47173
39051,MS,6.0,19800.0,06/25/2014,32.74,-89.53,4;41,Leake,28079
39759,MS,6.4,21188.0,10/9/2013,33.45,-88.82,4;42,Oktibbeha,28105
38655,MS,6.45,55100.0,07/31/2010,34.35,-89.52,4;39,Lafayette,55065
38916,MS,6.5,22100.0,7/10/2014,33.85,-89.31,4;40,Calhoun,54013
39759,MS,6.82,21020.0,9/3/2013,33.45,-88.82,4;42,Oktibbeha,28105
39145,MS,6.89,22720.0,07/17/2014,32.31,-89.80,4;42,Rankin,28121
39730,MS,6.9,48300.0,03/15/2011,33.82,-88.55,4;41,Monroe,55081
39648,MS,7.59,53889.0,08/15/2011,31.24,-90.46,4;35,Pike,42103
39402,MS,8.1,21746.0,04/30/2013,31.31,-89.30,4;41,Forrest,28035
39051,MS,8.399.999.619,,9/2/2009,32.74,-89.53,4;41,Leake,28079
39051,MS,8.4,79800,02/15/2009,32.74,-89.53,4;41,Leake,28079
39465,MS,8.5,25627,10/13/2014,31.34,-89.25,4;45,Forrest,28035
39759,MS,9.0,23000.0,12/12/2014,33.45,-88.82,4;42,Oktibbeha,28105
39090,MS,9.52,34344.0,06/26/2013,33.05,-89.58,4;41,Attala,28007
38606,MS,9.75,33000.0,11/29/2013,34.31,-89.93,4;44,Panola,48365
39482,MS,9.75,33000.0,1/3/2014,31.41,-89.54,4;41,Lamar,48277
39701,MS,10.0,33200.0,02/26/2015,33.50,-88.40,4;42,Lowndes,28087
39702,MS,10.0,32100.0,01/22/2015,33.50,-88.40,4;42,Lowndes,28087
39773,MS,10.5,32084.0,5/7/2014,33.60,-88.64,4;42,Clay,54015
39402,MS,11.2,38080.0,02/27/2013,31.31,-89.30,4;41,Forrest,28035
39464,MS,12.0,52800.0,04/28/2014,31.48,-89.03,4;45,Perry,47135
39339,MS,13.5,103500.0,08/30/2010,33.12,-89.05,4;43,Winston,28159
38930,MS,32.9,199000.0,03/25/2011,33.51,-90.19,4;44,Leflore,28083
39051,MS,37.5,321000.0,08/31/2010,32.74,-89.53,4;41,Leake,28079
38828,MS,49.5,219590.0,08/16/2014,34.40,-88.87,4;36,Union,47173
38828,MS,50.0,229798.0,04/22/2013,34.40,-88.87,4;36,Union,47173
39094,MS,52.0,400000.0,01/17/2011,32.59,-89.59,4;41,Leake,28079
39339,MS,59.34,480428.0,12/28/2010,33.12,-89.05,4;43,Winston,28159
38677,MS,108.52,706040.0,12/7/2011,34.36,-89.59,0,0,0
