Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
64779,MO,0.44,,6/1/2007,38.09,-94.36,4;56,Bates,29013
63106,MO,0.92,,02/27/2012,38.63,-90.24,4;31,Saint Louis City,0
65203,MO,1.175,,07/16/2012,0,0,0,0,54005
65202,MO,1.175,3141.0,9/1/2012,38.95,-92.32,4;48,Boone,54005
63037,MO,1.25,2100.0,07/18/2012,38.95,-92.32,4;49,Boone,53021
65203,MO,1.44,2876.0,10/1/2012,38.39,-91.33,4;44,Franklin,54005
63037,MO,1.5,3500.0,12/21/2011,38.95,-92.32,4;48,Boone,53021
65043,MO,1.5,9000.0,12/31/2012,38.39,-91.33,4;44,Franklin,29027
65775,MO,1.8,,12/23/2011,38.64,-92.11,4;46,Callaway,29091
63104,MO,1.8,,05/13/2010,36.74,-91.86,4;47,Howell,0
63039,MO,1.8,,08/21/2008,38.63,-90.24,4;34,Saint Louis City,53021
63011,MO,1.8,,03/15/2009,0,0,0,0,0
63117,MO,1.88,,11/15/2010,38.49,-90.81,4;40,Franklin,0
63144,MO,1.92,,04/15/2012,38.59,-90.55,4;37,Saint Louis,0
63037,MO,2.0,22000.0,08/14/2010,0,0,0,0,53021
65203,MO,2.04,,12/18/2012,38.63,-90.24,4;34,Saint Louis,54005
63110,MO,2.1,,07/13/2009,0,0,0,0,0
63143,MO,2.1,12350,06/15/2010,38.63,-90.24,4;34,Saint Louis,0
63117,MO,2.1,18000,06/21/2009,0,0,0,0,0
65202,MO,2.12,12470.0,10/28/2011,38.39,-91.33,4;44,Franklin,54005
65203,MO,2.2,22000,10/15/2008,38.95,-92.32,4;48,Boone,54005
65203,MO,2.3,,04/21/2009,38.63,-90.24,4;32,Saint Louis City,54005
63069,MO,2.3,,09/26/2011,0,0,0,0,53021
63118,MO,2.4,,01/23/2012,38.63,-90.24,4;34,Saint Louis,0
63138,MO,2.45,,01/23/2009,0,0,0,0,0
63011,MO,2.45,,2/10/2009,38.63,-90.24,4;34,Saint Louis,0
65203,MO,2.52,,02/18/2013,0,0,0,0,54005
