Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
3570,NH,0;345,3140,9-1-2010,44.48,-71.25,3;63,Coos,41011,9101;449275
3450,NH,0;4,919;5,09/28/2009,42.95,-72.10,3;8,Cheshire,33005,2298;75
3750,NH,0;4,3095,5-1-2010,43.71,-72.19,3;65,Grafton,33009,7737;5
3450,NH,0;4,1839,09/28/2009,42.95,-72.10,3;8,Cheshire,33005,4597;5
3449,NH,0;42,1260,08/28/2009,42.96,-71.98,3;89,Hillsborough,33011,3000
3449,NH,0;42,7752;08,08/28/2009,42.96,-71.98,3;89,Hillsborough,33011,18457;33333
3827,NH,0;47,4447;66,07/14/2010,42.92,-71.01,3;97,Rockingham,51165,9463;106383
3244,NH,0;49,2419,10-8-2012,43.12,-71.92,3;9,Hillsborough,33011,4936;734694
3215,NH,0;51,4654,12-1-2012,43.95,-71.50,3;89,Grafton,33009,9125;490196
3602,NH,0;52,1560,3-1-2009,43.15,-72.36,3;65,Cheshire,33005,3000
3602,NH,0;52,8210,3-1-2009,43.15,-72.36,3;65,Cheshire,33005,15788;46154
3280,NH,0;59,3497,11/13/2013,43.17,-72.09,3;82,Sullivan,47163,5927;118644
3592,NH,0;6,1800,09/30/2009,45.05,-71.39,3;34,Coos,41011,3000
3592,NH,0;6,5097,09/30/2009,45.05,-71.39,3;34,Coos,41011,8495
3768,NH,0;68,2040,1-9-2009,43.80,-72.15,3;68,Grafton,33009,3000
3583,NH,0;7,2100,7-10-2009,44.41,-71.47,3;53,Coos,41011,3000
3583,NH,0;7,5313,7-10-2009,44.41,-71.47,3;53,Coos,41011,7590
3580,NH,0;72,4937;9,4-3-2012,44.22,-71.74,3;61,Grafton,33009,6858;194444
3570,NH,0;72,5500,10/17/2012,44.48,-71.25,3;63,Coos,41011,7638;888889
3752,NH,0;738,2214,09/28/2008,43.30,-72.14,3;77,Sullivan,47163,3000
3752,NH,0;738,7626;6,09/28/2008,43.30,-72.14,3;77,Sullivan,47163,10334;14634
3244,NH,0;81,2430,7-3-2009,43.12,-71.92,3;9,Hillsborough,33011,3000
3244,NH,0;81,5944,7-3-2009,43.12,-71.92,3;9,Hillsborough,33011,7338;271605
3825,NH,0;9,12000,11/15/1997,43.22,-71.04,4;04,Strafford,33017,13333;33333
3458,NH,0;9,5699,07/30/2012,42.87,-71.96,3;92,Hillsborough,33011,6332;222222
3773,NH,0;92,2760,05/20/2009,43.37,-72.17,3;76,Sullivan,47163,3000
3773,NH,0;92,14850,05/20/2009,43.37,-72.17,3;76,Sullivan,47163,16141;30435
3229,NH,0;94,5376,10/21/2011,43.22,-71.71,3;94,Merrimack,33013,5719;148936
3570,NH,0;94,11136,6-1-2012,44.48,-71.25,3;63,Coos,41011,11846;80851
3581,NH,0;96,1823;15,10/20/2008,44.39,-71.18,3;6,Coos,41011,1899;114583
3581,NH,0;96,3646;3,10/20/2008,44.39,-71.18,3;6,Coos,41011,3798;229167
3046,NH,0;96,6478,5-1-2012,43.10,-71.59,3;97,Merrimack,33013,6747;916667
3290,NH,1,17578,02/25/2010,43.11,-71.10,4;04,Rockingham,51165,17578
3259,NH,1,9000,08/31/2010,43.86,-71.38,3;91,Carroll,51035,9000
3447,NH,1,6255,4-1-2011,42.78,-72.15,3;77,Cheshire,33005,6255
3227,NH,1,9000,08/31/2010,43.83,-71.47,3;87,Carroll,51035,9000
3266,NH,1;02,3060,09/24/2009,43.80,-71.81,3;78,Grafton,33009,3000
3266,NH,1;02,19199,09/24/2009,43.80,-71.81,3;78,Grafton,33009,18822;54902
3824,NH,1;05,3150,5-4-2009,43.13,-70.92,4;03,Strafford,33017,3000
3237,NH,1;05,15033,12-1-2009,43.42,-71.41,4;02,Belknap,33001,14317;14286
3824,NH,1;05,10579,5-4-2009,43.13,-70.92,4;03,Strafford,33017,10075;2381
3766,NH,1;05,6000,12-7-2012,43.63,-72.25,3;68,Grafton,33009,5714;285714
3825,NH,1;1,3400,10-6-2006,43.22,-71.04,4;04,Strafford,33017,3090;909091
3841,NH,1.125,10850,1-1-2011,42.87,-71.18,4;04,Rockingham,51165,9;644444444
3102,NH,1.152,7360,10-10-2012,42.99,-71.45,3;96,Hillsborough,33011,6;388888889
3264,NH,1.175,7091,8-1-2013,43.73,-71.69,3;81,Grafton,33009,6;034893617
3444,NH,1;2,7712,5-1-2010,42.91,-72.06,3;85,Cheshire,33005,6426;666667
3045,NH,1;2,17944,09/17/2010,43.01,-71.60,3;96,Hillsborough,33011,14953;33333
3450,NH,1.225,7890,09/17/2010,42.95,-72.10,3;8,Cheshire,33005,6;440816327
3278,NH,1;23,,12-1-2009,43.28,-71.81,3;94,Merrimack,33013,0
3062,NH,1.302,3675,9-4-2008,42.74,-71.49,3;83,Hillsborough,33011,2;822580645
3062,NH,1.302,7350,9-4-2008,42.74,-71.49,3;83,Hillsborough,33011,5;64516129
3264,NH,1;32,3960,10-8-2009,43.73,-71.69,3;81,Grafton,33009,3000
3743,NH,1;32,6487,04/30/2010,43.37,-72.33,3;68,Sullivan,47163,4914;393939
3253,NH,1;35,12150,12-1-2010,43.65,-71.50,3;89,Belknap,33001,9000
3590,NH,1;35,13277;42,12-1-2011,44.76,-71.58,3;55,Coos,41011,9835;125926
3592,NH,1;35,5625;7,3-1-2012,45.05,-71.39,3;34,Coos,41011,4167;185185
3601,NH,1;36,4080,07/29/2009,43.21,-72.29,3;69,Sullivan,47163,3000
3601,NH,1;36,12920,07/29/2009,43.21,-72.29,3;69,Sullivan,47163,9500
3816,NH,1.365,15571;51,12/20/2010,43.71,-71.25,3;95,Carroll,51035,11;40769963
3458,NH,1;38,8590,9-1-2010,42.87,-71.96,3;92,Hillsborough,33011,6224;637681
3768,NH,1;38,12462,07/28/2010,43.80,-72.15,3;68,Grafton,33009,9030;434783
3768,NH,1;38,11500,09/30/2010,43.80,-72.15,3;68,Grafton,33009,8333;333333
3281,NH,1;4,4200,2-12-2009,43.10,-71.73,3;93,Hillsborough,33011,3000
3076,NH,1;4,16300,09/30/2010,42.73,-71.31,3;85,Hillsborough,33011,11642;85714
3281,NH,1;4,12139;35,2-12-2009,43.10,-71.73,3;93,Hillsborough,33011,8670;964286
3220,NH,1;41,7590,12/15/2012,43.44,-71.47,3;95,Belknap,33001,5382;978723
3768,NH,1;44,4320,10-4-2008,43.80,-72.15,3;68,Grafton,33009,3000
3602,NH,1;44,18705,10-1-2010,43.15,-72.36,3;65,Cheshire,33005,12989;58333
3768,NH,1;44,12929;03,10-4-2008,43.80,-72.15,3;68,Grafton,33009,8978;493056
3087,NH,1;5,4500,09/29/2009,42.80,-71.30,3;93,Rockingham,51165,3000
