Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
8620,NJ,0;15,,8-6-2007,40.22,-74.76,3;92,Mercer,54055,0,1172;786885
8322,NJ,0;2,,12-3-2007,39.61,-75.02,4;1,Gloucester,51073,0,1635;519126
8230,NJ,0;26,4219,1-11-2002,39.20,-74.71,4;25,Cape May,34009,16226;92308,2203;961749
8343,NJ,0;32,,08/19/2008,39.64,-75.16,4;1,Gloucester,51073,0,2616;830601
7712,NJ,0;32,,10-11-2007,40.22,-74.01,3;87,Monmouth,34025,0,2470;032787
8318,NJ,0;43,0,8-11-2010,39.59,-75.17,4;12,Salem,34033,0,3533;519126
8318,NJ,0;43,2875,7-8-2010,39.59,-75.17,4;12,Salem,34033,6686;046512,3533;519126
8690,NJ,0;45,,1-10-2012,40.22,-74.76,3;9,Mercer,54055,0,3500;409836
7750,NJ,0;535,,3-6-2008,40.33,-73.98,3;72,Monmouth,34025,0,3969;52459
8205,NJ,0;585,0,12/30/2011,39.48,-74.47,4;16,Atlantic,34001,0,4853;901639
8204,NJ,0;585,,12/30/2011,38.94,-74.90,4;25,Cape May,34009,0,4958;913934
8009,NJ,0;6,6000,12/18/2009,39.79,-74.93,4;05,Camden,37029,10000,4846;721311
7840,NJ,0;66,0,10/20/2011,40.85,-74.82,3;78,Warren,51187,0,4975;967213
7820,NJ,0;66,,10/20/2011,40.91,-74.83,0,0,0,0,0
8203,NJ,0;68,5440,02/24/2011,0,0,4;14,Atlantic,34001,8000,5615;016393
8009,NJ,0;69,0,12-5-2013,39.41,-74.36,4;05,Camden,37029,0,5573;729508
8343,NJ,0;7,0,06/30/2009,39.79,-74.93,4;1,Gloucester,51073,0,5724;31694
8332,NJ,0;705,0,02/25/2013,39.64,-75.16,4;19,Cumberland,51049,0,5891;758197
7871,NJ,0;8,6600,02/17/2010,39.39,-75.05,3;76,Sussex,51183,8250,5999;562842
8551,NJ,0;8,6800,10/17/2004,41.04,-74.62,3;87,Hunterdon,34019,8500,6175;081967
7456,NJ,0;8,6271,07/13/2006,40.44,-74.82,3;87,Passaic,34031,7838;75,6175;081967
7940,NJ,0;84,6706;5,9-3-2009,41.11,-74.27,3;87,Morris,48343,7983;928571,6483;836066
8251,NJ,0;89,8542;1,06/17/2002,40.75,-74.41,4;21,Cape May,34009,9597;865169,7473;325137
8512,NJ,0;9,0,04/26/2010,39.01,-74.93,3;84,Middlesex,51119,0,6893;114754
8054,NJ,0;9,6885,02/23/2010,40.31,-74.51,4,Burlington,34005,7650,7180;327869
8234,NJ,0;9,,07/14/2011,39.94,-74.90,4;2,Atlantic,34001,0,7539;344262
8753,NJ,0;92,0,07/15/2013,39.41,-74.58,3;98,Ocean,34029,0,7303;191257
8857,NJ,0;92,,09/21/2011,39.95,-74.18,3;84,Middlesex,51119,0,7046;295082
8204,NJ,0;96,0,7-3-2008,40.39,-74.33,4;25,Cape May,34009,0,8137;704918
8087,NJ,0;96,8097,12/27/2005,38.94,-74.90,4;07,Ocean,34029,8434;375,7793;04918
7663,NJ,0;98,0,04/24/2013,39.59,-74.32,3;84,Bergen,34003,0,7505;836066
8215,NJ,0;98,7774;5,07/24/2002,40.90,-74.09,4;09,Atlantic,34001,7933;163265,7994;497268
8002,NJ,0;99,8435,10/17/2002,39.56,-74.59,4,Camden,37029,8520;20202,7898;360656
