Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
87577,NM,0;405,5375;92,01/20/2009,36.64,-105.96,7;2,Taos,35055,13273;87654
87575,NM,0;44,9209,12/31/2009,36.70,-106.54,6;93,Rio Arriba,35039,20929;54545
88012,NM,0;45,5000,11/30/2010,32.33,-106.75,7;34,Dona Ana,0,11111;11111
88012,NM,0;45,6000,8-12-2010,0,0,0,0,0,13333;33333
88012,NM,0;45,5000,9-2-2010,32.33,-106.75,7;34,Dona Ana,0,11111;11111
88012,NM,0;45,5000,08/30/2010,0,0,0,0,0,11111;11111
87120,NM,0;45,3487;5,08/18/2010,32.33,-106.75,7;34,Dona Ana,35001,7750
88072,NM,0;45,6000,10-1-2009,0,0,0,0,0,13333;33333
87124,NM,0;456,2394,7-9-2012,32.33,-106.75,7;34,Dona Ana,35043,5250
88001,NM,0;47,2150,10-9-2012,0,0,0,0,0,4574;468085
88030,NM,0;48,2414,07/31/2013,35.11,-106.62,7;57,Bernalillo,35029,5029;166667
88343,NM,0;48,6330;06,01/15/2009,32.11,-106.66,7;44,Dona Ana,56023,13187;625
87108,NM,0;495,3727;25,5-1-2009,0,0,0,0,35001,7529;79798
88012,NM,0;5,5000,08/30/2010,35.27,-106.66,7;58,Sandoval,0,10000
87701,NM,0;5,2100,12-1-2012,32.33,-106.75,7;4,Dona Ana,35047,4200
88012,NM,0;5,5000,11/30/2010,0,0,0,0,0,10000
88012,NM,0;525,5500,03/15/2010,32.26,-107.75,7;73,Luna,0,10476;19048
87110,NM,0;544,20794,8-1-2010,33.35,-105.14,7;1,Lincoln,35001,38224;26471
88337,NM,0;555,5807,11/15/2012,35.11,-106.62,7;55,Bernalillo,35035,10463;06306
87108,NM,0;66,2801;3,4-4-2010,32.33,-106.75,7;34,Dona Ana,35001,4244;393939
87571,NM,0;7,5322;49,11-1-2009,0,0,0,0,35055,7603;557143
88011,NM,0;72,3460,8-10-2012,35.59,-105.22,7;25,San Miguel,0,4805;555556
88001,NM,0;72,3920,11/21/2012,32.33,-106.75,7;34,Dona Ana,0,5444;444444
87107,NM,0;765,5172;23,08/20/2013,0,0,0,0,35001,6761;084967
87517,NM,0;78,9003;23,02/21/2008,32.33,-106.75,7;34,Dona Ana,35055,11542;60256
88011,NM,0;816,25090,10-6-2010,0,0,0,0,0,30747;54902
87048,NM,0;816,24152,7-2-2010,35.11,-106.62,7;51,Bernalillo,35043,29598;03922
87556,NM,0;82,16389;96,07/21/2009,32.97,-105.93,7;34,Otero,35055,19987;7561
87056,NM,0;82,16335;94,11/20/2009,35.11,-106.62,7;55,Bernalillo,35049,19921;87805
87501,NM,0;86,7993,04/15/2010,36.38,-105.57,7;08,Taos,35049,9294;186047
87501,NM,0;86,7993,04/13/2010,32.33,-106.75,7;42,Dona Ana,35049,9294;186047
88005,NM,0;86,5494,12-12-2009,0,0,0,0,0,6388;372093
87508,NM,0;864,6814,07/22/2010,32.33,-106.75,7;4,Dona Ana,35049,7886;574074
87043,NM,0;875,4867;48,04/16/2010,0,0,0,0,35043,5562;834286
87107,NM,0;884,26080,05/18/2010,35.11,-106.62,7;5,Bernalillo,35001,29502;26244
87144,NM,0;9,6120,02/24/2012,36.69,-105.83,7;3,Taos,0,6800
87111,NM,0;9,5588;63,05/25/2012,32.33,-106.75,7;42,Dona Ana,35001,6209;588889
87144,NM,0;92,5730,02/24/2012,0,0,0,0,0,6228;26087
87508,NM,0;92,10097;91,09/21/2010,35.23,-106.62,7;5,Sandoval,35049,10975;98913
87110,NM,0;92,5566,9-8-2010,36.71,-105.59,7;23,Taos,35001,6050
88005,NM,0;92,4786,05/17/2010,35.14,-105.97,7;43,Santa Fe,0,5202;173913
87574,NM,0;96,17704;95,06/27/2013,35.67,-105.95,7;42,Santa Fe,35049,18442;65625
88012,NM,0;96,4700,11/13/2012,35.67,-105.95,7;42,Santa Fe,0,4895;833333
88007,NM,0;96,4450,9-7-2012,32.33,-106.75,7;49,Dona Ana,0,4635;416667
88007,NM,0;96,4200,11-1-2012,0,0,0,0,0,4375
88011,NM,0;96,4700,09/27/2011,35.57,-106.11,7;55,Santa Fe,0,4895;833333
88007,NM,0;96,3900,11/20/2013,35.32,-106.46,7;47,Sandoval,0,4062;5
87507,NM,0;96,10636,02/28/2008,35.11,-106.62,7;5,Bernalillo,35049,11079;16667
88005,NM,0;96,7200,12/29/2010,35.32,-106.71,7;49,0,0,7500
88012,NM,0;96,5410,06/26/2012,0,0,0,Bernalillo,0,5635;416667
88012,NM,0;96,5282,5-2-2012,35.11,-106.62,7;59,0,0,5502;083333
88012,NM,0;98,6839;73,9-4-2013,35.32,-106.71,7;49,Santa Fe,0,6979;316327
87583,NM,0;98,6583;7,06/20/2013,0,0,0,Bernalillo,35047,6718;061224
87505,NM,0;98,10735;25,01/15/2008,35.57,-106.11,7;55,Dona Ana,35049,10954;33673
87701,NM,1,9795;5,06/21/2013,35.11,-106.62,7;51,0,35047,9795;5
88072,NM,1,6000,10-1-2009,32.33,-106.75,7;49,Santa Fe,0,6000
88007,NM,1,7136,6-4-2009,0,0,0,Dona Ana,0,7136
87108,NM,1,7141;11,09/13/2009,35.76,-105.92,7;46,0,35001,7141;11
87701,NM,1,13221;98,1-1-2008,32.33,-106.75,7;34,0,35047,13221;98
87108,NM,1,11100;83,02/17/2009,0,0,0,0,35001,11100;83
87501,NM,1,12142,1-8-2008,32.33,-106.75,7;64,Dona Ana,35049,12142
87823,NM,1,7825;91,11/24/2008,0,0,0,0,35053,7825;91
87701,NM,1,7395;98,1-8-2008,32.33,-106.75,7;64,0,35047,7395;98
88012,NM,1,6000,8-12-2010,0,0,0,Santa Fe,0,6000
88004,NM,1;02,5000,1-7-2013,32.33,-106.75,7;42,Dona Ana,0,4901;960784
87401,NM,1;02,8594;81,04/27/2007,0,0,0,0,53055,8426;284314
87010,NM,1;02,11087;3,02/19/2008,32.33,-106.75,7;64,Dona Ana,35049,10869;90196
87043,NM,1.025,6300,06/17/2010,0,0,0,0,35043,6;146341463
87107,NM,1;03,12175;74,10/22/2007,35.67,-105.95,7;49,Dona Ana,35001,11821;1068
87505,NM,1;04,11642,04/20/2009,32.33,-106.75,7;49,0,35049,11194;23077
87832,NM,1;04,11568;75,12/22/2010,0,0,0,Dona Ana,35053,11123;79808
87508,NM,1;05,8902,12/28/2009,32.33,-106.75,7;34,0,35049,8478;095238
87540,NM,1;05,20691;86,12/21/2007,0,0,0,San Miguel,35049,19706;53333
87548,NM,1;05,14979;22,02/20/2008,32.33,-106.75,7;34,Santa Fe,35039,14265;92381
87053,NM,1;05,19530;19,10-12-2009,0,0,0,San Miguel,35043,18600;18095
87010,NM,1;06,12796;74,06/18/2013,32.33,-106.75,7;34,Dona Ana,35049,12072;39623
87112,NM,1.088,32943,06/15/2010,0,0,0,0,35001,30;27849265
87104,NM,1;1,7085,12/19/2010,35.26,-105.36,7;38,0,35001,6440;909091
88011,NM,1;1,9063,12-11-2009,35.67,-105.95,7;49,Bernalillo,0,8239;090909
88310,NM,1;1,9310;44,11/18/2009,35.59,-105.22,7;25,San Miguel,35035,8464;036364
87701,NM,1;11,7571,11/22/2010,32.11,-106.66,7;44,Bernalillo,35047,6820;720721
88072,NM,1;12,11412,12/23/2010,0,0,0,Santa Fe,0,10189;28571
88012,NM,1;12,11228,09/29/2010,32.33,-106.75,7;64,Socorro,0,10025
88005,NM,1.125,8800,05/18/2010,0,0,0,San Miguel,0,7;822222222
88011,NM,1.125,8800,12-3-2009,35.11,-106.62,7;55,Dona Ana,0,7;822222222
87031,NM,1;15,7075,3-1-2012,35.59,-105.22,7;25,0,35061,6152;173913
88012,NM,1;15,8443;5,12-7-2010,35.11,-106.62,7;55,0,0,7342;173913
88005,NM,1;15,7923,10-2-2010,35.67,-105.95,7;42,San Juan,0,6889;565217
87107,NM,1.152,9800,1-10-2010,34.16,-106.91,7;64,Santa Fe,35001,8;506944444
87110,NM,1;17,12923;61,05/21/2008,35.59,-105.22,7;25,Sandoval,35001,11045;82051
88012,NM,1.175,6900,02/29/2012,32.33,-106.75,7;34,Bernalillo,0,5;872340426
88005,NM,1.175,5527;5,11/15/2013,0,0,0,Santa Fe,0,4;704255319
88011,NM,1;2,3750,10/18/2013,32.33,-106.75,0,Socorro,0,3125
87505,NM,1;2,12500,10-3-2013,0,0,7;53,Santa Fe,35049,10416;66667
87505,NM,1;2,10840,12/17/2010,36.75,-108.18,7;46,Santa Fe,35049,9033;333333
87104,NM,1;2,11518,04/16/2009,35.37,-106.14,7;47,Rio Arriba,35001,9598;333333
88001,NM,1;2,5565,3-1-2012,35.32,-106.46,7;5,Sandoval,0,4637;5
88011,NM,1;2,5100,11-1-2012,35.11,-106.62,7;49,Santa Fe,0,4250
88005,NM,1;2,3350,12/31/2013,35.67,-105.95,7;64,Bernalillo,0,2791;666667
87106,NM,1;2,3000,05/15/2004,33.91,-106.86,7;55,Bernalillo,35001,2500
88011,NM,1;2,7500,4-12-2010,35.57,-106.11,7;46,Dona Ana,0,6250
88202,NM,1;2,11177;83,02/19/2008,35.48,-105.87,7;27,0,35005,9314;858333
87112,NM,1;2,10788,12/23/2010,36.17,-106.18,7;52,Otero,35001,8990
87121,NM,1;2,4135,12/19/2012,35.55,-106.77,7;46,San Miguel,35001,3445;833333
88001,NM,1;2,5565,3-1-2012,35.37,-106.14,7;56,Dona Ana,0,4637;5
88001,NM,1;2,5565,3-1-2012,35.11,-106.62,7;49,0,0,4637;5
88011,NM,1;2,7752,03/26/2012,35.11,-106.62,7;42,Dona Ana,0,6460
87124,NM,1.225,7464;73,9-8-2009,32.33,-106.75,0,0,35043,6;093657143
87529,NM,1;23,24500,4-1-2009,0,0,7;2,Dona Ana,35055,19918;69919
87008,NM,1;23,13445;1,2-5-2009,32.88,-105.95,7;25,0,35001,10930;97561
87508,NM,1;23,13465,02/18/2008,35.59,-105.22,7;44,Dona Ana,35049,10947;15447
88011,NM,1;23,24500,12/23/2009,32.11,-106.66,0,0,0,19918;69919
87111,NM,1;25,12583;29,3-2-2009,0,0,7;34,Valencia,35001,10066;632
87108,NM,1;26,13852;87,1-10-2008,32.33,-106.75,0,Dona Ana,35001,10994;34127
88030,NM,1;26,9682;45,12-4-2012,0,0,7;49,0,35029,7684;484127
88011,NM,1.275,5000,02/26/2013,32.33,-106.75,0,Dona Ana,0,3;921568627
87048,NM,1;28,16922;98,09/20/2007,0,0,7;42,0,35043,13221;07813
87501,NM,1;29,15300,6-10-2010,32.33,-106.75,0,Bernalillo,35049,11860;46512
88005,NM,1;29,10281;32,12-2-2008,0,0,7;66,Bernalillo,0,7970;015504
87505,NM,1;29,9500,12/29/2010,34.81,-106.73,7;34,Dona Ana,35049,7364;341085
87043,NM,1;29,15289;94,12/13/2010,32.33,-106.75,0,0,35043,11852;66667
87507,NM,1;29,8937;5,9-8-2010,0,0,7;49,Dona Ana,35049,6928;294574
88011,NM,1;3,5500,10/22/2013,32.33,-106.75,0,0,0,4230;769231
88007,NM,1;3,6000,12/18/2013,0,0,7;5,Dona Ana,0,4615;384615
