Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
69162,NE,1.05,6995.0,02/24/2011,41.13,-102.97,5;71,Cheyenne,31033
68728,NE,1.337,6685.0,5/6/2012,42.38,-96.98,4;50,Dixon,31051
68847,NE,2.0,,10/12/2013,40.70,-99.08,5;05,Buffalo,55011
68506,NE,2.0,,03/13/2003,40.81,-96.68,4;67,Lancaster,51103
68523,NE,4.2,,09/30/2009,40.81,-96.68,4;68,Lancaster,51103
68770,NE,4.56,,5/7/2014,42.56,-96.70,4;46,Dixon,31051
68022,NE,4.8,48000,06/13/2002,41.28,-96.23,4;50,Douglas,55031
68508,NE,5.3,50000.0,02/23/2011,40.81,-96.68,4;63,Lancaster,51103
68164,NE,5.46,,9/1/2010,41.26,-96.01,4;49,Douglas,55031
69341,NE,5.775,,06/21/2014,41.82,-103.66,5;60,Scotts Bluff,31157
68111,NE,9.0,30600.0,10/17/2014,41.26,-96.01,4;48,Douglas,55031
68503,NE,10.0,48440.0,6/12/2013,40.81,-96.68,4;64,Lancaster,51103
68061,NE,14.0,123250.0,10/15/2010,41.77,-96.22,4;46,Burt,31021
68178,NE,20.5,,06/14/2010,41.26,-96.01,4;51,Douglas,55031
68702,NE,45.6,413685.0,08/31/2010,42.03,-97.41,0,0,0
68110,NE,60.0,,4/1/2011,0,0,4;47,Douglas,55031
68178,NE,85.0,,08/13/2010,41.26,-96.01,4;51,Douglas,55031
