Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
3570,NH,0.345,3140.0,9/1/2010,44.48,-71.25,3;63,Coos,41011
3450,NH,0.4,919.5,09/28/2009,42.95,-72.10,3;80,Cheshire,33005
3750,NH,0.4,3095.0,5/1/2010,43.71,-72.19,3;65,Grafton,33009
3450,NH,0.4,1839.0,09/28/2009,42.95,-72.10,3;80,Cheshire,33005
3449,NH,0.42,1260.0,08/28/2009,42.96,-71.98,3;89,Hillsborough,33011
3449,NH,0.42,7752.08,08/28/2009,42.96,-71.98,3;89,Hillsborough,33011
3827,NH,0.47,4447.66,07/14/2010,42.92,-71.01,3;97,Rockingham,51165
3244,NH,0.49,2419.0,10/8/2012,43.12,-71.92,3;90,Hillsborough,33011
3215,NH,0.51,4654.0,12/1/2012,43.95,-71.50,3;89,Grafton,33009
3602,NH,0.52,1560.0,3/1/2009,43.15,-72.36,3;65,Cheshire,33005
3602,NH,0.52,8210.0,3/1/2009,43.15,-72.36,3;65,Cheshire,33005
3280,NH,0.59,3497.0,11/13/2013,43.17,-72.09,3;82,Sullivan,47163
3592,NH,0.6,1800.0,09/30/2009,45.05,-71.39,3;34,Coos,41011
3592,NH,0.6,5097.0,09/30/2009,45.05,-71.39,3;34,Coos,41011
3768,NH,0.68,2040.0,1/9/2009,43.80,-72.15,3;68,Grafton,33009
3583,NH,0.7,2100.0,7/10/2009,44.41,-71.47,3;53,Coos,41011
3583,NH,0.7,5313.0,7/10/2009,44.41,-71.47,3;53,Coos,41011
3580,NH,0.72,4937.9,4/3/2012,44.22,-71.74,3;61,Grafton,33009
3570,NH,0.72,5500.0,10/17/2012,44.48,-71.25,3;63,Coos,41011
3752,NH,0.738,2214.0,09/28/2008,43.30,-72.14,3;77,Sullivan,47163
3752,NH,0.738,7626.6,09/28/2008,43.30,-72.14,3;77,Sullivan,47163
3244,NH,0.81,2430.0,7/3/2009,43.12,-71.92,3;90,Hillsborough,33011
3244,NH,0.81,5944.0,7/3/2009,43.12,-71.92,3;90,Hillsborough,33011
3825,NH,0.9,12000.0,11/15/1997,43.22,-71.04,4;04,Strafford,33017
3458,NH,0.9,5699.0,07/30/2012,42.87,-71.96,3;92,Hillsborough,33011
3773,NH,0.92,2760.0,05/20/2009,43.37,-72.17,3;76,Sullivan,47163
3773,NH,0.92,14850.0,05/20/2009,43.37,-72.17,3;76,Sullivan,47163
3229,NH,0.94,5376.0,10/21/2011,43.22,-71.71,3;94,Merrimack,33013
3570,NH,0.94,11136.0,6/1/2012,44.48,-71.25,3;63,Coos,41011
3581,NH,0.96,1823.15,10/20/2008,44.39,-71.18,3;60,Coos,41011
3581,NH,0.96,3646.3,10/20/2008,44.39,-71.18,3;60,Coos,41011
3046,NH,0.96,6478.0,5/1/2012,43.10,-71.59,3;97,Merrimack,33013
3290,NH,1.0,17578.0,02/25/2010,43.11,-71.10,4;04,Rockingham,51165
3259,NH,1.0,9000.0,08/31/2010,43.86,-71.38,3;91,Carroll,51035
3447,NH,1.0,6255.0,4/1/2011,42.78,-72.15,3;77,Cheshire,33005
3227,NH,1.0,9000.0,08/31/2010,43.83,-71.47,3;87,Carroll,51035
3266,NH,1.02,3060.0,09/24/2009,43.80,-71.81,3;78,Grafton,33009
3266,NH,1.02,19199.0,09/24/2009,43.80,-71.81,3;78,Grafton,33009
3824,NH,1.05,3150.0,5/4/2009,43.13,-70.92,4;03,Strafford,33017
3237,NH,1.05,15033.0,12/1/2009,43.42,-71.41,4;02,Belknap,33001
3824,NH,1.05,10579.0,5/4/2009,43.13,-70.92,4;03,Strafford,33017
3766,NH,1.05,6000.0,12/7/2012,43.63,-72.25,3;68,Grafton,33009
3825,NH,1.1,3400.0,10/6/2006,43.22,-71.04,4;04,Strafford,33017
3841,NH,1.125,10850.0,1/1/2011,42.87,-71.18,4;04,Rockingham,51165
3102,NH,1.152,7360.0,10/10/2012,42.99,-71.45,3;96,Hillsborough,33011
3264,NH,1.175,7091.0,8/1/2013,43.73,-71.69,3;81,Grafton,33009
3444,NH,1.2,7712.0,5/1/2010,42.91,-72.06,3;85,Cheshire,33005
3045,NH,1.2,17944.0,09/17/2010,43.01,-71.60,3;96,Hillsborough,33011
3450,NH,1.225,7890.0,09/17/2010,42.95,-72.10,3;80,Cheshire,33005
3278,NH,1.23,,12/1/2009,43.28,-71.81,3;94,Merrimack,33013
3062,NH,1.302,3675.0,9/4/2008,42.74,-71.49,3;83,Hillsborough,33011
3062,NH,1.302,7350.0,9/4/2008,42.74,-71.49,3;83,Hillsborough,33011
3264,NH,1.32,3960.0,10/8/2009,43.73,-71.69,3;81,Grafton,33009
3743,NH,1.32,6487.0,04/30/2010,43.37,-72.33,3;68,Sullivan,47163
3253,NH,1.35,12150.0,12/1/2010,43.65,-71.50,3;89,Belknap,33001
3590,NH,1.35,13277.42,12/1/2011,44.76,-71.58,3;55,Coos,41011
3592,NH,1.35,5625.7,3/1/2012,45.05,-71.39,3;34,Coos,41011
3601,NH,1.36,4080.0,07/29/2009,43.21,-72.29,3;69,Sullivan,47163
3601,NH,1.36,12920.0,07/29/2009,43.21,-72.29,3;69,Sullivan,47163
3816,NH,1.365,15571.51,12/20/2010,43.71,-71.25,3;95,Carroll,51035
3458,NH,1.38,8590.0,9/1/2010,42.87,-71.96,3;92,Hillsborough,33011
3768,NH,1.38,12462.0,07/28/2010,43.80,-72.15,3;68,Grafton,33009
3768,NH,1.38,11500.0,09/30/2010,43.80,-72.15,3;68,Grafton,33009
3281,NH,1.4,4200.0,2/12/2009,43.10,-71.73,3;93,Hillsborough,33011
3076,NH,1.4,16300.0,09/30/2010,42.73,-71.31,3;85,Hillsborough,33011
3281,NH,1.4,12139.35,2/12/2009,43.10,-71.73,3;93,Hillsborough,33011
3220,NH,1.41,7590.0,12/15/2012,43.44,-71.47,3;95,Belknap,33001
3768,NH,1.44,4320.0,10/4/2008,43.80,-72.15,3;68,Grafton,33009
3602,NH,1.44,18705.0,10/1/2010,43.15,-72.36,3;65,Cheshire,33005
3768,NH,1.44,12929.03,10/4/2008,43.80,-72.15,3;68,Grafton,33009
3087,NH,1.5,4500.0,09/29/2009,42.80,-71.30,3;93,Rockingham,51165
3873,NH,1.5,4500.0,09/25/2009,42.92,-71.18,4;05,Rockingham,51165
3825,NH,1.5,5172.0,7/5/2013,43.22,-71.04,4;04,Strafford,33017
3087,NH,1.5,11987.0,09/29/2009,42.80,-71.30,3;93,Rockingham,51165
3873,NH,1.5,12375.0,09/25/2009,42.92,-71.18,4;05,Rockingham,51165
3561,NH,1.52,4500.0,08/20/2008,44.31,-71.76,3;61,Grafton,33009
3561,NH,1.52,17680.0,08/20/2008,44.31,-71.76,3;61,Grafton,33009
3221,NH,1.56,13880.0,3/1/2013,43.27,-71.96,3;86,Merrimack,33013
3301,NH,1.56,9352.0,10/1/2013,43.23,-71.56,3;96,Merrimack,33013
3264,NH,1.6,2549.5,9/2/2009,43.73,-71.69,3;81,Grafton,33009
3264,NH,1.6,5099.0,9/2/2009,43.73,-71.69,3;81,Grafton,33009
3280,NH,1.62,4860.0,7/11/2009,43.17,-72.09,3;82,Sullivan,47163
3280,NH,1.62,18674.0,7/11/2009,43.17,-72.09,3;82,Sullivan,47163
3748,NH,1.68,13856.0,8/1/2010,43.64,-72.14,3;74,Grafton,33009
3226,NH,1.7,5100.0,11/15/2008,43.70,-71.22,3;82,Belknap,33001
3856,NH,1.7,5100.0,09/24/2009,43.03,-70.93,4;01,Rockingham,51165
3254,NH,1.7,17100.0,11/15/2008,43.75,-71.39,3;82,Carroll,51035
3856,NH,1.7,13400.92,09/24/2009,43.03,-70.93,4;01,Rockingham,51165
3857,NH,1.72,8024.37,9/1/2012,43.07,-70.94,4;00,Rockingham,51165
3741,NH,1.75,5250.0,08/30/2008,43.64,-72.01,3;79,Grafton,33009
3465,NH,1.75,5250.0,09/29/2009,42.83,-72.18,3;75,Cheshire,33005
3741,NH,1.75,20588.0,08/30/2008,43.64,-72.01,3;79,Grafton,33009
3465,NH,1.75,16105.44,09/29/2009,42.83,-72.18,3;75,Cheshire,33005
3049,NH,1.755,5265.0,07/31/2008,42.73,-71.58,3;87,Hillsborough,33011
3049,NH,1.755,16000.0,07/31/2008,42.73,-71.58,3;87,Hillsborough,33011
3602,NH,1.76,9810.0,9/10/2010,43.15,-72.36,3;65,Cheshire,33005
3103,NH,1.8,5400.0,07/18/2009,42.99,-71.45,3;89,Hillsborough,33011
3462,NH,1.8,5400.0,09/29/2009,42.90,-72.40,3;66,Cheshire,33005
3087,NH,1.8,14904.0,09/15/2010,42.80,-71.30,3;93,Rockingham,51165
3103,NH,1.8,16650.0,07/18/2009,42.99,-71.45,3;89,Hillsborough,33011
3462,NH,1.8,13700.0,09/29/2009,42.90,-72.40,3;66,Cheshire,33005
3872,NH,1.82,9285.0,04/13/2012,43.56,-71.01,4;08,Carroll,51035
3266,NH,1.84,10240.53,07/29/2011,43.80,-71.81,3;78,Grafton,33009
3458,NH,1.84,11325.0,9/1/2010,42.87,-71.96,3;92,Hillsborough,33011
3045,NH,1.88,15950.0,12/18/2009,43.01,-71.60,3;96,Hillsborough,33011
3082,NH,1.9,16910.0,05/30/2009,42.90,-71.75,3;98,Hillsborough,33011
3082,NH,1.9,5700.0,05/30/2009,42.90,-71.75,3;98,Hillsborough,33011
3269,NH,1.9,20872.5,12/11/2009,43.48,-71.58,3;92,Belknap,33001
3221,NH,1.92,8190.0,10/1/2012,43.27,-71.96,3;86,Merrimack,33013
3245,NH,1.92,28759.25,01/20/2012,43.73,-71.58,3;83,Grafton,33009
3462,NH,1.92,13354.0,8/2/2010,42.90,-72.40,3;66,Cheshire,33005
3457,NH,1.935,19318.0,07/29/2010,42.99,-72.12,3;82,Cheshire,33005
3450,NH,1.935,19318.0,07/29/2010,42.95,-72.10,3;80,Cheshire,33005
3253,NH,1.95,5850.0,11/12/2008,43.65,-71.50,3;89,Belknap,33001
3253,NH,1.95,14268.4,11/12/2008,43.65,-71.50,3;89,Belknap,33001
3051,NH,1.962,16126.0,6/1/2012,42.76,-71.43,3;87,Hillsborough,33011
3824,NH,2.0,6000.0,6/1/2009,43.13,-70.92,4;03,Strafford,33017
3223,NH,2.0,6000.0,05/15/2009,43.86,-71.63,3;81,Grafton,33009
3603,NH,2.0,6000.0,07/22/2009,43.23,-72.42,3;66,Sullivan,47163
3038,NH,2.0,6000.0,01/22/2009,42.89,-71.28,3;97,Rockingham,51165
3603,NH,2.0,6000.0,07/20/2008,43.23,-72.42,3;66,Sullivan,47163
3824,NH,2.0,13000.0,6/1/2009,43.13,-70.92,4;03,Strafford,33017
3042,NH,2.0,16510.0,06/30/2010,43.03,-71.07,4;03,Rockingham,51165
3301,NH,2.0,13700.0,9/1/2010,43.23,-71.56,3;96,Merrimack,33013
3873,NH,2.0,18900.0,09/19/2010,42.92,-71.18,4;05,Rockingham,51165
3042,NH,2.0,6500.0,10/19/2011,43.03,-71.07,4;03,Rockingham,51165
3431,NH,2.0,9225.0,10/20/2012,42.95,-72.29,3;68,Cheshire,33005
3216,NH,2.0,12752.0,7/1/2013,43.43,-71.82,3;92,Merrimack,33013
3824,NH,2.0,14151.0,6/1/2009,43.13,-70.92,4;03,Strafford,33017
3223,NH,2.0,19322.81,05/15/2009,43.86,-71.63,3;81,Grafton,33009
3603,NH,2.0,16000.0,07/22/2009,43.23,-72.42,3;66,Sullivan,47163
3038,NH,2.0,17000.0,01/22/2009,42.89,-71.28,3;97,Rockingham,51165
3603,NH,2.0,16000.0,07/20/2008,43.23,-72.42,3;66,Sullivan,47163
3280,NH,2.0,18000.0,11/15/2009,43.17,-72.09,3;82,Sullivan,47163
3253,NH,2.0,15500.0,11/13/2009,43.65,-71.50,3;89,Belknap,33001
3602,NH,2.0,24791.0,12/25/2009,43.15,-72.36,3;65,Cheshire,33005
3605,NH,2.0,12020.0,07/15/2010,43.23,-72.21,3;79,Sullivan,47163
3077,NH,2.0,16510.0,06/30/2010,43.03,-71.17,4;05,Rockingham,51165
3284,NH,2.0,10738.0,7/9/2010,43.49,-72.03,3;80,Sullivan,47163
3301,NH,2.0,13299.0,08/27/2010,43.23,-71.56,3;96,Merrimack,33013
3304,NH,2.0,12005.0,10/13/2010,43.13,-71.54,3;97,Merrimack,33013
3854,NH,2.016,24000.0,07/30/2010,43.05,-70.72,3;89,Rockingham,51165
3458,NH,2.016,13958.0,07/29/2010,42.87,-71.96,3;92,Hillsborough,33011
3605,NH,2.025,12020.0,07/15/2010,43.23,-72.21,3;79,Sullivan,47163
3062,NH,2.025,11950.0,08/25/2010,42.74,-71.49,3;83,Hillsborough,33011
3882,NH,2.025,23538.0,09/27/2010,43.71,-71.00,4;07,Carroll,51035
3431,NH,2.025,18750.0,08/21/2010,42.95,-72.29,3;68,Cheshire,33005
1827,NH,2.025,11950.0,08/25/2010,42.66,-71.48,3;84,Middlesex,51119
3245,NH,2.04,6000.0,8/6/2008,43.73,-71.58,3;83,Grafton,33009
3848,NH,2.04,6000.0,08/21/2008,42.93,-71.05,4;01,Rockingham,51165
3225,NH,2.04,6000.0,09/18/2009,43.33,-71.23,4;09,Belknap,33001
3216,NH,2.04,18667.0,11/13/2009,43.43,-71.82,3;92,Merrimack,33013
