Zipcode,State,Size (kW DC),Cost,Date Installed
87577,NM,0.405,5375.92,01/20/2009
87575,NM,0.44,9209.0,12/31/2009
88012,NM,0.45,5000.0,11/30/2010
88012,NM,0.45,6000.0,8/12/2010
88012,NM,0.45,5000.0,9/2/2010
88012,NM,0.45,5000.0,08/30/2010
87120,NM,0.45,3487.5,08/18/2010
88072,NM,0.45,6000.0,10/1/2009
87124,NM,0.456,2394.0,7/9/2012
88001,NM,0.47,2150.0,10/9/2012
88030,NM,0.48,2414.0,07/31/2013
88343,NM,0.48,6330.06,01/15/2009
87108,NM,0.495,3727.25,5/1/2009
88012,NM,0.5,5000.0,08/30/2010
87701,NM,0.5,2100.0,12/1/2012
88012,NM,0.5,5000.0,11/30/2010
88012,NM,0.525,5500.0,03/15/2010
87110,NM,0.544,20794.0,8/1/2010
88337,NM,0.555,5807.0,11/15/2012
87108,NM,0.66,2801.3,4/4/2010
87571,NM,0.7,5322.49,11/1/2009
88011,NM,0.72,3460.0,8/10/2012
88001,NM,0.72,3920.0,11/21/2012
87107,NM,0.765,5172.23,08/20/2013
87517,NM,0.78,9003.23,02/21/2008
88011,NM,0.816,25090.0,10/6/2010
87048,NM,0.816,24152.0,7/2/2010
87556,NM,0.82,16389.96,07/21/2009
87056,NM,0.82,16335.94,11/20/2009
87501,NM,0.86,7993.0,04/15/2010
87501,NM,0.86,7993.0,04/13/2010
88005,NM,0.86,5494.0,12/12/2009
87508,NM,0.864,6814.0,07/22/2010
87043,NM,0.875,4867.48,04/16/2010
87107,NM,0.884,26080.0,05/18/2010
87144,NM,0.9,6120.0,02/24/2012
87111,NM,0.9,5588.63,05/25/2012
87144,NM,0.92,5730.0,02/24/2012
87508,NM,0.92,10097.91,09/21/2010
87110,NM,0.92,5566.0,9/8/2010
88005,NM,0.92,4786.0,05/17/2010
87574,NM,0.96,17704.95,06/27/2013
88012,NM,0.96,4700.0,11/13/2012
88007,NM,0.96,4450.0,9/7/2012
88007,NM,0.96,4200.0,11/1/2012
88011,NM,0.96,4700.0,09/27/2011
88007,NM,0.96,3900.0,11/20/2013
87507,NM,0.96,10636,02/28/2008
88005,NM,0.96,7200.0,12/29/2010
88012,NM,0.96,5410.0,06/26/2012
88012,NM,0.96,5282.0,5/2/2012
88012,NM,0.98,6839.73,9/4/2013
87583,NM,0.98,6583.7,06/20/2013
87505,NM,0.98,10735.25,01/15/2008
87701,NM,1.0,9795.5,06/21/2013
88072,NM,1.0,6000.0,10/1/2009
88007,NM,1.0,7136.0,6/4/2009
87108,NM,1.0,7141.11,09/13/2009
87701,NM,1,13221.98,1/1/2008
87108,NM,1,11100.83,02/17/2009
87501,NM,1,12142,1/8/2008
87823,NM,1,7825.91,11/24/2008
87701,NM,1,7395.98,1/8/2008
88012,NM,1.0,6000.0,8/12/2010
88004,NM,1.02,5000.0,1/7/2013
87401,NM,1.02,8594.81,04/27/2007
87010,NM,1.02,11087.3,02/19/2008
87043,NM,1.025,6300.0,06/17/2010
87107,NM,1.03,12175.74,10/22/2007
87505,NM,1.04,11642.0,04/20/2009
87832,NM,1.04,11568.75,12/22/2010
87508,NM,1.05,8902.0,12/28/2009
87540,NM,1.05,20691.86,12/21/2007
87548,NM,1.05,14979.22,02/20/2008
87053,NM,1.05,19530.19,10/12/2009
87010,NM,1.06,12796.74,06/18/2013
87112,NM,1.088,32943.0,06/15/2010
87104,NM,1.1,7085.0,12/19/2010
