Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
11030,NY,0.3,,6/10/2005,40.79,-73.69,3;75,Nassau,36059
14625,NY,0.47,5588.3,02/29/2012,43.16,-77.61,3;81,Monroe,55081
14625,NY,0.47,5588.3,02/29/2012,43.16,-77.61,3;81,Monroe,55081
12989,NY,0.52,4000.0,9/1/1995,44.52,-74.09,3;88,Franklin,53021
12981,NY,0.547536,6253,10/3/2007,44.67,-73.82,4;06,Clinton,42035
12981,NY,0.668,6253.0,10/3/2007,44.67,-73.82,4;06,Clinton,42035
12921,NY,0.705,2600.0,12/31/2013,44.88,-73.43,3;89,Clinton,42035
12921,NY,0.705,2600.0,12/31/2013,44.88,-73.43,3;89,Clinton,42035
12175,NY,0.707238,8158.81,09/17/2008,42.58,-74.58,3;56,Schoharie,36095
14424,NY,0.72,5767.74,12/2/2013,42.88,-77.28,3;72,Ontario,36069
12029,NY,0.765,4000.0,11/8/2012,42.41,-73.41,3;64,Columbia,55021
12054,NY,0.775368,8000,02/26/2004,42.62,-73.83,4;01,Albany,56001
12175,NY,0.8,8158.81,09/17/2008,42.58,-74.58,3;56,Schoharie,36095
13438,NY,0.832,7623.02,11/21/2008,43.32,-75.18,3;61,Oneida,55085
14507,NY,0.855,8710.0,09/27/2013,42.70,-77.27,3;67,Yates,36123
11238,NY,0.88,9908.22,12/31/2012,40.64,-73.94,3;91,Kings,36047
12077,NY,0.9652335,13460,12/24/2007,42.59,-73.78,3;96,Albany,56001
13864,NY,0.976122,13039,3/9/2004,42.29,-76.37,3;66,Tioga,42117
12529,NY,0.984906,11200,11/2/2004,42.20,-73.54,3;69,Columbia,55021
12054,NY,0.99,8000.0,02/26/2004,42.62,-73.83,4;01,Albany,56001
10964,NY,1.0,,03/24/2011,41.00,-73.91,3;82,Rockland,36087
11218,NY,1.0,8750.0,9/12/2012,40.64,-73.94,3;91,Kings,36047
12529,NY,1,13895.0,07/24/2002,42.20,-73.54,3;69,Columbia,55021
11201,NY,1.0,8750.0,9/12/2012,40.64,-73.94,3;82,Kings,36047
12180,NY,1.02,6477.0,6/3/2013,42.73,-73.67,3;87,Rensselaer,36083
14847,NY,102.393,20403.25,5/12/2008,42.61,-76.72,3;63,Seneca,39147
14414,NY,1.05,7720.0,11/11/2009,42.91,-77.74,3;70,Livingston,36051
14710,NY,1.05,5985.0,12/27/2013,42.11,-79.42,3;45,Chautauqua,36013
12701,NY,1.075,5950.0,3/3/2011,41.65,-74.68,3;71,Sullivan,47163
12778,NY,1.075,5950.0,3/3/2011,41.66,-74.81,3;57,Sullivan,47163
14850,NY,1.091.272,17266,03/17/2009,42.44,-76.50,3;61,Tompkins,36109
13740,NY,1.097.712,10526.36,6/8/2006,42.26,-74.78,3;41,Delaware,42045
10583,NY,1.1,,1/8/2008,40.98,-73.77,3;84,Westchester,36119
10583,NY,1.152,,5/1/2005,40.98,-73.77,3;84,Westchester,36119
10960,NY,116.964,14800,9/8/2004,41.09,-73.91,3;81,Rockland,36087
14847,NY,1.17,20403.25,5/12/2008,42.61,-76.72,3;63,Seneca,39147
12077,NY,1.19,13460.0,12/24/2007,42.59,-73.78,3;96,Albany,56001
12443,NY,1.2,13800,11/20/2009,41.91,-74.05,3;84,Ulster,36111
12302,NY,1.2,5818.21,08/15/2012,42.80,-73.92,3;96,Schenectady,36093
12540,NY,1.215.324,12440,09/15/2003,41.67,-73.73,3;79,Dutchess,36027
13074,NY,1.225,12101.01,12/4/2006,43.31,-76.57,3;63,Oswego,36075
14075,NY,1.225,5223.0,08/15/2011,42.72,-78.83,3;45,Erie,42049
14219,NY,1.225,5223.0,08/15/2011,42.88,-78.85,3;52,Erie,42049
13625,NY,1.23,11550.04,12/6/2010,44.32,-74.82,3;86,Saint Lawrence,0
12944,NY,123.525,17788,10/19/2006,0,0,0,0,51057
12936,NY,1.270.192,24911,9/1/2005,44.50,-73.48,4;06,Essex,51057
12758,NY,1.308.084,16651,01/30/2007,44.27,-73.39,3;85,Essex,47163
13740,NY,1.32,10526.36,6/8/2006,41.89,-74.82,3;50,Sullivan,42045
11693,NY,1.33,0.0,07/25/2013,42.26,-74.78,3;41,Delaware,36081
14715,NY,13.320.945,12993.75,01/21/2009,40.59,-73.81,3;80,Queens,36003
14850,NY,13.365,15800,5/10/2004,42.06,-78.17,3;49,Allegany,36109
13676,NY,134.322,18610,01/18/2008,42.44,-76.50,3;61,Tompkins,0
13060,NY,1.344,16918.0,01/29/2010,44.66,-74.98,3;91,Saint Lawrence,36067
13164,NY,1.344,17472.0,12/18/2009,0,0,0,0,36067
14850,NY,1.36,17266.0,03/17/2009,43.03,-76.44,3;65,Onondaga,36109
12758,NY,1.38,11494.0,06/24/2010,43.08,-76.32,3;67,Onondaga,47163
