Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
97202,OR,0;002,,3-10-2006,45.47,-122.64,3;37,Multnomah,41051,0
97058,OR,0;33,6000,11-7-2007,45.54,-121.15,4;92,Wasco,41065,18181;81818
97060,OR,0;48,,04/15/2003,45.52,-122.35,3;21,Multnomah,41051,0
97024,OR,0;5,2000,04/15/2010,45.54,-122.44,3;18,Multnomah,41051,4000
97201,OR,0;5,,03/28/2005,45.50,-122.69,3;42,Multnomah,41051,0
97034,OR,0;5,,03/28/2005,45.40,-122.68,3;47,Clackamas,41005,0
97219,OR,0;5,,4-1-2005,45.45,-122.69,3;46,Multnomah,41051,0
97220,OR,0;5,,4-6-2005,45.55,-122.56,3;32,Multnomah,41051,0
97223,OR,0;5,,04/15/2006,45.44,-122.76,3;56,Washington,55131,0
97202,OR,0;5,,4-1-2005,45.47,-122.64,3;37,Multnomah,41051,0
97212,OR,0;5,,03/28/2005,45.54,-122.64,3;35,Multnomah,41051,0
97202,OR,0;5,,03/24/2006,45.47,-122.64,3;37,Multnomah,41051,0
97219,OR,0;5,,03/28/2005,45.45,-122.69,3;46,Multnomah,41051,0
97212,OR,0;85,,08/19/2008,45.54,-122.64,3;35,Multnomah,41051,0
97204,OR,0;9,11500,04/15/2012,45.51,-122.67,3;35,Multnomah,41051,12777;77778
97214,OR,0;96,,4-9-2007,45.51,-122.64,3;35,Multnomah,41051,0
97202,OR,0;987,,07/16/2008,45.47,-122.64,3;37,Multnomah,41051,0
97221,OR,0;99,,1-12-2006,45.49,-122.72,3;47,Multnomah,41051,0
97239,OR,0;99,,3-8-2004,45.48,-122.69,3;42,0,0,0
97239,OR,0;99,,7-8-2005,0,0,0,0,0,0
97221,OR,0;99,,03/18/2005,45.48,-122.69,3;42,Multnomah,41051,0
97221,OR,0;99,,5-12-2005,0,0,0,Multnomah,41051,0
97030,OR,0;99,,12-3-2004,45.49,-122.72,3;47,Multnomah,41051,0
97239,OR,0;99,,01/30/2004,45.49,-122.72,3;47,0,0,0
97801,OR,1,,8-11-2010,45.50,-122.43,3;24,Umatilla,41059,0
97344,OR,1,,08/27/2010,45.48,-122.69,3;42,Polk,55095,0
