Zipcode,State,Size (kW DC),Cost,Date Installed
43209,OH,0.32,23526,09/30/2006
44273,OH,0.4,2450.0,8/10/2011
43612,OH,1,11500,06/30/2007
43604,OH,1,18715,09/30/2005
45711,OH,1,13863,03/31/2007
43551,OH,1,27432,03/15/2008
45761,OH,1.02,8464,08/25/2008
45761,OH,1.02,17193,6/11/2007
44843,OH,1.024,44450,09/30/2006
44070,OH,1.05,7350.0,08/13/2011
45223,OH,1.05,37986,10/15/2008
43571,OH,1.05,13990,09/30/2008
43068,OH,1.2,14941,06/27/2005
43432,OH,1.4,12009.79,12/31/2009
44023,OH,1.44,24848,10/24/2007
43224,OH,1.53,17358,9/5/2008
44286,OH,1.59,13500.0,10/2/2014
44319,OH,1.6,8750.0,10/30/2011
44236,OH,1.68,10420.0,05/28/2011
45431,OH,1.68,10385.0,10/30/2012
43023,OH,1.68,26847,06/30/2008
45750,OH,1.7,17619,06/30/2007
43537,OH,1.8,18515,09/26/2006
43058,OH,1.8,20399,6/1/2007
45766,OH,1.84,17495,09/30/2008
44111,OH,1.9,27670,09/30/2007
45701,OH,1.92,29431,12/18/2005
45701,OH,1.92,,12/31/2005
43068,OH,1.92,29842,12/31/2005
43939,OH,2.0,10860.0,6/7/2014
43212,OH,2,18961,03/31/2006
44122,OH,2,33500,12/15/2007
43551,OH,2,21545.09,10/15/2007
44122,OH,2,33500,12/15/2006
45711,OH,2,22751,07/31/2006
43035,OH,2,16000,03/31/2007
45711,OH,2.04,24213,12/30/2007
45778,OH,2.04,19611,06/29/2005
43221,OH,2.04,21830,06/30/2007
45120,OH,2.07,12856,1/10/2008
45750,OH,2.1,21145,11/30/2008
45174,OH,2.1,18862,6/8/2008
44411,OH,2.2,71310,11/30/2008
43223,OH,2.2,21933,06/20/2007
45204,OH,2.22,31000,05/28/2009
43209,OH,2.24,24805,6/11/2007
45213,OH,2.29,20243,3/1/2008
45735,OH,2.31,26563,03/31/2006
43078,OH,2.35,,11/1/2010
44111,OH,2.4,19262,09/15/2006
43758,OH,2.4,12000,05/26/2005
44222,OH,2.4,,09/15/2006
44024,OH,2.4,28800,12/31/2005
44212,OH,2.45,15300.0,12/27/2010
45205,OH,2.5,27500,3/1/2008
44023,OH,2.5,27900,05/20/2008
45701,OH,2.5,31890,03/31/2006
45769,OH,2.5,21793,03/31/2006
45877,OH,2.56,46133,03/31/2007
45877,OH,2.56,27634,03/31/2007
45732,OH,2.6,16530,12/11/2009
44256,OH,2.63,13960.0,12/24/2010
44805,OH,2.7,15720.0,10/3/2014
44118,OH,2.7,28200,3/1/2008
45764,OH,2.7,32839,12/31/2007
44094,OH,2.7,33218,1/10/2008
45764,OH,2.7,19840,12/31/2008
45764,OH,2.7,19840,12/1/2008
45387,OH,2.72,45665,6/1/2007
44270,OH,2.8,13820.0,11/19/2011
45769,OH,2.8,7800,03/26/2005
43068,OH,2.8,14892,06/27/2005
45710,OH,2.8,18937.83,07/31/2003
45711,OH,2.8,33799,03/31/2006
45711,OH,2.8,22610.6,03/31/2006
43537,OH,2.8,23800,09/30/2008
44111,OH,2.812,6000,01/18/2006
45162,OH,2.88,58149,5/1/2008
43068,OH,2.88,24681,12/31/2005
43214,OH,2.94,15000.0,11/10/2009
45701,OH,2.99,25533,12/15/2007
44023,OH,2.99,27173,10/13/2009
44676,OH,3,31400,10/17/2008
45701,OH,3,31574,03/31/2007
45601,OH,3,23645,06/29/2007
45701,OH,3,21891,09/15/2006
45701,OH,3,31710,03/31/2006
45011,OH,3.06,46757,03/31/2007
44601,OH,3.06,25000,06/27/2005
45011,OH,3.06,27864,03/31/2007
44601,OH,3.06,27382,03/31/2007
45701,OH,3.1,20243,03/31/2006
45701,OH,3.15,26739,09/30/2008
45710,OH,3.2,33134,02/15/2008
44216,OH,3.26,44910.3,12/30/2007
43214,OH,3.36,28935,2/1/2009
45243,OH,3.4,30082,3/5/2008
45780,OH,3.4,37216,09/30/2008
43061,OH,3.5,19250.0,8/1/2010
44241,OH,3.5,20000.0,4/1/2011
45036,OH,3.5,,12/28/2012
44106,OH,3.5,29116,5/6/2009
45387,OH,3.57,29661,6/8/2008
44654,OH,3.7,19800.0,07/18/2011
43209,OH,3.7,32497,01/15/2008
45036,OH,3.7,29957,03/31/2008
44028,OH,3.85,23000.0,6/12/2011
45701,OH,3.85,28158,12/31/2006
45208,OH,3.9,31974,12/15/2008
44212,OH,4.0,24000.0,10/1/2009
45120,OH,4,38149,03/31/2006
45701,OH,4,29540,06/30/2008
45701,OH,4,26025,03/31/2006
45701,OH,4.01,29540,06/30/2008
43512,OH,4.08,20400.0,9/10/2008
45776,OH,4.1,35748,3/1/2008
45701,OH,4.14,34559,08/16/2007
45761,OH,4.14,38563,08/16/2007
43713,OH,4.2,18960.0,12/11/2014
43015,OH,4.27,49218,04/30/2009
43560,OH,4.3,49800,12/31/2005
45242,OH,4.3,39233,01/15/2008
45701,OH,4.32,24966,6/8/2008
45150,OH,4.4,44492,06/29/2007
44212,OH,4.5,28802.0,07/26/2009
44286,OH,4.5,20200.0,10/22/2011
44281,OH,4.7,20500.0,11/11/2011
44654,OH,4.9,21200.0,8/2/2013
44124,OH,4.9,44000,12/15/2008
43017,OH,4.92,40895,05/15/2008
44663,OH,5.0,20910.0,9/12/2013
44654,OH,5.0,22400.0,07/20/2012
44312,OH,5,35000,07/16/2007
44312,OH,5,34999.5,07/16/2007
44118,OH,5,61500,12/23/2008
44089,OH,5,61500,06/30/2008
43015,OH,5,41196,09/23/2006
44305,OH,5.12,43226,12/31/2006
45069,OH,5.18,39411,09/30/2008
44601,OH,5.2,10896,06/23/2008
45241,OH,5.2,36627,06/28/2008
44281,OH,5.25,29500.0,12/20/2010
44212,OH,5.25,30560.0,03/20/2011
43130,OH,5.4,41250.0,10/13/2010
44720,OH,5.7,22570.0,06/19/2013
44281,OH,5.9,24000.0,9/12/2011
44254,OH,6.0,23550.0,11/7/2014
44231,OH,6.0,,10/1/2010
45750,OH,6.4,49872,12/31/2005
43023,OH,6.44,72312,7/5/2007
44256,OH,6.5,33790.0,06/24/2010
43812,OH,6.5,27175.0,10/16/2012
45241,OH,6.5,49926,11/30/2008
43615,OH,6.5,63400,06/30/2006
44481,OH,6.8,48513,11/6/2007
43140,OH,6.84,64965,05/15/2008
45243,OH,6.84,55161,3/1/2008
44287,OH,6.9,24990.0,05/15/2014
44256,OH,7.0,39000.0,06/27/2010
45440,OH,7.0,32300.0,10/18/2012
44023,OH,7.05,19436.0,10/10/2012
44275,OH,7.2,26250.0,11/7/2014
43812,OH,7.2,23900.0,08/27/2014
45701,OH,7.2,68897,8/5/2008
44805,OH,7.5,25380.0,12/4/2014
44691,OH,7.5,26190.0,09/15/2014
44902,OH,7.5,41294.57,07/22/2009
44622,OH,7.56,27630.0,6/12/2014
44256,OH,7.65,30150.0,11/12/2012
43840,OH,7.8,30500.0,07/22/2014
44256,OH,7.8,35000.0,11/23/2011
44256,OH,7.9,43165.0,06/20/2010
45817,OH,8.1,40500.0,11/5/2010
44115,OH,8.4,186600,6/1/2008
43812,OH,9.0,37296.0,08/16/2013
44654,OH,9.0,44230.0,11/15/2013
43906,OH,9.6,35980.0,12/15/2014
43050,OH,9.75,49000.0,02/21/2013
45229,OH,9.9,105724,04/30/2007
45229,OH,9.9,211788,04/30/2007
44460,OH,10.0,48000.0,01/25/2013
44142,OH,10,80833,8/1/2008
44907,OH,10,15600,09/14/2005
44702,OH,10,1884217,06/30/2007
45701,OH,10.03,78381,10/1/2008
