Zipcode,State,Size (kW DC),Cost,Date Installed
97202,OR,0.002,,3/10/2006
97058,OR,0.33,6000.0,11/7/2007
97060,OR,0.48,,04/15/2003
97024,OR,0.5,2000.0,04/15/2010
97201,OR,0.5,,03/28/2005
97034,OR,0.5,,03/28/2005
97219,OR,0.5,,4/1/2005
97220,OR,0.5,,4/6/2005
97223,OR,0.5,,04/15/2006
97202,OR,0.5,,4/1/2005
97212,OR,0.5,,03/28/2005
97202,OR,0.5,,03/24/2006
97219,OR,0.5,,03/28/2005
97212,OR,0.85,,08/19/2008
97204,OR,0.9,11500.0,04/15/2012
97214,OR,0.96,,4/9/2007
97202,OR,0.987,,07/16/2008
97221,OR,0.99,,1/12/2006
97239,OR,0.99,,3/8/2004
97239,OR,0.99,,7/8/2005
97221,OR,0.99,,03/18/2005
97221,OR,0.99,,5/12/2005
97030,OR,0.99,,12/3/2004
97239,OR,0.99,,01/30/2004
97801,OR,1.0,,8/11/2010
97344,OR,1.0,,08/27/2010
97365,OR,1.02,8349.0,06/21/2007
97830,OR,1.05,,07/24/2009
97203,OR,1.05,,03/31/2008
97219,OR,1.085,,12/19/2006
97027,OR,1.1,8043.0,1/1/2009
97051,OR,1.1,9372.0,10/1/2007
97211,OR,1.11,,05/18/2006
97212,OR,1.155,,04/15/2004
97486,OR,1.165,14993.0,7/1/2012
97058,OR,1.188,19000.0,11/8/2008
97801,OR,1.2,7512.0,10/4/2010
97215,OR,1.2,,12/17/2001
97201,OR,1.28,,2/11/2004
97218,OR,1.29,,09/17/2010
97202,OR,1.36,,07/21/2009
97756,OR,1.38,11750.0,7/1/2012
97219,OR,1.4,,2/6/2008
97734,OR,1.41,9245.0,7/1/2012
97213,OR,1.413,,07/16/2008
97801,OR,1.44,9014.4,10/25/2010
97058,OR,1.44,14000.0,07/20/2012
97214,OR,1.44,,03/13/2002
97221,OR,1.48,,04/19/2004
97214,OR,1.485,,4/8/2004
97212,OR,1.505,,11/1/2010
97221,OR,1.53,,01/22/2008
97214,OR,1.54,,01/26/2005
97239,OR,1.54,,03/18/2005
97202,OR,1.62,,04/13/2007
97206,OR,1.62,,07/16/2008
97212,OR,1.64,,03/21/2007
97212,OR,1.68,,08/16/2010
97266,OR,1.72,13725.6,03/21/2011
97212,OR,1.72,11000.0,11/4/2010
97211,OR,1.72,,10/26/2010
97212,OR,1.72,,12/10/2010
97212,OR,1.72,,8/11/2010
97220,OR,1.72,,10/21/2010
97239,OR,1.8,,03/21/2007
97231,OR,1.8,,2/8/2007
97220,OR,1.84,18753.0,02/17/2012
97058,OR,1.84,16654.0,7/1/2012
97701,OR,1.84,10199.0,7/1/2012
97080,OR,1.88,10902.0,7/1/2012
97322,OR,1.88,14453.0,7/1/2012
97801,OR,1.88,11768.8,09/24/2010
97005,OR,1.88,,12/16/2010
97007,OR,1.89,,9/1/2010
97211,OR,1.89,,9/8/2010
97206,OR,1.89,,06/21/2011
97537,OR,1.92,10520.0,7/1/2012
97801,OR,1.92,12019.2,12/9/2010
97801,OR,1.92,12019.2,11/12/2010
97304,OR,1.92,12980.0,11/16/2010
97304,OR,1.92,12980.0,11/16/2010
97212,OR,1.935,,10/21/2010
97213,OR,1.935,,11/18/2010
97213,OR,1.935,,06/28/2010
97213,OR,1.962,18695.0,11/16/2012
97211,OR,1.98,,03/31/2008
97211,OR,1.98,,04/13/2007
97213,OR,1.98,,12/19/2007
97223,OR,1.98,,01/29/2007
97217,OR,1.98,,09/18/2007
97213,OR,1.98,,01/29/2007
97203,OR,1.98,,12/19/2007
97202,OR,1.98,,03/30/2007
97068,OR,2.0,14550.0,7/1/2012
97357,OR,2.0,11200.0,7/1/2012
97401,OR,2.0,11480.0,7/1/2012
97405,OR,2.0,12290.0,7/1/2012
97701,OR,2.0,9500.0,12/31/2013
97701,OR,2,14250,12/11/2009
97212,OR,2,,06/19/2008
97213,OR,2,,03/21/2007
97202,OR,2,,02/27/2007
97225,OR,2,,03/17/2004
97008,OR,2.04,16995.0,7/1/2012
97070,OR,2.04,15700.0,7/1/2012
97202,OR,2.04,13260.0,7/1/2012
97520,OR,2.04,12893.0,7/1/2012
97229,OR,2.04,,1/8/2007
