Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
18969,PA,0;96,8000,5-1-2008,40.32,-75.32,3;86,Montgomery,51121,8333;333333
18470,PA,1,4500,01/28/2013,41.71,-75.49,3;46,Susquehanna,42115,4500
15220,PA,1,4875,12/13/2012,40.43,-79.97,3;44,Allegheny,42003,4875
18431,PA,1;05,6618,12/14/2009,41.57,-75.25,3;54,Wayne,54099,6302;857143
18077,PA,1;05,7000,10/22/2010,40.59,-75.19,3;78,Bucks,42017,6666;666667
18431,PA,1;05,6618,12/14/2009,41.57,-75.25,3;54,Wayne,54099,6302;857143
19382,PA,1.075,8922;5,06/23/2010,39.95,-75.60,4;02,Chester,47023,8;3
15220,PA,1;08,9426,07/20/2011,40.43,-79.97,3;44,Allegheny,42003,8727;777778
17327,PA,1;08,8597;76,5-6-2010,39.79,-76.73,3;92,York,51199,7960;888889
17011,PA,1;08,12200,11-5-2010,40.24,-76.92,3;85,Cumberland,51049,11296;2963
17112,PA,1;1,11620,7-12-2010,40.27,-76.88,3;79,Dauphin,42043,10563;63636
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
18080,PA,1;11,6095;03,02/26/2013,40.75,-75.61,3;69,Lehigh,42077,5491;018018
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19145,PA,1;11,16697;56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101,15042;84685
19541,PA,1;11,6049;5,10/29/2010,40.47,-76.02,3;74,Berks,42011,5450
18052,PA,1;12,7425,2-7-2010,40.63,-75.48,3;7,Lehigh,42077,6629;464286
18080,PA,1;12,7425,2-7-2010,40.75,-75.61,3;69,Lehigh,42077,6629;464286
18080,PA,1;14,5225;58,11-3-2011,40.75,-75.61,3;69,Lehigh,42077,4583;842105
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
19122,PA,1;2,14775;66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101,12313;05
18052,PA,1;26,5995,03/29/2011,40.63,-75.48,3;7,Lehigh,42077,4757;936508
19506,PA,1;26,5406,08/14/2011,40.43,-76.11,3;75,Berks,42011,4290;47619
17815,PA,1;26,7499,10-12-2011,41.00,-76.45,3;52,Columbia,55021,5951;587302
15238,PA,1;26,13035;51,10/27/2009,40.43,-79.97,3;43,Allegheny,42003,10345;64286
18106,PA,1;26,6450,02/26/2010,40.59,-75.47,3;72,Lehigh,42077,5119;047619
15238,PA,1;26,13035;51,10/27/2009,40.43,-79.97,3;43,Allegheny,42003,10345;64286
18235,PA,1.344,6800,11-2-2011,40.83,-75.71,3;67,Carbon,56007,5;05952381
17856,PA,1.344,10900,04/21/2010,41.04,-76.88,3;57,Union,47173,8;110119048
17856,PA,1.344,7335,04/24/2010,41.04,-76.88,3;57,Union,47173,5;457589286
19526,PA,1;35,6925,2-2-2011,40.55,-75.98,3;71,Berks,42011,5129;62963
18037,PA,1;35,8100,09/26/2011,40.67,-75.49,3;69,Lehigh,42077,6000
19526,PA,1;35,6925,11-1-2010,40.55,-75.98,3;71,Berks,42011,5129;62963
19146,PA,1;36,12299,04/26/2010,39.95,-75.16,3;99,Philadelphia,42101,9043;382353
19075,PA,1;36,12299,04/26/2010,40.11,-75.18,3;92,Montgomery,51121,9043;382353
18053,PA,1;38,5900,11/23/2011,40.72,-75.71,3;69,Lehigh,42077,4275;362319
19533,PA,1;4,6720,03/17/2010,40.44,-75.96,3;76,Berks,42011,4800
17901,PA,1;4,11520,04/26/2010,40.67,-76.20,3;7,Schuylkill,42107,8228;571429
15401,PA,1.428,11023,07/22/2011,39.89,-79.72,3;41,Fayette,54019,7;719187675
16415,PA,1;44,8500,08/19/2011,42.03,-80.25,3;24,Erie,42049,5902;777778
16508,PA,1;44,7200,05/20/2013,42.12,-80.08,3;2,Erie,42049,5000
17844,PA,1;44,6720,7-12-2011,40.92,-77.04,3;61,Union,47173,4666;666667
16415,PA,1;44,8500,08/19/2011,42.03,-80.25,3;24,Erie,42049,5902;777778
17801,PA,1;44,6130,10/24/2012,40.86,-76.78,3;57,Northumberland,51133,4256;944444
19147,PA,1.456,9480,10-11-2012,39.95,-75.16,3;95,Philadelphia,42101,6;510989011
19072,PA,1.496,13400,03/15/2010,40.00,-75.26,3;95,Montgomery,51121,8;957219251
19352,PA,1;5,10991;99,10-4-2002,39.78,-75.88,4;03,Chester,47023,7327;993333
17301,PA,1;52,16200,07/13/2011,39.88,-76.98,3;87,Adams,55001,10657;89474
17019,PA,1;52,12244,07/30/2010,40.11,-77.03,3;87,York,51199,8055;263158
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
19143,PA,1.575,12327,02/18/2005,39.95,-75.16,4;04,Philadelphia,42101,7;826666667
18067,PA,1.575,10080,10-9-2010,40.68,-75.48,3;7,Northampton,51131,6;4
18431,PA,1.575,11528,09/22/2010,41.57,-75.25,3;54,Wayne,54099,7;319365079
15323,PA,1;61,7900,04/20/2012,40.12,-80.41,3;5,Washington,55131,4906;832298
16652,PA,1;62,7040,01/16/2011,40.49,-78.01,3;73,Huntingdon,42061,4345;679012
17566,PA,1;62,25958;7,10-1-2009,39.89,-76.16,3;95,Lancaster,51103,16023;88889
17566,PA,1;62,25958;7,10-1-2009,39.89,-76.16,3;95,Lancaster,51103,16023;88889
19040,PA,1;64,15000,2-9-2010,40.17,-75.10,3;93,Montgomery,51121,9146;341463
17702,PA,1;64,14270,09/24/2009,41.23,-77.03,3;55,Lycoming,42081,8701;219512
17702,PA,1;64,14270,09/24/2009,41.23,-77.03,3;55,Lycoming,42081,8701;219512
18615,PA,1.645,9047;5,01/27/2012,41.46,-75.84,3;43,Wyoming,54109,5;5
15203,PA,1.665,10656,1-4-2011,40.43,-79.97,3;42,Allegheny,42003,6;4
16335,PA,1;68,8400,1-9-2012,41.64,-80.14,3;42,Crawford,55023,5000
16335,PA,1;68,8400,02/14/2011,41.64,-80.14,3;42,Crawford,55023,5000
15236,PA,1;68,7000,09/13/2012,40.43,-79.97,3;47,Allegheny,42003,4166;666667
17112,PA,1;75,10980,10-5-2011,40.27,-76.88,3;79,Dauphin,42043,6274;285714
19518,PA,1;75,10596,11/16/2010,40.26,-75.74,3;85,Berks,42011,6054;857143
19426,PA,1;75,10243;01,1-11-2012,40.18,-75.45,3;87,Montgomery,51121,5853;148571
15301,PA,1;8,7094;3,12/15/2011,40.17,-80.24,3;5,Washington,55131,3941;277778
17201,PA,1;8,12420,09/26/2011,39.93,-77.65,3;74,Franklin,53021,6900
19426,PA,1;8,6534,03/19/2013,40.18,-75.45,3;87,Montgomery,51121,3630
16823,PA,1;8,16200,1-4-2010,40.91,-77.76,3;74,Centre,42027,9000
19147,PA,1;8,13500,8-5-2010,39.95,-75.16,3;95,Philadelphia,42101,7500
18103,PA,1;8,15981;08,05/25/2010,40.59,-75.47,3;74,Lehigh,42077,8878;377778
19001,PA,1;8,11000,12/29/2010,40.12,-75.12,3;95,Montgomery,51121,6111;111111
17015,PA,1;8,13493,11-9-2010,40.15,-77.26,3;87,0,0,7496;111111
19473,PA,1;8,9000,02/28/2012,0,0,0,Montgomery,51121,5000
19125,PA,1;84,13616,8-2-2011,40.25,-75.46,3;85,Philadelphia,42101,7400
17022,PA,1;84,15538;96,09/16/2010,39.95,-75.16,3;95,Lancaster,51103,8445;086957
17315,PA,1;84,18340,07/23/2010,40.15,-76.59,3;79,York,51199,9967;391304
18250,PA,1;84,12150,05/22/2010,40.00,-76.84,3;84,Carbon,56007,6603;26087
18512,PA,1;84,11960,2-10-2012,40.82,-75.84,3;68,Lackawanna,42069,6500
19508,PA,1.865,9750,10-12-2011,41.40,-75.66,3;42,Berks,42011,5;227882038
19002,PA,1;88,13000,2-9-2010,40.26,-75.81,3;84,Montgomery,51121,6914;893617
19083,PA,1;88,14664,3-5-2012,40.15,-75.22,3;91,Delaware,42045,7800
17601,PA,1;88,9064,5-11-2012,39.97,-75.31,4;05,Lancaster,51103,4821;276596
17109,PA,1;88,10670,06/19/2012,40.04,-76.30,3;81,Dauphin,42043,5675;531915
17320,PA,1;9,14250,04/20/2011,40.27,-76.88,3;82,Adams,55001,7500
16510,PA,1;92,11904,6-3-2011,39.78,-77.36,3;95,Erie,42049,6200
19066,PA,1;92,12410,12/21/2010,42.12,-80.08,3;27,Montgomery,51121,6463;541667
16510,PA,1;92,11904,8-4-2011,40.00,-75.24,4,Erie,42049,6200
16510,PA,1;92,11904,6-3-2011,42.12,-80.08,3;27,Erie,42049,6200
16823,PA,1;92,9974,9-12-2011,42.12,-80.08,3;27,Centre,42027,5194;791667
17098,PA,1;92,13633,10/20/2011,40.91,-77.76,3;74,Dauphin,42043,7100;520833
15370,PA,1;92,11430,2-12-2013,40.58,-76.61,3;72,Greene,51079,5953;125
19087,PA,1;92,23630,6-10-2002,39.89,-80.18,3;53,Delaware,42045,12307;29167
16412,PA,1;92,8640,8-10-2012,40.06,-75.40,3;96,Erie,42049,4500
15106,PA,1;92,7000,03/27/2012,41.87,-80.12,3;42,Allegheny,42003,3645;833333
18708,PA,1;92,9000,05/30/2012,40.40,-80.08,3;46,Luzerne,42079,4687;5
19125,PA,1.925,13594,3-5-2010,41.31,-75.95,3;52,Philadelphia,42101,7;061818182
19125,PA,1.925,13594,3-4-2010,39.95,-75.16,3;95,Philadelphia,42101,7;061818182
19123,PA,1.925,13594,3-5-2010,39.95,-75.16,3;95,Philadelphia,42101,7;061818182
16506,PA,1;96,8820,06/26/2012,39.95,-75.16,3;95,Erie,42049,4500
17560,PA,1;96,10695,07/15/2011,42.12,-80.08,3;2,Lancaster,51103,5456;632653
16506,PA,1;96,8820,06/26/2012,39.90,-76.23,3;93,Erie,42049,4500
18232,PA,1;96,11647;8,12/30/2011,42.12,-80.08,3;2,Carbon,56007,5942;755102
15106,PA,1;96,9734,09/27/2011,40.83,-75.88,3;68,Allegheny,42003,4966;326531
16506,PA,1;96,8820,06/25/2012,40.40,-80.08,3;46,Erie,42049,4500
17201,PA,1.988,18400,04/26/2010,42.12,-80.08,3;2,Franklin,53021,9;255533199
17201,PA,1.992,20000,2-8-2010,39.93,-77.65,3;74,Franklin,53021,10;04016064
15765,PA,2,18500,8-5-2010,39.93,-77.65,3;74,Indiana,42063,9250
19342,PA,2,27818;72,01/27/2003,40.62,-78.97,3;42,Delaware,42045,13909;36
18610,PA,2,16995,12/15/2009,39.89,-75.50,4;04,Monroe,55081,8497;5
15068,PA,2,19158;5,11-3-2009,41.04,-75.52,3;65,Westmoreland,51193,9579;25
