Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
18969,PA,0.96,8000.0,5/1/2008,40.32,-75.32,3;86,Montgomery,51121
18470,PA,1.0,4500.0,01/28/2013,41.71,-75.49,3;46,Susquehanna,42115
15220,PA,1.0,4875.0,12/13/2012,40.43,-79.97,3;44,Allegheny,42003
18431,PA,1.05,6618.0,12/14/2009,41.57,-75.25,3;54,Wayne,54099
18077,PA,1.05,7000.0,10/22/2010,40.59,-75.19,3;78,Bucks,42017
18431,PA,1.05,6618,12/14/2009,41.57,-75.25,3;54,Wayne,54099
19382,PA,1.075,8922.5,06/23/2010,39.95,-75.60,4;02,Chester,47023
15220,PA,1.08,9426.0,07/20/2011,40.43,-79.97,3;44,Allegheny,42003
17327,PA,1.08,8597.76,5/6/2010,39.79,-76.73,3;92,York,51199
17011,PA,1.08,12200.0,11/5/2010,40.24,-76.92,3;85,Cumberland,51049
17112,PA,1.1,11620.0,7/12/2010,40.27,-76.88,3;79,Dauphin,42043
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
18080,PA,1.11,6095.03,02/26/2013,40.75,-75.61,3;69,Lehigh,42077
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19145,PA,1.11,16697.56,11/25/2005,39.95,-75.16,3;99,Philadelphia,42101
19541,PA,1.11,6049.5,10/29/2010,40.47,-76.02,3;74,Berks,42011
18052,PA,1.12,7425.0,2/7/2010,40.63,-75.48,3;70,Lehigh,42077
18080,PA,1.12,7425,2/7/2010,40.75,-75.61,3;69,Lehigh,42077
18080,PA,1.14,5225.58,11/3/2011,40.75,-75.61,3;69,Lehigh,42077
19122,PA,1.2,14775.66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101
19122,PA,1.2,14775.66,06/29/2004,39.95,-75.16,3;95,Philadelphia,42101
