Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
57003,SD,0;87,4350,11/19/2011,43.75,-96.73,4;38,Minnehaha,46099,5000,7600;377049
57005,SD,1.175,8500,12/22/2011,43.59,-96.57,4;38,Minnehaha,46099,7;234042553,10264877;05
57003,SD,1;44,,10-9-2013,43.75,-96.73,4;38,Minnehaha,46099,0,12579;93443
57069,SD,2;12,,5-1-2014,42.78,-96.92,4;47,Clay,54015,0,18901;01639
57790,SD,3;15,,11/19/2010,43.99,-102.23,5;18,Pennington,46103,0,32544;83607
57030,SD,4,32600,8-8-2013,43.71,-96.50,4;35,Minnehaha,46099,8150,34704;91803
57005,SD,4;2,30000,09/29/2010,43.59,-96.57,4;38,Minnehaha,46099,7142;857143,36691;47541
57349,SD,4;73,23789,06/15/2010,44.01,-97.52,4;51,Miner,46097,5029;386892,42548;03005
57433,SD,10;08,,3-9-2011,45.61,-98.31,4;4,Brown,55009,0,88461;63934
57030,SD,10;34,49000,12/30/2011,43.71,-96.50,4;35,Minnehaha,46099,4738;878143,89712;21311
57017,SD,11,44000,4-11-2014,43.98,-96.81,4;38,Moody,46101,4000,96096;72131
57276,SD,11;82,,2-4-2014,44.43,-96.64,4;33,Brookings,46011,0,102081;5246
57273,SD,14;4,,2-10-2011,45.33,-97.30,4;21,Day,46037,0,120916;7213
57273,SD,20;4,,3-9-2011,45.33,-97.30,4;21,Day,46037,0,171298;6885
57433,SD,25;92,,11-5-2010,45.61,-98.31,4;4,Brown,55009,0,227472;7869
57703,SD,152,,11/19/2013,44.07,-103.23,5;31,Pennington,46103,0,1609829;508
