Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size
37401,TN,0;525,4000,1-1-1999,35.06,-85.25,0,0,0,7619;047619
37401,TN,0;525,4000,02/24/1999,0,0,0,0,0,7619;047619
38366,TN,0;54,7000,11/23/2009,35.06,-85.25,4;23,Madison,51113,12962;96296
37362,TN,0;55,4000,1-1-1999,0,0,4;16,Polk,55095,7272;727273
37362,TN,0;55,4000,02/24/1999,35.47,-88.73,4;16,Polk,55095,7272;727273
37401,TN,0;56,4750,1-1-2006,35.04,-84.64,0,0,0,8482;142857
37397,TN,0;65,4000,1-1-2004,35.04,-84.64,4;12,Sequatchie,47153,6153;846154
37367,TN,0;72,,05/17/2011,35.06,-85.25,4;05,Bledsoe,47007,0
37334,TN,0;8,6000,1-1-2001,0,0,4;17,Lincoln,56023,7500
37362,TN,0;8,6000,02/24/1999,35.20,-85.51,4;16,Polk,55095,7500
37362,TN,0;8,6000,1-1-1999,35.60,-85.19,4;16,Polk,55095,7500
37723,TN,1,,05/17/2011,35.14,-86.56,4;05,Cumberland,51049,0
37723,TN,1,,2-2-2008,35.04,-84.64,4;05,Cumberland,51049,0
37327,TN,1,9000,1-1-2000,35.04,-84.64,4;09,Sequatchie,47153,9000
37367,TN,1,9500,1-1-2007,35.90,-84.88,4;05,Bledsoe,47007,9500
37601,TN,1,9500,1-1-2006,35.90,-84.88,3;89,Washington,55131,9500
37043,TN,1,,9-3-2010,35.37,-85.38,4;13,Montgomery,51121,0
37098,TN,1;02,,05/17/2011,35.60,-85.19,4;18,Hickman,47081,0
37098,TN,1;02,,12-12-2009,36.33,-82.36,4;18,Hickman,47081,0
37415,TN,1.100.000.024,,1-4-2010,36.56,-87.34,4;18,Hamilton,48193,0
37209,TN,1.149.999.976,,7-1-2010,35.87,-87.32,4;12,Davidson,47037,0
37205,TN,1.149.999.976,,7-7-2010,35.87,-87.32,4;11,Davidson,47037,0
37923,TN,1;2,11400,1-1-2007,35.06,-85.25,4;2,Knox,48275,9500
37011,TN,1;25,11000,1-1-2006,36.17,-86.78,0,0,0,8800
37601,TN,1;25,11875,1-1-2007,36.17,-86.78,3;89,Washington,55131,9500
37923,TN,1;32,10000,7-7-2008,35.97,-83.94,4;2,Knox,48275,7575;757576
37830,TN,1;32,10000,7-9-2009,36.04,-86.64,4;16,Anderson,48001,7575;757576
37204,TN,1;35,,05/17/2011,0,0,4;09,Davidson,47037,0
37204,TN,1;35,,1-7-2010,36.33,-82.36,4;09,Davidson,47037,0
37205,TN,1;4,13300,1-1-2007,35.97,-83.94,4;11,Davidson,47037,9500
37201,TN,1;4,13300,1-1-2007,35.96,-84.29,4;08,Davidson,47037,9500
38454,TN,1;4,13300,1-1-2007,36.17,-86.78,4;16,Hickman,47081,9500
37342,TN,1;6,,05/17/2011,36.17,-86.78,4;09,Coffee,47031,0
38571,TN,1.645,8534;57,12/27/2010,36.17,-86.78,4;01,Cumberland,51049,5;18818845
37129,TN,1.799.999.952,,10-2-2009,36.17,-86.78,4;07,Rutherford,47149,0
37846,TN,1.799.999.952,,7-1-2010,35.71,-87.35,4;18,Loudon,47105,0
37204,TN,1;8,,05/17/2011,35.36,-85.95,4;09,Davidson,47037,0
37129,TN,1;8,,05/17/2011,35.95,-85.03,4;07,Rutherford,47149,0
37040,TN,1;8,,05/17/2011,35.85,-86.39,4;13,Montgomery,51121,0
37204,TN,1;8,,6-1-2008,35.67,-84.40,4;09,Davidson,47037,0
37129,TN,1;8,,06/24/2009,36.17,-86.78,4;07,Rutherford,47149,0
37040,TN,1;8,,3-2-2011,35.85,-86.39,4;13,Montgomery,51121,0
37075,TN,1;84,,05/17/2011,36.56,-87.34,4;08,Sumner,47165,0
38571,TN,1;92,,05/17/2011,36.17,-86.78,4;01,Cumberland,51049,0
38571,TN,1;92,,09/29/2010,35.85,-86.39,4;01,Cumberland,51049,0
38555,TN,1;92,,05/22/2012,36.56,-87.34,4;04,Cumberland,51049,0
37342,TN,1;94,,12-9-2009,36.29,-86.60,4;09,Coffee,47031,0
37015,TN,2,,05/17/2011,35.95,-85.03,4;13,Cheatham,47021,0
38476,TN,2,,05/17/2011,35.95,-85.03,4;17,Hickman,47081,0
37015,TN,2,,12-1-2007,35.95,-85.03,4;13,Cheatham,47021,0
38476,TN,2,,2-2-2009,35.36,-85.95,4;17,Hickman,47081,0
37771,TN,2,16000,1-1-2002,36.27,-87.05,4;18,Loudon,47105,8000
37642,TN,2,16000,1-1-2005,35.80,-87.25,4;1,Hawkins,47073,8000
37353,TN,2,,10/21/2009,36.27,-87.05,4;23,Bradley,47011,0
38469,TN,2,,12/15/2009,35.80,-87.25,4;22,Lawrence,47099,0
37743,TN,2,,07/23/2010,35.80,-84.27,4;03,Greene,51079,0
37327,TN,2,19000,1-1-2006,36.52,-82.71,4;09,Sequatchie,47153,9500
37040,TN,2,16000,1-1-2005,35.08,-84.98,4;13,Montgomery,51121,8000
37069,TN,2,19000,1-1-2007,35.08,-87.43,4;13,Williamson,48491,9500
38476,TN,2,19000,1-1-2007,36.16,-82.81,4;17,Hickman,47081,9500
37321,TN,2,16000,1-1-2002,35.37,-85.38,4;14,Rhea,47143,8000
37401,TN,2,18000,1-1-2007,36.56,-87.34,0,0,0,9000
37771,TN,2,15000,1-1-2003,35.92,-86.84,4;18,Loudon,47105,7500
37015,TN,2,19000,1-1-2007,35.80,-87.25,4;13,Cheatham,47021,9500
37205,TN,2;02,,10/24/2011,35.49,-85.01,4;11,Davidson,47037,0
37064,TN,2;03,,05/17/2011,35.06,-85.25,4;15,Williamson,48491,0
37064,TN,2;03,,10/31/2008,0,0,4;15,Williamson,48491,0
37064,TN,2;04,,05/17/2011,35.80,-84.27,4;15,Williamson,48491,0
37064,TN,2;04,,11-1-2009,36.27,-87.05,4;15,Williamson,48491,0
37027,TN,2.069.999.933,,12/15/2009,36.17,-86.78,4;11,Williamson,48491,0
37064,TN,2.069.999.933,,4-9-2010,35.92,-86.84,4;15,Williamson,48491,0
37167,TN,2.099.999.905,,03/30/2010,35.92,-86.84,4;07,Rutherford,47149,0
37643,TN,2;1,,08/14/2012,35.92,-86.84,3;82,Carter,47019,0
37040,TN,2;1,25000,09/15/2009,35.92,-86.84,4;13,Montgomery,51121,11904;7619
37771,TN,2;1,15000,1-1-2004,35.99,-86.78,4;18,Loudon,47105,7142;857143
37087,TN,2.150.000.095,,08/25/2010,35.92,-86.84,4;05,Wilson,48493,0
37329,TN,2.200.000.048,,08/31/2010,35.98,-86.51,4;1,Mcminn,0,0
37826,TN,2.200.000.048,,08/31/2010,36.33,-82.23,0,0,0,0
37914,TN,2.200.000.048,,09/16/2010,36.56,-87.34,4;16,Mcminn,48275,0
37916,TN,2;23,,05/17/2011,35.80,-84.27,0,0,48275,0
37743,TN,2;25,,05/17/2011,36.20,-86.32,4;15,Knox,51079,0
37174,TN,2;25,,04/22/2010,35.42,-84.48,4;15,Knox,47119,0
37174,TN,2;25,,04/22/2010,0,0,4;03,Greene,47119,0
37075,TN,2.299.999.952,,06/22/2010,35.51,-84.54,4;13,Maury,47165,0
37075,TN,2;3,,06/22/2010,0,0,4;13,Maury,47165,0
37604,TN,2;38,,05/17/2011,35.97,-83.94,4;08,Sumner,55131,0
37604,TN,2;38,,6-1-2011,35.97,-83.94,4;08,Sumner,55131,0
37871,TN,2.380.000.114,,7-8-2010,36.16,-82.81,3;91,Washington,55055,0
37149,TN,2;4,,02/24/2012,35.74,-86.92,3;91,Washington,47015,0
37096,TN,2;4,,05/24/2012,35.74,-86.92,4;15,Jefferson,47135,0
37086,TN,2;4,,07/17/2012,36.29,-86.60,4;04,Cannon,47149,0
37129,TN,2;4,,07/27/2012,36.29,-86.60,4;22,Perry,47149,0
37205,TN,2;4,,08/28/2012,36.33,-82.36,4;07,Rutherford,47037,0
37862,TN,2.400.000.095,,06/28/2010,36.33,-82.36,4;07,Rutherford,49041,0
37371,TN,2.400.000.095,,08/31/2010,36.06,-83.68,4;11,Davidson,0,0
37923,TN,2.496,18720,2-6-2008,35.80,-86.19,3;97,Sevier,48275,7;5
37882,TN,2.496.000.051,,09/21/2009,35.61,-87.84,0,0,47009,0
37772,TN,2;5,,04/28/2010,35.99,-86.57,4;2,Knox,47105,0
38351,TN,2;5,18000,4-7-2009,35.85,-86.39,4,Blount,48213,7200
37205,TN,2;56,,05/17/2011,36.17,-86.78,4;19,Loudon,47037,0
37205,TN,2;56,,10-12-2007,35.89,-83.57,4;24,Henderson,47037,0
37201,TN,2;56,24320,1-1-2007,35.45,-84.60,4;11,Davidson,47037,9500
37604,TN,2.599.999.905,,02/17/2010,0,0,4;11,Davidson,55131,0
37343,TN,2.599.999.905,,3-2-2010,35.97,-83.94,4;08,Davidson,48193,0
38542,TN,2.599.999.905,,04/30/2010,35.67,-83.75,3;91,Washington,47133,0
38572,TN,2;6,,05/17/2011,35.80,-84.27,4;21,Hamilton,51049,0
38572,TN,2;6,,6-1-2008,35.65,-88.39,4;01,Overton,51049,0
38133,TN,2;64,,10-11-2012,36.17,-86.78,4;01,Cumberland,48419,0
37375,TN,2.799.999.952,,10/30/2009,36.17,-86.78,4;01,Cumberland,53021,0
37067,TN,2;82,,05/17/2011,36.17,-86.78,4;32,Shelby,48491,0
37044,TN,2;82,32800,07/16/2010,36.33,-82.36,4;1,Franklin,51121,11631;20567
37067,TN,2;82,,08/16/2010,35.16,-85.20,4;13,Williamson,48491,0
37013,TN,2;88,,05/17/2011,36.36,-85.19,4;14,Montgomery,47037,0
37013,TN,2;88,,06/16/2006,35.95,-85.03,4;13,Williamson,47037,0
37604,TN,2;88,,3-5-2012,35.95,-85.03,4;06,Davidson,55131,0
37067,TN,2.880.000.114,,08/24/2010,35.10,-90.00,4;06,Davidson,48491,0
38401,TN,2;94,,05/17/2011,35.20,-85.92,3;91,Washington,47119,0
37604,TN,2;94,,05/17/2011,35.92,-86.84,4;13,Williamson,55131,0
37206,TN,2;94,,05/17/2011,36.56,-87.34,4;16,Maury,47037,0
37604,TN,2;94,,12-1-2010,35.92,-86.84,3;91,Washington,55131,0
38401,TN,2;94,,12/30/2010,36.04,-86.64,4;06,Davidson,47119,0
37040,TN,2;94,,07/21/2011,36.04,-86.64,3;91,Washington,51121,0
37046,TN,2;94,,06/28/2012,36.33,-82.36,4;16,Maury,48491,0
37760,TN,2.940.000.057,,11/25/2009,35.92,-86.84,4;13,Montgomery,55055,0
37763,TN,2.970.000.029,,9-3-2009,35.62,-87.04,4;12,Williamson,54087,0
37356,TN,3,,05/17/2011,36.33,-82.36,4;17,Jefferson,47061,0
37356,TN,3,,10/23/2008,36.17,-86.78,4;15,Roane,47061,0
37748,TN,3,27000,4-10-2006,36.33,-82.36,4;1,Grundy,54087,9000
37342,TN,3,,12-10-2009,35.62,-87.04,4;1,Grundy,47031,0
38473,TN,3,,01/13/2010,36.56,-87.34,4;13,Roane,51071,0
37356,TN,3,28500,1-1-2007,35.77,-86.74,4;09,Coffee,47061,9500
37748,TN,3,24000,1-1-2006,36.11,-83.48,4;25,Giles,54087,8000
37030,TN,3.099.999.905,,09/22/2009,35.87,-84.51,4;1,Grundy,48423,0
37209,TN,3;15,,05/17/2011,35.24,-85.84,4;13,Roane,47037,0
37030,TN,3;15,,05/17/2011,35.24,-85.84,4;01,Smith,48423,0
37209,TN,3;15,,1-2-2009,35.93,-84.56,4;12,Davidson,47037,0
37030,TN,3;15,,09/22/2009,35.36,-85.95,4;01,Smith,48423,0
38351,TN,3;15,25200,05/15/2009,35.03,-87.17,4;12,Davidson,48213,8000
37201,TN,3;15,28750,1-1-2007,35.24,-85.84,4;01,Smith,47037,9126;984127
37221,TN,3.150.000.095,,08/26/2010,35.93,-84.56,4;24,Henderson,47037,0
37221,TN,3;19,,5-1-2012,36.25,-85.94,4;08,Davidson,47037,0
37062,TN,3.200.000.048,,12/30/2009,36.17,-86.78,4;14,Davidson,48491,0
37153,TN,3;22,,05/17/2011,36.25,-85.94,4;14,Davidson,47149,0
37069,TN,3;22,,05/17/2011,36.17,-86.78,4;17,Williamson,48491,0
37069,TN,3;22,,05/17/2011,36.25,-85.94,4;11,Rutherford,48491,0
37153,TN,3;22,,01/16/2009,35.65,-88.39,4;13,Williamson,47149,0
37069,TN,3;22,,5-12-2010,36.17,-86.78,4;13,Williamson,48491,0
37064,TN,3;22,,07/21/2011,36.17,-86.78,4;11,Rutherford,48491,0
