Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
78753,TX,0;16,1446,10-2-2007,30.26,-97.74,4;72,Travis,48453,9037;5,1506;273224
75040,TX,0;25,,7-9-2014,32.91,-96.62,4;85,Dallas,48113,0,2418;374317
75040,TX,0;25,,7-9-2014,32.91,-96.62,4;85,Dallas,48113,0,2418;374317
75040,TX,0;25,,7-9-2014,32.91,-96.62,4;85,Dallas,48113,0,2418;374317
75040,TX,0;25,,7-9-2014,32.91,-96.62,4;85,Dallas,48113,0,2418;374317
75041,TX,0;25,,7-9-2014,32.91,-96.62,4;82,Dallas,48113,0,2403;415301
75041,TX,0;25,,7-9-2014,32.91,-96.62,4;82,Dallas,48113,0,2403;415301
75042,TX,0;25,,7-9-2014,32.91,-96.62,4;89,Dallas,48113,0,2438;319672
75043,TX,0;25,,7-9-2014,32.91,-96.62,4;77,Dallas,48113,0,2378;483607
75043,TX,0;25,,7-9-2014,32.91,-96.62,4;77,Dallas,48113,0,2378;483607
75044,TX,0;25,,7-9-2014,32.91,-96.62,4;92,Dallas,48113,0,2453;278689
76705,TX,0;368,3000,12/17/2009,31.56,-97.18,4;85,Mclennan,0,8152;173913,3559;846995
75007,TX,0;45,3000,1-1-2010,0,0,0,0,48121,6666;666667,0
75040,TX,0;5,,7-9-2014,32.98,-96.89,4;9,Denton,48113,0,4886;612022
75041,TX,0;5,,7-9-2014,32.91,-96.62,4;85,Dallas,48113,0,4836;748634
75042,TX,0;5,,7-9-2014,32.91,-96.62,4;82,Dallas,48113,0,4806;830601
78756,TX,0;501,2556,10/31/2005,32.91,-96.62,4;89,Dallas,48453,5101;796407,4886;392623
78704,TX,0;576,3824;64,10-2-2007,30.26,-97.74,4;72,Travis,48453,6640,5422;583607
78132,TX,0;6,3250,11/23/2009,30.26,-97.74,4;8,Travis,48091,5416;666667,5744;262295
78006,TX,0;62,2000,3-5-2011,29.70,-98.11,4;58,Comal,48259,3225;806452,5663;68306
78704,TX,0;7,9989;06,03/17/2005,29.80,-98.73,4;79,Kendall,48453,14270;08571,6687;677596
78756,TX,0;7,4731;58,10/24/2007,30.26,-97.74,4;8,Travis,48453,6759;4,6701;639344
78760,TX,0;7,4147;56,11/23/2009,30.26,-97.74,4;72,Travis,0,5925;085714,6589;945355
78727,TX,0;7,9160;66,07/23/2008,30.26,-97.74,0,0,48453,13086;65714,0
75074,TX,0;72,5000,12/17/2009,0,0,4;75,Travis,48085,6944;444444,6821;311475
78723,TX,0;791,6500,9-6-2009,30.26,-97.74,4;96,Collin,48453,8217;446271,7825;280874
75212,TX,0;92,7820,04/20/2012,33.04,-96.74,4;74,Travis,48113,8500,8697;770492
75212,TX,0;92,7820,04/20/2012,30.26,-97.74,4;92,Dallas,48113,8500,9028;065574
75212,TX,0;92,7820,04/20/2012,32.79,-96.76,4;92,Dallas,48113,8500,9028;065574
75212,TX,0;92,7820,04/20/2012,32.79,-96.76,4;92,Dallas,48113,8500,9028;065574
75212,TX,0;92,7820,04/20/2012,32.79,-96.76,4;92,Dallas,48113,8500,9028;065574
75212,TX,0;92,7820,04/20/2012,32.79,-96.76,4;92,Dallas,48113,8500,9028;065574
75212,TX,0;92,7820,04/20/2012,32.79,-96.76,4;92,Dallas,48113,8500,9028;065574
75212,TX,0;92,7820,04/20/2012,32.79,-96.76,4;92,Dallas,48113,8500,9028;065574
