Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
84738,UT,0;22,1843;1,12-1-2007,37.18,-113.63,7;71,Washington,55131,8377;727273,3383;131148
84782,UT,0;34,3579;32,03/26/2008,37.42,-113.72,7;67,Washington,55131,10527;41176,5201;349727
84065,UT,0;36,1967;51,12-1-2000,40.47,-112.00,5;74,Salt Lake,49035,5465;305556,4121;508197
84525,UT,0;555,5342;21,12-1-2010,38.98,-110.65,7;02,Emery,49015,9625;603604,7770;909836
84532,UT,0;64,3750,5-1-2006,38.45,-109.60,6;88,Grand,49019,5859;375,8782;338798
84096,UT,0;735,3454,01/24/2014,40.48,-112.07,5;54,0,0,4699;319728,8121;54918
84096,UT,0;735,3454,01/24/2014,0,0,0,0,0,4699;319728,0
84096,UT,0;735,3454,01/24/2014,40.48,-112.07,5;54,0,0,4699;319728,8121;54918
84096,UT,0;735,3454,01/24/2014,0,0,0,0,0,4699;319728,0
84128,UT,0;75,3750,03/25/2013,40.48,-112.07,5;54,Salt Lake,49035,5000,8287;295082
84010,UT,0;75,1937;02,5-1-2007,0,0,0,Davis,49011,2582;693333,0
84118,UT,0;75,4206,01/24/2014,40.48,-112.07,5;54,Salt Lake,49035,5608,8287;295082
84118,UT,0;75,4206,01/24/2014,0,0,0,Salt Lake,49035,5608,0
84096,UT,0;75,3454,01/24/2014,40.70,-112.05,5;51,0,0,4605;333333,8242;418033
84096,UT,0;75,3454,01/24/2014,40.88,-111.82,5;74,0,0,4605;333333,8586;47541
84096,UT,0;75,3454,01/24/2014,40.65,-112.01,5;64,0,0,4605;333333,8436;885246
84096,UT,0;75,3454,01/24/2014,40.65,-112.01,5;64,0,0,4605;333333,8436;885246
84096,UT,0;75,1727,2-3-2014,40.48,-112.07,5;54,0,0,2302;666667,8287;295082
84096,UT,0;75,3454,02/13/2014,0,0,0,0,0,4605;333333,0
84096,UT,0;75,3454,01/24/2014,40.48,-112.07,5;54,0,0,4605;333333,8287;295082
84096,UT,0;75,3454,01/24/2014,0,0,0,0,0,4605;333333,0
84096,UT,0;75,3454,2-3-2014,40.48,-112.07,5;54,0,0,4605;333333,8287;295082
84096,UT,0;75,3454,2-3-2014,0,0,0,0,0,4605;333333,0
84096,UT,0;75,3454,2-3-2014,40.48,-112.07,5;54,0,0,4605;333333,8287;295082
84096,UT,0;75,3454,2-3-2014,0,0,0,0,0,4605;333333,0
84096,UT,0;75,3454,01/24/2014,40.48,-112.07,5;54,0,0,4605;333333,8287;295082
84096,UT,0;765,3454,02/13/2014,0,0,0,0,0,4515;03268,0
84111,UT,0;925,8809;21,08/30/2010,40.48,-112.07,5;54,Salt Lake,49035,9523;47027,10220;99727
84106,UT,0;96,7930;7,04/22/2004,0,0,0,Salt Lake,49035,8261;145833,0
84737,UT,0;99,10735,06/25/2007,40.48,-112.07,5;54,Washington,55131,10843;43434,10939;22951
84003,UT,1,9584;81,8-3-2009,0,0,0,Utah,49049,9584;81,0
84044,UT,1.032,82500,1-1-2010,40.48,-112.07,5;54,Salt Lake,49035,79;94186047,11403318;03
84782,UT,1;04,10370,09/23/2008,0,0,0,Washington,55131,9971;153846,0
84032,UT,1;04,8694,12/30/2006,40.48,-112.07,5;54,Wasatch,49051,8359;615385,11491;71585
84123,UT,1;05,5602;79,11-3-2010,0,0,0,Salt Lake,49035,5335;990476,0
84121,UT,1;2,8901;12,12/27/2007,40.48,-112.07,5;54,Salt Lake,49035,7417;6,13259;67213
84790,UT,1;2,9660;65,12/30/2006,0,0,0,Washington,55131,8050;541667,0
84637,UT,1;2,7171;76,5-5-2006,40.48,-112.07,5;54,0,0,5976;466667,13259;67213
84637,UT,1;2,7171;76,11-1-2005,0,0,0,0,0,5976;466667,0
84116,UT,1;25,7058,12-11-2013,40.48,-112.07,5;54,Salt Lake,49035,5646;4,13812;15847
84783,UT,1.258,11300,08/26/2008,0,0,0,Washington,55131,8;982511924,0
84105,UT,1;35,9965,11/15/2010,40.48,-112.07,5;54,Salt Lake,49035,7381;481481,14917;13115
84332,UT,1;4,15005;81,12-1-2009,0,0,0,Cache,49005,10718;43571,0
84105,UT,1;4,12707,08/28/2007,40.48,-112.07,5;54,Salt Lake,49035,9076;428571,15469;61749
84720,UT,1;44,12158;82,10-8-2010,0,0,0,Iron,55051,8443;625,0
84532,UT,1;44,13922,09/19/2008,40.75,-111.88,5;86,Grand,49019,9668;055556,16830;68852
84532,UT,1;44,12065,12/18/2007,40.70,-111.85,5;86,Grand,49019,8378;472222,16830;68852
84532,UT,1;44,12247;07,12/17/2007,37.13,-112.97,7;43,Grand,49019,8504;909722,21339;93443
84532,UT,1;44,14400,12-10-2007,40.39,-111.78,5;86,Grand,49019,10000,16830;68852
84106,UT,1;44,12082;81,9-9-2002,40.70,-112.08,5;67,Salt Lake,49035,8390;840278,16284;98361
84097,UT,1;46,11394;64,10-1-2008,37.42,-113.72,7;67,Utah,49049,7804;547945,22335;20765
84096,UT,1;47,3454,01/24/2014,40.43,-111.19,5;87,0,0,2349;659864,17210;64754
84078,UT,1.485,9396;79,12-11-2006,40.65,-111.92,5;82,Uintah,49047,6;327804714,17238172;13
84116,UT,1;5,8220,8-7-2013,40.62,-111.71,5;67,Salt Lake,49035,5480,16963;52459
84106,UT,1;5,7125,09/16/2013,37.06,-113.57,7;6,Salt Lake,49035,4750,22737;70492
84095,UT,1;5,7649,01/24/2014,38.81,-112.42,0,Salt Lake,49035,5099;333333,0
84095,UT,1;5,7649,01/24/2014,0,0,0,Salt Lake,49035,5099;333333,0
84095,UT,1;5,7649,01/24/2014,38.81,-112.42,5;69,Salt Lake,49035,5099;333333,17023;36066
84096,UT,1;5,6095,02/13/2014,0,0,7;67,0,0,4063;333333,22947;13115
84017,UT,1;52,15600,9-1-2010,40.81,-111.94,5;86,Summit,49043,10263;15789,17765;72678
84095,UT,1;53,7649,01/24/2014,37.26,-113.69,5;81,Salt Lake,49035,4999;346405,17730;02459
84720,UT,1;56,15563;65,6-12-2006,40.73,-111.85,5;86,Iron,55051,9976;698718,18233;2459
84060,UT,1;56,6787,08/15/2013,41.69,-111.81,7;36,Summit,49043,4350;641026,22900;45902
84102,UT,15.662,15335,08/17/2011,40.73,-111.85,6;88,Salt Lake,49035,0;97912144,214920297;3
84105,UT,1.575,14046;56,12/28/2009,37.81,-113.22,6;88,Salt Lake,49035,8;918450794,21612786;89
84105,UT,1;61,11125,07/15/2010,38.45,-109.60,6;88,Salt Lake,49035,6909;937888,22093;07104
84117,UT,1.621.972,12985,8-4-2011,38.45,-109.60,6;88,Salt Lake,49035,0;008005687,22257355663
84095,UT,1;64,14500,06/21/2010,38.45,-109.60,5;86,Salt Lake,49035,8841;463415,19168;28415
84095,UT,1;64,14500,03/18/2010,38.45,-109.60,6;23,Salt Lake,49035,8841;463415,20378;56831
84095,UT,1;64,14500,3-1-2010,40.70,-111.85,5;54,Salt Lake,49035,8841;463415,18121;55191
84095,UT,1;64,14500,11/15/2009,40.29,-111.67,0,Salt Lake,49035,8841;463415,0
84095,UT,1;64,14500,11/15/2009,40.48,-112.07,6;3,Salt Lake,49035,8841;463415,20607;54098
84074,UT,1;68,8450,01/28/2014,0,0,5;69,Tooele,49045,5029;761905,19066;16393
84105,UT,1;7,13911;3,12/28/2006,40.55,-109.57,5;86,Salt Lake,49035,8183;117647,19869;56284
84105,UT,1;7,16711;3,12/28/2006,40.81,-111.94,5;76,Salt Lake,49035,9830;176471,19530;4918
84108,UT,1;72,17108,8-2-2010,40.70,-111.85,5;76,Salt Lake,49035,9946;511628,19760;2623
84106,UT,1;75,9187;5,11/18/2013,40.55,-111.96,5;76,Salt Lake,49035,5250,20104;91803
84092,UT,1;75,12331,08/31/2010,40.55,-111.96,5;54,Salt Lake,49035,7046;285714,19337;02186
84105,UT,1;76,15661;37,11-1-2009,40.55,-111.96,0,Salt Lake,49035,8898;505682,0
84321,UT,1;8,13166;6,9-1-2010,40.48,-112.07,5;78,Cache,49005,7314;777778,20751;14754
84095,UT,1;8,15250,9-1-2009,0,0,5;76,Salt Lake,49035,8472;222222,20679;34426
84095,UT,1;84,14500,12-1-2010,40.88,-111.31,7;36,Salt Lake,49035,7880;434783,27010;79781
84095,UT,1;84,14500,10/15/2010,40.55,-111.96,5;45,Salt Lake,49035,7880;434783,20001;20219
84095,UT,1;84,14500,7-7-2010,37.81,-113.22,5;86,Salt Lake,49035,7880;434783,21505;87978
84095,UT,1;84,14500,7-7-2010,40.64,-111.49,5;86,Salt Lake,49035,7880;434783,21505;87978
84095,UT,1;84,14500,7-2-2010,40.75,-111.86,5;86,Salt Lake,49035,7880;434783,21505;87978
84095,UT,1;84,14500,7-1-2010,40.73,-111.85,5;87,Salt Lake,49035,7880;434783,21542;57923
84095,UT,1;84,14500,7-1-2010,40.73,-111.85,5;76,Salt Lake,49035,7880;434783,21138;88525
84341,UT,1;84,12709,6-1-2010,40.65,-111.83,5;76,Cache,49005,6907;065217,21138;88525
84095,UT,1;84,14500,05/19/2010,40.55,-111.96,5;76,Salt Lake,49035,7880;434783,21138;88525
84532,UT,1.906,13827;5,09/13/2010,40.55,-111.96,5;76,Grand,49019,7;254721931,21897127;87
84405,UT,1;96,20535,7-12-2004,40.55,-111.96,5;76,Weber,49057,10477;04082,22517;5082
84095,UT,1;96,8860,01/24/2014,40.55,-111.96,5;75,Salt Lake,49035,4520;408163,22478;4153
84738,UT,1;98,20045;98,02/21/2008,40.55,-111.96,5;86,Washington,55131,10124;23232,23142;19672
84767,UT,1;98,20484;19,12/27/2007,40.57,-112.33,5;86,Washington,55131,10345;55051,23142;19672
84720,UT,1;98,18183;31,12/14/2007,40.73,-111.85,5;75,Iron,55051,9183;489899,22707;78689
84737,UT,1;98,17092;3,10/24/2007,40.73,-111.85,5;86,Washington,55131,8632;474747,23142;19672
84405,UT,19.836,9405,06/20/2011,40.78,-111.73,5;74,Weber,49057,0;474137931,227095101;6
84081,UT,2,10500,10/25/2013,40.70,-111.85,5;86,0,0,5250,23375;95628
84767,UT,2,,11/27/2009,40.56,-111.72,5;76,Washington,55131,0,22977;04918
84767,UT,2,,11/27/2009,40.73,-111.85,5;76,Washington,55131,0,22977;04918
84062,UT,2,6385;45,3-4-2010,41.70,-111.87,5;76,Utah,49049,3192;725,22977;04918
84341,UT,2,17261;52,09/17/2009,40.55,-111.96,5;76,Cache,49005,8630;76,22977;04918
84050,UT,2,20882;11,03/22/2009,40.55,-111.96,5;76,Morgan,54065,10441;055,22977;04918
84095,UT,2,20000,7-8-2008,40.55,-111.96,5;76,Salt Lake,49035,10000,22977;04918
84109,UT,2,21300,12/15/2007,40.55,-111.96,5;76,Salt Lake,49035,10650,22977;04918
84111,UT,2,8466;64,12/29/2006,40.55,-111.96,5;76,Salt Lake,49035,4233;32,22977;04918
84652,UT,2,15437;11,12-1-2006,40.55,-111.96,5;76,Sevier,49041,7718;555,22977;04918
84095,UT,2,7149;02,01/28/2014,40.55,-111.96,5;72,Salt Lake,49035,3574;51,22817;48634
84101,UT,2,7635;49,08/16/2013,40.55,-111.96,5;76,Salt Lake,49035,3817;745,22977;04918
84095,UT,2,8860,01/24/2014,41.85,-111.70,6;88,Salt Lake,49035,4430,27444;80874
84095,UT,2,8860,01/24/2014,40.55,-111.96,6;01,Salt Lake,49035,4430,23974;31694
84111,UT,2;04,11205,6-6-2013,38.45,-109.60,5;76,Salt Lake,49035,5492;647059,23436;59016
84770,UT,2;04,20827;36,4-11-2008,41.15,-111.98,7;71,Washington,55131,10209;4902,31370;85246
84779,UT,2;04,19278;98,03/28/2008,40.55,-111.96,7;33,Washington,55131,9450;480392,29824;68852
84770,UT,2;04,18589;46,10/23/2007,37.18,-113.63,7;36,Washington,55131,9112;480392,29946;7541
84790,UT,2;04,22209;13,4-1-2006,37.25,-112.99,7;43,Washington,55131,10886;82843,30231;57377
84102,UT,2;04,9866,09/16/2013,37.81,-113.22,6;01,Salt Lake,49035,4836;27451,24453;80328
84049,UT,2;04,10213,08/15/2013,37.13,-112.97,5;58,Wasatch,49051,5006;372549,22704;19672
84101,UT,2;04,10500,08/15/2013,41.15,-111.98,0,Salt Lake,49035,5147;058824,0
84070,UT,2.052,16344,12/22/2010,40.59,-112.03,7;33,Salt Lake,49035,7;964912281,30000127;87
84321,UT,2;07,14507,07/27/2010,0,0,7;33,Cache,49005,7008;21256,30263;28689
84321,UT,2;07,15000,07/27/2010,37.25,-112.99,5;97,Cache,49005,7246;376812,24648;27049
84078,UT,2;08,11024,08/30/2013,37.25,-112.99,5;72,Uintah,49047,5300,23730;18579
84109,UT,2;1,16575;6,10/15/2010,40.46,-111.63,5;71,Salt Lake,49035,7893;142857,23916;47541
84106,UT,2;1,17975,12/29/2009,41.85,-111.70,5;76,Salt Lake,49035,8559;52381,24125;90164
84124,UT,2;15,17328;09,12/20/2009,41.01,-111.67,5;72,Salt Lake,49035,8059;576744,24528;79781
84716,UT,2;15,14940,11-10-2009,40.55,-111.96,5;86,Garfield,53023,6948;837209,25129;15301
84790,UT,2;16,13001;14,04/28/2010,40.70,-111.71,6;41,Washington,55131,6019;046296,27615;54098
84741,UT,2;16,17556;36,7-10-2009,40.75,-111.88,5;76,Kane,49025,8127;944444,24815;21311
84108,UT,2;16,22500,12/30/2013,39.00,-111.88,5;64,Salt Lake,49035,10416;66667,24298;22951
84124,UT,2;2,17513;2,5-10-2005,40.55,-111.96,5;76,Salt Lake,49035,7960;545455,25274;7541
84075,UT,2;25,11250,05/31/2013,40.75,-111.90,5;76,Davis,49011,5000,25849;18033
84010,UT,2;25,13983;15,12/15/2010,40.55,-111.96,5;86,Davis,49011,6214;733333,26297;95082
84047,UT,2;28,22800,10/25/2007,40.55,-111.96,7;65,Salt Lake,49035,10000,34788;68852
84105,UT,2.295,11983;17,02/20/2014,40.75,-111.88,7;38,Salt Lake,49035,5;221424837,33781647;54
84341,UT,2;3,19966;57,7-1-2010,37.18,-113.60,7;65,Cache,49005,8681;117391,35093;85246
84092,UT,23.028,16843,6-12-2011,37.30,-113.08,7;6,Salt Lake,49035,0;731413931,349069245;9
84078,UT,2.317.224,13602;93,07/25/2011,37.18,-113.60,5;86,Uintah,49047,0;005870356,27083663462
84405,UT,233.016,15154,5-6-2011,37.06,-113.57,5;53,Weber,49057,0;065034161,2570115548
84108,UT,2.337,31110,7-8-2011,40.75,-111.86,5;64,Salt Lake,49035,13;31193838,26289334;43
84098,UT,2.342,21552,10/28/2007,40.50,-111.52,5;82,Summit,49043,9;202391119,27186396;72
84121,UT,23.493,15538,9-8-2011,40.75,-111.90,5;76,Salt Lake,49035,0;661388499,269899908;2
84123,UT,2;35,14240,06/29/2010,40.57,-111.89,5;76,Salt Lake,49035,6059;574468,26998;03279
84088,UT,2.385,8775,07/24/2013,41.70,-111.87,6;3,Salt Lake,49035,3;679245283,29968893;44
84088,UT,2;4,14782;79,10/18/2010,41.70,-111.87,5;72,Salt Lake,49035,6159;495833,27380;98361
84103,UT,2;4,20758,12-9-2007,40.55,-109.57,5;86,Salt Lake,49035,8649;166667,28051;14754
84047,UT,2;4,24710,06/23/2007,40.70,-111.71,5;89,Salt Lake,49035,10295;83333,28194;7541
84109,UT,2;4,15985,08/15/2013,40.70,-111.85,7;25,Salt Lake,49035,6660;416667,34704;91803
84058,UT,2;5,13125,09/30/2013,40.67,-111.79,7;6,Utah,49049,5250,37896;17486
84663,UT,2;5,23229;56,9-11-2006,37.92,-111.48,7;43,Utah,49049,9291;824,37048;49727
84663,UT,2;5,23229;56,9-8-2006,37.06,-113.57,5;75,Utah,49049,9291;824,28671;44809
84124,UT,2;5,9311;48,08/15/2013,37.27,-112.23,5;89,Salt Lake,49035,3724;592,29369;53552
84403,UT,2;5,10750;55,08/15/2013,40.78,-111.73,5;96,Weber,49057,4300;22,29718;57923
84108,UT,25.004,14899;4,11/15/2011,40.67,-111.79,5;74,Salt Lake,49035,0;595880659,286261641;5
84102,UT,2;52,22259;01,11-6-2009,41.05,-112.06,5;82,Salt Lake,49035,8832;940476,29252;65574
84737,UT,2;55,13872,05/30/2013,40.88,-111.82,5;86,Washington,55131,5440,29804;34426
